"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Phylloscopus trochilus",2014,1.239,0.119,648,648,648,671,411
"Pica pica",2014,0.767,0.046,605,605,605,671,397
"Picoides tridactylus",2014,0.476,0.073,56,56,56,199,14
"Picus canus",2014,0.566,0.03,533,533,533,671,304
"Picus viridis",2014,0.925,0.063,627,626.5,626.5,671,397
"Platalea leucorodia",2014,0.283,0.187,3,3,3,20,0
"Podiceps cristatus",2014,0.381,0.023,320,320,320,649,124
"Anas acuta",2014,0.227,0.1,6,6,6,57,0
"Podiceps grisegena",2014,0.211,0.138,3,3,3,27,0
"Podiceps nigricollis",2014,0.299,0.042,54,54,54,331,0
"Porzana parva",2014,0.345,0.059,38,38,38,228,2
"Porzana porzana",2014,0.342,0.048,56,56,56,323,0
"Porzana pusilla",2014,0.303,0.345,1,1,1,10,0
"Prunella collaris",2014,0.137,0.075,4,4,4,40,3
"Prunella modularis",2014,0.974,0.07,632,632,632,671,401
"Pyrrhula pyrrhula",2014,0.599,0.033,532,532,532,665,328
"Rallus aquaticus",2014,0.39,0.025,292,292,292,617,100
"Recurvirostra avosetta",2014,0.45,0.141,13,13,13,62,1
"Anas clypeata",2014,0.345,0.036,100,100,100,420,5
"Regulus ignicapillus",2014,0.729,0.043,587,587,587,671,372
"Regulus regulus",2014,0.791,0.048,604,604,604,671,374
"Remiz pendulinus",2014,0.348,0.031,148,148,148,493,24
"Riparia riparia",2014,0.341,0.03,152,152,152,496,30
"Saxicola rubetra",2014,0.533,0.028,534,534,534,671,338
"Saxicola torquata",2014,0.392,0.024,334,334,334,659,140
"Scolopax rusticola",2014,0.372,0.023,303,303,303,651,122
"Serinus serinus",2014,0.878,0.058,620,620,620,671,396
"Sitta europaea",2014,1.395,0.161,653,653,653,671,416
"Sterna hirundo",2014,0.314,0.04,70,70,70,290,14
"Accipiter nisus",2014,0.576,0.031,556,556,556,671,361
"Anas crecca",2014,0.309,0.026,154,154,154,544,29
"Streptopelia decaocto",2014,0.808,0.05,610,610,610,671,381
"Streptopelia orientalis",2014,11.67,17.306,1,1,1,3,0
"Streptopelia turtur",2014,0.687,0.039,587,587,587,671,379
"Strix aluco",2014,0.66,0.037,575,575,575,671,357
"Strix uralensis",2014,1.058,0.266,31,31,31,81,3
"Sturnus vulgaris",2014,1.435,0.174,654,654,654,671,415
"Sylvia atricapilla",2014,2.302,0.801,664,664,662.6,671,416
"Sylvia borin",2014,0.793,0.048,605,605,605,671,385
"Sylvia communis",2014,1.394,0.161,653,653,653,671,415
"Sylvia curruca",2014,0.899,0.06,625,625,625,671,405
"Anas penelope",2014,0.249,0.088,9,9,9,76,0
"Sylvia nisoria",2014,0.379,0.028,220,220,220,564,80
"Syrmaticus reevesii",2014,0.269,0.101,8,8,8,78,0
"Tachybaptus ruficollis",2014,0.419,0.024,394,394,394,660,190
"Tadorna ferruginea",2014,0.203,0.077,8,8,8,79,1
"Tadorna tadorna",2014,0.403,0.069,39,39,39,212,2
"Tetrao urogallus",2014,5.688,3.176,28,27,27,53,4
"Tetrastes bonasia",2014,0.691,0.102,72,71,71,192,16
"Tringa ochropus",2014,0.32,0.027,154,154,154,561,26
"Tringa totanus",2014,0.353,0.046,71,71,71,294,21
"Troglodytes troglodytes",2014,1.397,0.162,653,653,653,671,410
"Anas platyrhynchos",2014,0.959,0.068,631,631,631,671,409
"Turdus iliacus",2014,0.46,0.157,10,10,10,69,0
"Turdus merula",2014,2.672,1.324,666,666,663.8,671,416
"Turdus philomelos",2014,2.301,0.801,664,664,662.6,671,416
"Turdus pilaris",2014,0.73,0.043,596,596,596,671,377
"Turdus torquatus",2014,0.293,0.044,54,54,54,194,29
"Turdus viscivorus",2014,1.266,0.125,649,649,649,671,408
"Tyto alba",2014,0.346,0.034,122,122,122,406,39
"Upupa epops",2014,0.376,0.038,114,114,114,420,21
"Vanellus vanellus",2014,0.518,0.029,473,473,473,660,268
"Anas querquedula",2014,0.335,0.03,141,141,141,487,19
"Anas strepera",2014,0.419,0.028,285,285,285,582,107
"Anser anser",2014,0.404,0.033,177,177,177,501,44
"Anthus campestris",2014,0.193,0.076,8,8,8,41,4
"Anthus pratensis",2014,0.4,0.025,324,324,324,643,164
"Anthus spinoletta",2014,0.175,0.06,10,10,10,71,5
"Anthus trivialis",2014,0.855,0.055,619,618.5,618.5,671,393
"Acrocephalus arundinaceus",2014,0.368,0.023,304,304,304,644,123
"Apus apus",2014,0.729,0.042,599,599,599,671,392
"Aquila chrysaetos",2014,0.511,0.293,4,4,4,25,0
"Aquila heliaca",2014,4.385,2.694,12,12,12,24,0
"Aquila pomarina",2014,0.294,0.073,18,18,18,148,0
"Ardea cinerea",2014,0.422,0.023,418,418,418,666,211
"Ardea purpurea",2014,0.445,0.145,11,11,11,67,0
"Asio flammeus",2014,0.272,0.058,24,24,24,184,1
"Asio otus",2014,0.46,0.025,437,437,437,666,213
"Athene noctua",2014,0.352,0.052,54,54,54,242,11
"Aythya ferina",2014,0.382,0.026,257,257,257,586,96
"Acrocephalus dumetorum",2014,0.485,0.554,1,1,1,10,0
"Aythya fuligula",2014,0.42,0.025,376,376,376,650,190
"Aythya nyroca",2014,0.283,0.108,8,8,8,65,0
"Botaurus stellaris",2014,0.292,0.048,41,41,41,267,1
"Branta leucopsis",2014,0.44,0.366,2,2,2,17,0
"Bubo bubo",2014,0.419,0.024,391,391,391,664,190
"Bubulcus ibis",2014,0.293,0.194,3,3,3,21,0
"Bucephala clangula",2014,0.375,0.052,60,60,60,257,6
"Burhinus oedicnemus",2014,0.186,0.115,3,3,3,34,0
"Buteo buteo",2014,1.59,0.233,657,657,656.8,671,416
"Caprimulgus europaeus",2014,0.359,0.064,36,36,36,220,2
"Acrocephalus melanopogon",2014,0.756,0.677,2,2,2,10,0
"Carduelis cannabina",2014,0.896,0.06,625,625,625,671,409
"Carduelis carduelis",2014,1.189,0.108,646,646,646,671,413
"Carduelis chloris",2014,1.145,0.099,644,644,644,671,416
"Carduelis flammea",2014,0.329,0.027,175,175,175,548,67
"Carduelis spinus",2014,0.523,0.028,494,494,494,671,290
"Carpodacus erythrinus",2014,0.279,0.032,88,88,88,408,26
"Certhia brachydactyla",2014,0.39,0.023,340,340,340,658,153
"Certhia familiaris",2014,0.858,0.055,619,619,619,671,383
"Charadrius dubius",2014,0.391,0.022,384,384,384,665,191
"Chlidonias hybrida",2014,0.335,0.161,5,5,5,51,0
"Acrocephalus paludicola",2014,0.261,0.196,2,2,2,24,0
"Chlidonias niger",2014,0.36,0.073,27,27,27,182,0
"Ciconia ciconia",2014,0.461,0.027,396,396,396,659,197
"Ciconia nigra",2014,0.481,0.025,497,497,497,671,299
"Cinclus cinclus",2014,0.408,0.025,351,351,351,645,190
"Circus aeruginosus",2014,0.558,0.031,499,499,499,668,288
"Circus cyaneus",2014,0.328,0.045,58,58,58,371,1
"Circus macrourus",2014,0.52,0.599,1,1,1,10,0
"Circus pygargus",2014,0.41,0.028,260,260,260,559,90
"Coccothraustes coccothraustes",2014,0.807,0.05,610,610,610,671,389
"Columba livia",2014,0.46,0.025,466,466,466,671,252
"Acrocephalus palustris",2014,0.653,0.036,578,578,578,671,370
"Columba oenas",2014,0.549,0.029,527,527,527,671,301
"Columba palumbus",2014,2.301,0.801,664,664,662.6,671,416
"Coracias garrulus",2014,0.352,0.273,2,2,2,22,0
"Corvus corax",2014,0.982,0.071,633,633,633,671,409
"Corvus corone",2014,0.588,0.032,552,552,552,671,331
"Corvus frugilegus",2014,0.246,0.037,48,48,48,310,2
"Corvus monedula",2014,0.335,0.024,222,222,222,610,58
"Coturnix coturnix",2014,0.538,0.028,537,537,537,671,340
"Crex crex",2014,0.406,0.024,373,373,373,664,198
"Cuculus canorus",2014,0.923,0.063,627,627,627,671,404
"Acrocephalus schoenobaenus",2014,0.409,0.026,314,314,314,602,125
"Cygnus cygnus",2014,0.216,0.248,1,1,1,10,0
"Cygnus olor",2014,0.473,0.026,437,437,437,666,241
"Delichon urbica",2014,0.914,0.062,626,626,626,671,403
"Dendrocopos leucotos",2014,0.707,0.157,38,38,38,84,9
"Dendrocopos major",2014,1.864,0.386,661,660.5,660,671,416
"Dendrocopos medius",2014,0.429,0.027,326,326,326,619,142
"Dendrocopos minor",2014,0.462,0.025,454,454,454,667,233
"Dendrocopos syriacus",2014,0.465,0.064,69,69,69,194,14
"Dryocopus martius",2014,1.051,0.082,638,638,638,671,404
"Egretta alba",2014,0.35,0.045,68,68,68,314,3
"Acrocephalus scirpaceus",2014,0.459,0.025,444,444,444,664,243
"Egretta garzetta",2014,0.342,0.104,13,13,13,69,1
"Emberiza citrinella",2014,1.655,0.263,658,658,657.8,671,416
"Emberiza hortulana",2014,0.215,0.04,32,32,32,245,8
"Emberiza schoeniclus",2014,0.485,0.027,462,462,462,664,260
"Erithacus rubecula",2014,2.023,0.512,662,662,661.2,671,416
"Falco cherrug",2014,0.633,0.169,21,21,21,76,5
"Falco peregrinus",2014,0.257,0.03,80,80,80,345,27
"Falco subbuteo",2014,0.386,0.024,302,302,302,647,103
"Falco tinnunculus",2014,1.002,0.074,635,635,635,671,411
"Falco vespertinus",2014,0.083,0.061,2,2,2,29,0
