"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",2014,0.461,0.025,472,472,472,671,266
"Actitis hypoleucos",2014,0.32,0.025,179,179,179,585,25
"Ficedula albicollis",2014,0.519,0.033,342,342,342,568,161
"Ficedula hypoleuca",2014,0.313,0.02,285,285,285,648,143
"Ficedula parva",2014,0.285,0.026,132,132,132,516,40
"Fringilla coelebs",2014,2.473,1.024,665,665,663.2,671,416
"Fulica atra",2014,0.479,0.027,436,436,436,667,240
"Galerida cristata",2014,0.46,0.068,57,57,57,201,10
"Gallinago gallinago",2014,0.311,0.023,208,208,208,619,67
"Gallinula chloropus",2014,0.439,0.025,393,393,393,652,190
"Garrulus glandarius",2014,1.482,0.19,655,655,654.9,671,416
"Glaucidium passerinum",2014,0.398,0.025,314,314,314,629,138
"Aegithalos caudatus",2014,0.635,0.035,563,563,563,671,348
"Grus grus",2014,0.273,0.023,153,153,153,511,43
"Haliaeetus albicilla",2014,0.382,0.028,230,230,230,592,67
"Himantopus himantopus",2014,0.494,0.141,16,16,16,72,2
"Hippolais icterina",2014,0.688,0.039,568,568,568,665,343
"Hirundo rustica",2014,1.235,0.118,648,648,648,671,416
"Ixobrychus minutus",2014,0.326,0.039,78,78,78,379,4
"Jynx torquilla",2014,0.557,0.03,511,511,511,671,287
"Lanius collurio",2014,1.188,0.108,646,646,646,671,413
"Lanius excubitor",2014,0.383,0.024,298,298,298,636,105
"Lanius senator",2014,0.264,0.312,1,1,1,11,0
"Aegolius funereus",2014,0.39,0.024,313,313,313,614,139
"Larus cachinnans",2014,0.301,0.053,37,37,37,223,1
"Larus canus",2014,0.25,0.108,6,6,6,64,0
"Larus melanocephalus",2014,0.295,0.062,25,25,25,161,0
"Larus michahellis",2014,0.282,0.125,6,6,6,45,0
"Larus ridibundus",2014,0.34,0.028,174,174,174,540,36
"Limosa limosa",2014,0.254,0.103,7,7,7,63,0
"Locustella fluviatilis",2014,0.519,0.028,495,494.6,494.6,671,268
"Locustella luscinioides",2014,0.348,0.029,172,172,172,547,33
"Locustella naevia",2014,0.547,0.029,526,525.6,525.6,671,303
"Loxia curvirostra",2014,0.548,0.03,500,500,500,670,300
"Aix galericulata",2014,0.391,0.086,23,23,23,159,0
"Lullula arborea",2014,0.396,0.028,242,242,242,596,88
"Luscinia luscinia",2014,0.243,0.061,17,17,17,151,0
"Luscinia megarhynchos",2014,0.422,0.026,330,330,330,628,155
"Luscinia svecica",2014,0.356,0.03,162,162,162,507,44
"Lyrurus tetrix",2014,0.233,0.038,45,45,45,162,38
"Mergus merganser",2014,0.301,0.031,110,110,110,451,24
"Merops apiaster",2014,0.367,0.049,67,67,67,277,15
"Miliaria calandra",2014,0.388,0.025,307,307,307,634,171
"Milvus migrans",2014,0.341,0.027,182,182,182,540,45
"Milvus milvus",2014,0.412,0.025,345,345,345,638,176
"Aix sponsa",2014,0.407,0.165,7,7,7,59,0
"Motacilla alba",2014,1.655,0.263,658,658,657.8,671,416
"Motacilla cinerea",2014,0.812,0.05,612,612,612,671,395
"Motacilla citreola",2014,0.125,0.1,2,2,2,23,3
"Motacilla flava",2014,0.384,0.026,257,257,257,602,105
"Muscicapa striata",2014,0.746,0.044,592,592,592,671,372
"Myiopsitta monachus",2014,0.119,0.133,1,1,1,13,0
"Netta rufina",2014,0.37,0.05,65,65,65,303,13
"Nucifraga caryocatactes",2014,0.386,0.026,280,280,280,603,131
"Numenius arquata",2014,0.3,0.132,6,6,6,50,0
"Nycticorax nycticorax",2014,0.34,0.049,56,56,56,238,12
"Alauda arvensis",2014,1.212,0.113,647,647,647,671,416
"Oenanthe oenanthe",2014,0.292,0.026,137,137,137,564,24
"Oriolus oriolus",2014,0.575,0.032,505,505,505,669,280
"Otis tarda",2014,55.734,98.668,1,1,1,2,0
"Otus scops",2014,0.37,0.179,5,5,5,43,0
"Pandion haliaetus",2014,0.325,0.08,18,18,18,147,0
"Panurus biarmicus",2014,0.361,0.061,40,40,40,229,4
"Parus ater",2014,0.853,0.055,616,616,616,671,385
"Parus caeruleus",2014,1.394,0.161,653,653,653,671,415
"Parus cristatus",2014,0.614,0.034,551,551,551,669,342
"Parus major",2014,2.152,0.635,663,663,661.9,671,416
"Alcedo atthis",2014,0.478,0.026,464,464,464,666,244
"Parus montanus",2014,0.512,0.027,497,497,497,670,278
"Parus palustris",2014,0.662,0.037,569,569,569,671,350
"Passer domesticus",2014,0.958,0.068,631,631,631,671,406
"Passer montanus",2014,0.85,0.054,618,618,618,671,395
"Perdix perdix",2014,0.434,0.027,333,333,333,611,150
"Pernis apivorus",2014,0.41,0.023,393,393,393,668,174
"Phalacrocorax carbo",2014,0.321,0.044,58,58,58,350,2
"Phasianus colchicus",2014,0.609,0.034,523,523,523,670,305
"Phoenicurus ochruros",2014,1.322,0.14,651,651,651,671,416
"Phoenicurus phoenicurus",2014,0.836,0.053,617,617,617,671,400
"Alopochen aegyptiaca",2014,0.302,0.033,91,91,91,421,7
"Phylloscopus collybita",2014,2.473,1.024,665,665,663.2,671,416
"Phylloscopus sibilatrix",2014,0.755,0.045,603,603,603,671,386
"Phylloscopus trochiloides",2014,0.23,0.048,27,27,27,132,14
