"SPECIES","NAME"
"S1","Accipiter gentilis"
"S2","Accipiter nisus"
"S3","Acrocephalus arundinaceus"
"S4","Acrocephalus paludicola"
"S5","Acrocephalus palustris"
"S6","Acrocephalus schoenobaenus"
"S7","Acrocephalus scirpaceus"
"S8","Actitis hypoleucos"
"S9","Aegithalos caudatus"
"S10","Aegolius funereus"
"S11","Alauda arvensis"
"S12","Alcedo atthis"
"S13","Anas acuta"
"S14","Anas clypeata"
"S15","Anas crecca"
"S16","Anas penelope"
"S17","Anas platyrhynchos"
"S18","Anas querquedula"
"S19","Anas strepera"
"S20","Anser anser"
"S21","Anthus campestris"
"S22","Anthus pratensis"
"S23","Anthus spinoletta"
"S24","Anthus trivialis"
"S25","Apus apus"
"S26","Aquila heliaca"
"S27","Aquila pomarina"
"S28","Ardea cinerea"
"S29","Ardea purpurea"
"S30","Asio flammeus"
"S31","Asio otus"
"S32","Athene noctua"
"S33","Aythya ferina"
"S34","Aythya fuligula"
"S35","Aythya nyroca"
"S36","Bonasa bonasia"
"S37","Botaurus stellaris"
"S38","Bubo bubo"
"S39","Bucephala clangula"
"S40","Buteo buteo"
"S41","Caprimulgus europaeus"
"S42","Carduelis cannabina"
"S43","Carduelis carduelis"
"S44","Carduelis chloris"
"S45","Carduelis flammea"
"S46","Carduelis spinus"
"S47","Carpodacus erythrinus"
"S48","Certhia brachydactyla"
"S49","Certhia familiaris"
"S50","Charadrius dubius"
"S51","Charadrius morinellus"
"S52","Chlidonias hybridus"
"S53","Chlidonias niger"
"S54","Ciconia ciconia"
"S55","Ciconia nigra"
"S56","Cinclus cinclus"
"S57","Circus aeruginosus"
"S58","Circus cyaneus"
"S59","Circus pygargus"
"S60","Coccothraustes coccothraustes"
"S61","Columba livia"
"S62","Columba oenas"
"S63","Columba palumbus"
"S64","Corvus corax"
"S65","Corvus corone"
"S66","Corvus frugilegus"
"S67","Corvus monedula"
"S68","Coturnix coturnix"
"S69","Crex crex"
"S70","Cuculus canorus"
"S71","Cygnus olor"
"S72","Delichon urbica"
"S73","Dendrocopos leucotos"
"S74","Dendrocopos major"
"S75","Dendrocopos medius"
"S76","Dendrocopos minor"
"S77","Dendrocopos syriacus"
"S78","Dryocopus martius"
"S79","Egretta alba"
"S80","Egretta garzetta"
"S81","Emberiza citrinella"
"S82","Emberiza hortulana"
"S83","Emberiza schoeniclus"
"S84","Erithacus rubecula"
"S85","Falco cherrug"
"S86","Falco peregrinus"
"S87","Falco subbuteo"
"S88","Falco tinnunculus"
"S89","Ficedula albicollis"
"S90","Ficedula hypoleuca"
"S91","Ficedula parva"
"S92","Fringilla coelebs"
"S93","Fulica atra"
"S94","Galerida cristata"
"S95","Gallinago gallinago"
"S96","Gallinula chloropus"
"S97","Garrulus glandarius"
"S98","Gavia arctica"
"S99","Glaucidium passerinum"
"S100","Grus grus"
"S101","Haliaeetus albicilla"
"S102","Himantopus himantopus"
"S103","Hippolais icterina"
"S104","Hirundo rustica"
"S105","Ixobrychus minutus"
"S106","Jynx torquilla"
"S107","Lanius collurio"
"S108","Lanius excubitor"
"S109","Larus cachinnans"
"S110","Larus canus"
"S111","Larus melanocephalus"
"S112","Larus ridibundus"
"S113","Limosa limosa"
"S114","Locustella fluviatilis"
"S115","Locustella luscinioides"
"S116","Locustella naevia"
"S117","Loxia curvirostra"
"S118","Lullula arborea"
"S119","Luscinia luscinia"
"S120","Luscinia megarhynchos"
"S121","Luscinia svecica"
"S122","Mergus albellus"
"S123","Mergus merganser"
"S124","Merops apiaster"
"S125","Miliaria calandra"
"S126","Milvus migrans"
"S127","Milvus milvus"
"S128","Motacilla alba"
"S129","Motacilla cinerea"
"S130","Motacilla citreola"
"S131","Motacilla flava"
"S132","Muscicapa striata"
"S133","Netta rufina"
"S134","Nucifraga caryocatactes"
"S135","Numenius arquata"
"S136","Nycticorax nycticorax"
"S137","Oenanthe oenanthe"
"S138","Oriolus oriolus"
"S139","Otus scops"
"S140","Pandion haliaetus"
"S141","Panurus biarmicus"
"S142","Parus ater"
"S143","Parus caeruleus"
"S144","Parus cristatus"
"S145","Parus major"
"S146","Parus montanus"
"S147","Parus palustris"
"S148","Passer domesticus"
"S149","Passer montanus"
"S150","Perdix perdix"
"S151","Pernis apivorus"
"S152","Phalacrocorax carbo"
"S153","Phasianus colchicus"
"S154","Phoenicurus ochruros"
"S155","Phoenicurus phoenicurus"
"S156","Phylloscopus collybita"
"S157","Phylloscopus sibilatrix"
"S158","Phylloscopus trochiloides"
"S159","Phylloscopus trochilus"
"S160","Pica pica"
"S161","Picoides tridactylus"
