"SPECIES","NAME"
"S162","Picus canus"
"S163","Picus viridis"
"S164","Platalea leucorodia"
"S165","Podiceps cristatus"
"S166","Podiceps grisegena"
"S167","Podiceps nigricollis"
"S168","Porzana parva"
"S169","Porzana porzana"
"S170","Porzana pusilla"
"S171","Prunella collaris"
"S172","Prunella modularis"
"S173","Pyrrhula pyrrhula"
"S174","Rallus aquaticus"
"S175","Recurvirostra avosetta"
"S176","Regulus ignicapillus"
"S177","Regulus regulus"
"S178","Remiz pendulinus"
"S179","Riparia riparia"
"S180","Saxicola rubetra"
"S181","Saxicola torquata"
"S182","Scolopax rusticola"
"S183","Serinus serinus"
"S184","Sitta europaea"
"S185","Sterna albifrons"
"S186","Sterna hirundo"
"S187","Streptopelia decaocto"
"S188","Streptopelia turtur"
"S189","Strix aluco"
"S190","Strix uralensis"
"S191","Sturnus vulgaris"
"S192","Sylvia atricapilla"
"S193","Sylvia borin"
"S194","Sylvia communis"
"S195","Sylvia curruca"
"S196","Sylvia nisoria"
"S197","Syrmaticus reevesii"
"S198","Tachybaptus ruficollis"
"S199","Tadorna tadorna"
"S200","Tetrao tetrix"
"S201","Tetrao urogallus"
"S202","Tringa ochropus"
"S203","Tringa totanus"
"S204","Troglodytes troglodytes"
"S205","Turdus iliacus"
"S206","Turdus merula"
"S207","Turdus philomelos"
"S208","Turdus pilaris"
"S209","Turdus torquatus"
"S210","Turdus viscivorus"
"S211","Tyto alba"
"S212","Upupa epops"
"S213","Vanellus vanellus"
