"SPECIES","NAME"
"S1","Accipiter gentilis"
"S2","Accipiter nisus"
"S3","Acrocephalus arundinaceus"
"S4","Acrocephalus palustris"
"S5","Acrocephalus schoenobaenus"
"S6","Acrocephalus scirpaceus"
"S7","Actitis hypoleucos"
"S8","Aegithalos caudatus"
"S9","Aegolius funereus"
"S10","Alauda arvensis"
"S11","Alcedo atthis"
"S12","Anas acuta"
"S13","Anas clypeata"
"S14","Anas crecca"
"S15","Anas platyrhynchos"
"S16","Anas querquedula"
"S17","Anas strepera"
"S18","Anser anser"
"S19","Anthus campestris"
"S20","Anthus pratensis"
"S21","Anthus spinoletta"
"S22","Anthus trivialis"
"S23","Apus apus"
"S24","Aquila pomarina"
"S25","Ardea cinerea"
"S26","Ardea purpurea"
"S27","Asio flammeus"
"S28","Asio otus"
"S29","Athene noctua"
"S30","Aythya ferina"
"S31","Aythya fuligula"
"S32","Aythya nyroca"
"S33","Bonasa bonasia"
"S34","Botaurus stellaris"
"S35","Bubo bubo"
"S36","Bucephala clangula"
"S37","Burhinus oedicnemus"
"S38","Buteo buteo"
"S39","Caprimulgus europaeus"
"S40","Carduelis cannabina"
"S41","Carduelis carduelis"
"S42","Carduelis chloris"
"S43","Carduelis flammea"
"S44","Carduelis spinus"
"S45","Carpodacus erythrinus"
"S46","Certhia brachydactyla"
"S47","Certhia familiaris"
"S48","Charadrius dubius"
"S49","Charadrius morinellus"
"S50","Chlidonias niger"
"S51","Ciconia ciconia"
"S52","Ciconia nigra"
"S53","Cinclus cinclus"
"S54","Circus aeruginosus"
"S55","Circus cyaneus"
"S56","Circus pygargus"
"S57","Coccothraustes coccothraustes"
"S58","Columba livia"
"S59","Columba oenas"
"S60","Columba palumbus"
"S61","Coracius garrulus"
"S62","Corvus corax"
"S63","Corvus corone"
"S64","Corvus frugilegus"
"S65","Corvus monedula"
"S66","Coturnix coturnix"
"S67","Crex crex"
"S68","Cuculus canorus"
"S69","Cygnus olor"
"S70","Delichon urbica"
"S71","Dendrocopos leucotos"
"S72","Dendrocopos major"
"S73","Dendrocopos medius"
"S74","Dendrocopos minor"
"S75","Dendrocopos syriacus"
"S76","Dryocopus martius"
"S77","Egretta garzetta"
"S78","Emberiza citrinella"
"S79","Emberiza hortulana"
"S80","Emberiza schoeniclus"
"S81","Erithacus rubecula"
"S82","Falco cherrug"
"S83","Falco peregrinus"
"S84","Falco subbuteo"
"S85","Falco tinnunculus"
"S86","Falco vespertinus"
"S87","Ficedula albicollis"
"S88","Ficedula hypoleuca"
"S89","Ficedula parva"
"S90","Fringilla coelebs"
"S91","Fulica atra"
"S92","Galerida cristata"
"S93","Gallinago gallinago"
"S94","Gallinula chloropus"
"S95","Garrulus glandarius"
"S96","Glaucidium passerinum"
"S97","Grus grus"
"S98","Haliaeetus albicilla"
"S99","Himantopus himantopus"
"S100","Hippolais icterina"
"S101","Hirundo rustica"
"S102","Ixobrychus minutus"
"S103","Jynx torquilla"
"S104","Lanius collurio"
"S105","Lanius excubitor"
"S106","Lanius minor"
"S107","Lanius senator"
"S108","Larus cachinnans"
"S109","Larus canus"
"S110","Larus melanocephalus"
"S111","Larus ridibundus"
"S112","Limosa limosa"
"S113","Locustella fluviatilis"
"S114","Locustella luscinioides"
"S115","Locustella naevia"
"S116","Loxia curvirostra"
"S117","Lullula arborea"
"S118","Luscinia luscinia"
"S119","Luscinia megarhynchos"
"S120","Luscinia svecica"
"S121","Mergus merganser"
"S122","Merops apiaster"
"S123","Miliaria calandra"
"S124","Milvus migrans"
"S125","Milvus milvus"
"S126","Motacilla alba"
"S127","Motacilla cinerea"
"S128","Motacilla flava"
"S129","Muscicapa striata"
"S130","Netta rufina"
"S131","Nucifraga caryocatactes"
"S132","Numenius arquata"
"S133","Nycticorax nycticorax"
"S134","Oenanthe oenanthe"
"S135","Oriolus oriolus"
"S136","Otis tarda"
"S137","Otus scops"
"S138","Panurus biarmicus"
"S139","Parus ater"
"S140","Parus caeruleus"
"S141","Parus cristatus"
"S142","Parus major"
"S143","Parus montanus"
"S144","Parus palustris"
"S145","Passer domesticus"
"S146","Passer montanus"
"S147","Perdix perdix"
"S148","Pernis apivorus"
"S149","Phalacrocorax carbo"
"S150","Phasianus colchicus"
"S151","Phoenicurus ochruros"
"S152","Phoenicurus phoenicurus"
"S153","Phylloscopus collybita"
"S154","Phylloscopus sibilatrix"
"S155","Phylloscopus trochiloides"
"S156","Phylloscopus trochilus"
"S157","Pica pica"
"S158","Picoides tridactylus"
"S159","Picus canus"
"S160","Picus viridis"
"S161","Platalea leucorodia"
"S162","Podiceps cristatus"
