"SPECIES","NAME"
"S163","Podiceps grisegena"
"S164","Podiceps nigricollis"
"S165","Porzana parva"
"S166","Porzana porzana"
"S167","Prunella collaris"
"S168","Prunella modularis"
"S169","Pyrrhula pyrrhula"
"S170","Rallus aquaticus"
"S171","Recurvirostra avosetta"
"S172","Regulus ignicapillus"
"S173","Regulus regulus"
"S174","Remiz pendulinus"
"S175","Riparia riparia"
"S176","Saxicola rubetra"
"S177","Saxicola torquata"
"S178","Scolopax rusticola"
"S179","Serinus serinus"
"S180","Sitta europaea"
"S181","Sterna hirundo"
"S182","Streptopelia decaocto"
"S183","Streptopelia turtur"
"S184","Strix aluco"
"S185","Strix uralensis"
"S186","Sturnus vulgaris"
"S187","Sylvia atricapilla"
"S188","Sylvia borin"
"S189","Sylvia communis"
"S190","Sylvia curruca"
"S191","Sylvia nisoria"
"S192","Tachybaptus ruficollis"
"S193","Tetrao tetrix"
"S194","Tetrao urogallus"
"S195","Tringa ochropus"
"S196","Tringa totanus"
"S197","Troglodytes troglodytes"
"S198","Turdus iliacus"
"S199","Turdus merula"
"S200","Turdus philomelos"
"S201","Turdus pilaris"
"S202","Turdus torquatus"
"S203","Turdus viscivorus"
"S204","Tyto alba"
"S205","Upupa epops"
"S206","Vanellus vanellus"
