"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",1980,0.262,0.012,514,514,514,2846,89
"Ammodramus maritimus",1980,0.336,0.057,44,44,44,149,21
"Empidonax flaviventris",1980,0.315,0.024,186,186,186,803,40
"Empidonax minimus",1980,0.539,0.011,3668,3668,3668,4832,2364
"Empidonax traillii",1980,0.385,0.01,1861,1861,1861,3888,1035
"Empidonax virescens",1980,0.357,0.03,156,156,156,861,16
"Eremophila alpestris",1980,0.341,0.011,1049,1048,1048,2880,490
"Euphagus carolinus",1980,0.322,0.029,144,144,144,566,32
"Euphagus cyanocephalus",1980,0.171,0.217,1,1,1,21,0
"Falcipennis canadensis",1980,0.257,0.053,27,27,27,156,6
"Falco peregrinus",1980,0.212,0.054,17,17,17,126,1
"Falco sparverius",1980,0.48,0.01,3266,3266,3266,4825,2121
"Ammodramus savannarum",1980,0.347,0.013,775,775,775,2734,181
"Fulica americana",1980,0.26,0.034,62,62,62,423,3
"Gallinago delicata",1980,0.316,0.011,920,920,920,3137,315
"Gallinula chloropus",1980,0.375,0.024,277,277,277,1482,28
"Gavia immer",1980,0.342,0.019,361,361,361,1040,128
"Gelochelidon nilotica",1980,0.17,0.112,3,3,3,18,2
"Geothlypis trichas",1980,1.424,0.053,4941,4940.8,4940.5,5058,3493
"Haematopus palliatus",1980,0.354,0.064,39,38.8,38.8,131,12
"Haliaeetus leucocephalus",1980,0.242,0.043,34,34,34,322,4
"Helmitheros vermivorum",1980,0.373,0.028,216,216,216,657,98
"Hirundo rustica",1980,0.909,0.021,4686,4686,4686,5058,3358
"Anas acuta",1980,0.205,0.039,29,29,29,275,0
"Hydropogne caspia",1980,93.447,62.734,3,3,3,17,0
"Hylocichla mustelina",1980,0.773,0.016,4550,4550,4550,5058,3307
"Icteria virens",1980,0.446,0.044,114,114,114,666,10
"Icterus galbula",1980,0.711,0.015,4212,4212,4212.2,4989,3074
"Icterus spurius",1980,0.357,0.026,214,214,214,1120,34
"Ixobrychus exilis",1980,0.222,0.02,134,134,134,936,18
"Junco hyemalis",1980,0.49,0.012,2181,2181,2181,3763,1171
"Lanius ludovicianus",1980,0.209,0.046,23,23,23,197,5
"Larus argentatus",1980,0.286,0.019,252,252,252,946,76
"Larus delawarensis",1980,0.171,0.03,36,36,36,197,30
"Anas americana",1980,0.346,0.061,38,38,38,217,5
"Larus marinus",1980,0.289,0.039,63,63,63,263,17
"Laterallus jamaicensis",1980,1.649,1.831,1,1,1,12,0
"Leucophaeus atricilla",1980,0.27,0.052,31,31,31,146,7
"Lophodytes cucullatus",1980,0.301,0.016,369,369,369,1864,52
"Loxia curvirostra",1980,0.298,0.021,218,218,218,1184,37
"Loxia leucoptera",1980,0.308,0.023,199,199,199,798,48
"Megaceryle alcyon",1980,0.468,0.009,3634,3632.5,3632.3,5058,2363
"Megascops asio",1980,0.348,0.011,1059,1059,1059,3150,342
"Melanerpes carolinus",1980,0.403,0.015,944,944,944,2100,496
"Melanerpes erythrocephalus",1980,0.314,0.013,641,641,641,2555,184
"Anas clypeata",1980,0.328,0.091,15,15,15,108,0
"Meleagris gallopavo",1980,0.392,0.011,1467,1467,1467,3597,669
"Melospiza georgiana",1980,0.401,0.008,2802,2802,2802,5001,1458
"Melospiza lincolnii",1980,0.36,0.023,275,275,275,739,98
"Melospiza melodia",1980,1.462,0.058,4950,4949.8,4949.5,5058,3516
"Mergus merganser",1980,0.316,0.016,457,457,457,1696,108
"Mergus serrator",1980,0.345,0.102,13,13,13,103,0
"Mimus polyglottos",1980,0.417,0.012,1413,1413,1413,3230,774
"Mniotilta varia",1980,0.462,0.01,2665,2665,2665,4365,1572
"Molothrus ater",1980,0.666,0.013,4305,4305,4305,5042,3131
"Myiarchus crinitus",1980,0.583,0.011,4119,4119,4118.8,5058,2946
"Anas crecca",1980,0.295,0.029,111,111,111,754,0
"Myiopsitta monachus",1980,0.065,0.039,3,3,3,38,1
"Nandayus nenday",1980,0.428,0.215,5,5,5,33,0
"Nyctanassa violacea",1980,0.216,0.037,38,38,38,183,18
"Nycticorax nycticorax",1980,0.285,0.022,197,197,197,731,80
"Oporornis formosus",1980,0.38,0.063,39,39,39,308,0
"Oporornis philadelphia",1980,0.34,0.01,1351,1351,1351,3450,584
