"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ID1",1,105,0.856,2.53,4.02,0.92,88.9,105.2,7
"ID10",2,51,0.708,7.29,3.44,0.92,50.7,87.1,5
"ID100",3,76,0.771,4.01,3.24,0.92,69.9,98.3,10
"ID1000",4,77,0.942,0.7,1.4,0.92,77,73.5,38
"ID1001",5,65,0.877,4.64,2.78,0.92,66.4,83.7,9
"ID1002",6,78,0.873,3.01,3.8,0.92,74,88.8,5
"ID1003",7,93,0.856,2.22,3.9,0.92,94,109.2,8
"ID1004",8,120,0.891,1.66,3.07,0.92,99.4,107.5,5
"ID1005",9,70,0.824,2.81,3.38,0.92,59.1,73.7,15
"ID1006",10,63,0.826,5.67,4.57,0.92,62.9,87.8,4
"ID1007",11,78,0.835,3.83,4.34,0.92,77.7,101.3,5
"ID1008",12,90,0.824,3.93,4.59,0.92,76.9,101.9,9
"ID1009",13,86,0.832,3.06,3,0.92,82.7,104.1,61
"ID101",14,53,0.819,3.63,3.94,0.92,61.2,80.1,9
"ID1010",15,71,0.863,3.56,2.98,0.92,70.6,87.1,5
"ID1011",16,75,0.868,19.32,3.48,0.92,70.7,109.4,9
"ID1012",17,93,0.879,2.11,3.92,0.92,87.6,98.9,4
"ID1013",18,90,0.892,1.6,3.96,0.92,88.5,95.2,5
"ID1014",19,84,0.902,1.73,2.74,0.92,86.2,92.9,5
"ID1015",20,62,0.871,2.66,3.97,0.92,64,75.3,4
"ID1016",21,71,0.807,3.08,4.57,0.92,75,96.4,17
"ID1017",22,50,0.787,7.88,4.29,0.92,68.3,111.2,16
"ID1018",23,68,0.872,2.5,2.73,0.92,63.5,73.9,3
"ID102",24,73,0.795,4.06,2.78,0.92,71.3,97.6,7
"ID1020",25,79,0.83,2.76,3.41,0.92,71.8,88.7,16
"ID1021",26,59,0.817,5.92,3.89,0.92,67.6,96.5,4
"ID1022",27,78,0.817,3.75,4.34,0.92,70.4,92.8,8
