"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ID1",1,44,0.637,4.21,28.77,0.84,57,97.7,4
"ID10",2,69,0.578,4.51,32.9,0.84,53.9,101.2,6
"ID100",3,60,0.641,4.37,32.31,0.84,61.1,105.9,3
"ID1000",4,77,0.803,1.59,29.36,0.84,82.5,93.6,4
"ID1001",5,73,0.809,1.53,30.52,0.84,80.3,89.8,5
"ID1002",6,81,0.797,1.7,27.28,0.84,74.1,85.8,4
"ID1003",7,37,0.746,2.34,31.92,0.84,62.9,82.2,3
"ID1004",8,55,0.747,2.33,31.63,0.84,63.2,82.4,3
"ID1005",9,81,0.716,2.33,35.34,0.84,74,99.1,5
"ID1006",10,65,0.755,2.08,32.14,0.84,75.7,95.2,4
"ID1007",11,77,0.808,1.81,25.93,0.84,83.2,96.8,7
"ID1008",12,77,0.8,1.86,26.49,0.84,83.4,98.3,6
"ID1009",13,86,0.803,1.67,30.96,0.84,82.3,94.3,5
"ID101",14,93,0.771,2.05,28.79,0.84,78.4,96.9,4
"ID1010",15,77,0.81,1.54,29.56,0.84,76,85.1,5
"ID1011",16,61,0.76,2.08,28.65,0.84,62.9,78.8,3
"ID1012",17,83,0.806,1.52,29.16,0.84,79.5,89,4
"ID1013",18,78,0.81,1.43,28.04,0.84,80.5,88.7,4
"ID1014",19,85,0.818,1.35,30.72,0.84,83.1,89.9,4
"ID1015",20,66,0.772,3.15,29.92,0.84,71.1,97.6,8
"ID1016",21,26,0.741,2.43,31.87,0.84,64.5,85.5,3
"ID1017",22,81,0.813,1.4,32.68,0.84,89.9,98.3,4
"ID1018",23,105,0.814,1.37,32.49,0.84,86.7,94.2,3
"ID1019",24,62,0.779,2.13,28.65,0.84,72.6,90,5
"ID102",25,78,0.623,4.36,32.46,0.84,60.2,106.5,4
"ID1020",26,69,0.746,2.59,28.98,0.84,70.1,94,4
"ID1021",27,73,0.742,2.88,30.95,0.84,69.2,95.8,5
"ID1022",28,86,0.8,1.56,31.78,0.84,80.7,91.3,3
"ID1023",29,80,0.8,1.45,30.18,0.84,83.4,92.6,4
"ID1024",30,86,0.815,1.28,32.43,0.84,84.6,90.6,3
"ID1025",31,85,0.819,1.26,33.31,0.84,84.9,90.5,2
"ID1026",32,88,0.813,1.44,34.98,0.84,85.1,93.6,4
"ID1027",33,86,0.798,1.59,33.23,0.84,83,94.4,3
"ID1028",34,80,0.784,1.93,29.84,0.84,80.2,96.7,4
"ID1029",35,120,0.806,1.52,33.77,0.84,86.5,96.9,4
"ID103",36,55,0.64,4.64,27.84,0.84,56.8,99.9,3
"ID1030",37,94,0.819,1.29,32.09,0.84,91.4,97.6,3
"ID1031",38,75,0.783,1.88,30.45,0.84,73.7,88.4,4
"ID1032",39,77,0.787,1.81,29.91,0.84,74.2,87.8,4
"ID1033",40,91,0.783,1.87,28.35,0.84,74.3,88.9,4
"ID1034",41,89,0.826,1.17,29.24,0.84,86.3,89.9,2
"ID1035",42,68,0.779,1.99,28.22,0.84,77.1,94,4
"ID1036",43,97,0.791,1.77,30.77,0.84,80.2,94.1,4
"ID1037",44,85,0.805,1.41,31.1,0.84,84.2,92.7,3
"ID1038",45,81,0.818,1.29,33.22,0.84,93.2,99.7,3
"ID1039",46,89,0.836,1.04,27.81,0.84,89.3,90.3,2
"ID104",47,81,0.765,2.25,27.53,0.84,77.7,98.8,5
"ID1040",48,57,0.748,2.55,31.51,0.84,70.7,94.3,4
"ID1041",49,60,0.753,2.66,29.15,0.84,70.5,94.7,5
"ID1042",50,58,0.79,1.77,29.41,0.84,74.7,87.7,4
"ID1043",51,64,0.774,2.62,29.27,0.84,72.8,95.4,7
"ID1044",52,59,0.768,2.1,28.37,0.84,72.8,90.9,4
"ID1045",53,63,0.782,1.95,26.44,0.84,74.3,90,4
"ID1046",54,60,0.793,1.75,26.7,0.84,78.5,91.7,4
"ID1047",55,80,0.802,1.53,30.55,0.84,83.9,94.3,3
"ID1048",56,78,0.798,1.59,33.23,0.84,83,94.4,3
"ID1049",57,96,0.836,1.04,31.25,0.84,88.6,89.4,3
"ID105",58,95,0.625,4.03,28.41,0.84,61.9,106.8,6
"ID1050",59,80,0.826,1.17,30.07,0.84,86.3,90,2
"ID1051",60,82,0.824,1.19,28.62,0.84,86.6,90.7,3
"ID1052",61,90,0.782,1.84,34.25,0.84,81.3,97,3
"ID1053",62,94,0.815,1.26,30.44,0.84,86,91.8,4
"ID1054",63,81,0.804,1.42,28.83,0.84,83.8,92.4,3
"ID1055",64,59,0.749,2.23,30.21,0.84,70.7,90.9,3
"ID1056",65,85,0.76,1.95,33.88,0.84,75.4,93,4
"ID1057",66,94,0.77,1.87,29.79,0.84,79.6,96.2,3
"ID1058",67,69,0.79,1.7,30.19,0.84,91.2,106.2,3
"ID1059",68,114,0.797,1.59,32.76,0.84,92,104.8,3
"ID106",69,74,0.695,3.12,26.58,0.84,72.6,107.2,4
"ID1060",70,95,0.835,1.06,33.89,0.84,91,92.4,2
"ID1061",71,68,0.791,1.75,32.38,0.84,73.8,86.4,4
"ID1062",72,84,0.838,1.02,29.53,0.84,89.2,89.7,2
"ID1063",73,104,0.817,1.25,32.15,0.84,86.2,91.6,3
"ID1064",74,69,0.771,2.06,29.28,0.84,79.4,98.2,4
"ID1065",75,62,0.766,2.17,29.55,0.84,77.4,97.5,4
"ID1066",76,79,0.809,1.34,28.39,0.84,84.8,92.1,4
"ID1067",77,83,0.748,2.18,29.87,0.84,70.2,89.9,3
"ID1068",78,98,0.751,2.08,31.8,0.84,72.4,91.3,3
"ID1069",79,67,0.769,1.92,31.6,0.84,87.9,107.1,3
"ID107",80,71,0.666,4.41,27.69,0.84,60.5,101.9,4
"ID1070",81,107,0.797,1.59,32.76,0.84,92,104.8,3
"ID1071",82,87,0.797,1.64,27.87,0.84,77.3,88.7,4
"ID1072",83,68,0.79,1.78,32.31,0.84,73.5,86.3,4
"ID1073",84,70,0.763,2.38,28.94,0.84,71.9,93.1,4
"ID1074",85,72,0.777,2.07,32.32,0.84,75,92.4,4
"ID1075",86,87,0.794,1.52,29.7,0.84,76.2,86.1,4
"ID1076",87,97,0.83,1.1,28.38,0.84,86.6,88.9,3
"ID1077",88,81,0.836,1.04,31.04,0.84,87.8,88.8,2
