"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ID1",1,44,0.753,8.34,4.45,0.92,54.9,92.2,5
"ID10",2,69,0.738,4.58,2.88,0.92,56.8,85.4,15
"ID100",3,60,0.784,13.29,3.4,0.92,56.7,95.7,5
"ID1000",4,77,0.886,4.41,2.27,0.92,80.1,99.1,7
"ID1001",5,73,0.861,2.55,3.44,0.92,77.8,92,6
"ID1002",6,81,0.862,2.9,3.42,0.92,76.1,91.6,4
"ID1003",7,37,0.761,14.66,4.31,0.92,44.6,75.8,18
"ID1004",8,55,0.822,3,3.06,0.92,46.8,59.3,46
"ID1005",9,81,0.868,3.17,4.12,0.92,81,98.1,4
"ID1006",10,65,0.799,5.15,4.98,0.92,65,93.5,11
"ID1007",11,77,0.861,3.32,4.3,0.92,80.4,99,4
"ID1008",12,77,0.872,2.51,4.23,0.92,77.9,90.7,4
"ID1009",13,86,0.863,2.73,3.18,0.92,83,98.9,3
"ID101",14,93,0.881,1.76,3.98,0.92,85.7,94.4,6
"ID1010",15,77,0.854,5.88,3.84,0.92,80.3,108.4,6
"ID1011",16,61,0.772,3.55,3.16,0.92,50.4,69,6
"ID1012",17,83,0.865,2.67,3.93,0.92,77.5,91.8,2
"ID1013",18,78,0.875,2.22,3.54,0.92,77.9,88.9,4
"ID1014",19,85,0.918,1.04,2.72,0.92,81,81.4,3
"ID1015",20,66,0.838,3.46,4.12,0.92,69.9,89,6
"ID1016",21,26,0.701,6.67,4,0.92,44.4,78.1,73
"ID1017",22,81,0.861,3.67,4.23,0.92,86.6,108.3,5
"ID1018",23,105,0.918,1.02,2.98,0.92,98.7,99.1,6
"ID1019",24,62,0.853,6.54,4.08,0.92,67.2,93.3,4
"ID102",25,78,0.784,5.06,3.34,0.92,72.9,105.3,5
"ID1020",26,69,0.751,5.87,4.61,0.92,64.2,99.4,8
"ID1021",27,73,0.843,3.64,4.77,0.92,81,103.5,5
"ID1022",28,86,0.863,2.86,5.16,0.92,86.1,103,3
"ID1023",29,80,0.858,2.52,4.25,0.92,82.6,97.6,5
"ID1024",30,86,0.885,2.54,3.68,0.92,85.8,98.8,3
"ID1025",31,85,0.887,1.87,3.43,0.92,86.1,95,4
"ID1026",32,88,0.878,2.56,2.91,0.92,87.8,102.1,3
"ID1027",33,86,0.89,2.06,3.46,0.92,83.8,93.3,4
"ID1028",34,80,0.859,3.76,3.91,0.92,75.8,95.7,6
"ID1029",35,120,0.88,2.06,4.37,0.92,99,111.5,4
"ID103",36,55,0.8,17.33,3.46,0.92,53.2,88.9,9
"ID1030",37,94,0.883,2.44,3.91,0.92,96.1,110.3,4
"ID1031",38,75,0.844,3.13,5.49,0.92,74.3,92.2,5
"ID1032",39,77,0.854,2.8,3.64,0.92,71,85.6,5
"ID1033",40,91,0.861,2.54,3.67,0.92,82.6,97.5,6
"ID1034",41,89,0.89,1.54,3.45,0.92,84.1,90.3,6
