"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4952,1,109,0.92,1.7,4.72,0.94,105.4,112.1,2
5052,2,106,0.912,2.01,5.4,0.94,104.9,114.2,3
5053,3,106,0.921,1.74,4.6,0.94,106,112.8,3
5056,4,118,0.889,2.63,4,0.94,103.6,118.7,7
5057,5,98,0.886,2.82,4.58,0.94,103.7,120.2,9
5151,6,97,0.914,2.14,4.87,0.94,104.2,113.8,3
5152,7,103,0.908,2.34,5.45,0.94,104.3,115.8,3
5153,8,112,0.902,2.55,5.39,0.94,104.1,117.3,3
5154,9,78,0.891,4.01,4.21,0.94,104,124.3,5
5155,10,91,0.874,2.92,3.92,0.94,105.7,124.6,4
5156,11,105,0.883,2.76,4.54,0.94,102.7,119.4,12
5157,12,109,0.887,2.94,4.59,0.94,103.6,120.5,7
5158,13,71,0.885,3.39,4.37,0.94,100.4,119,3
5248,14,86,0.892,5.23,3.78,0.94,90.6,112.7,5
5249,15,92,0.887,3.75,4.21,0.94,92.3,111,6
5250,16,96,0.896,4,4.62,0.94,95.2,113.5,5
5251,17,102,0.924,3.23,3.76,0.94,99.8,112.4,9
5252,18,111,0.9,3.71,4.42,0.94,103,121.3,4
5253,19,92,0.879,2.9,4.31,0.94,103.1,120.9,11
5254,20,127,0.853,4.11,3.64,0.94,96.6,123,10
5255,21,92,0.855,6.54,3.64,0.94,92.2,124.2,4
5256,22,101,0.883,3.08,4.3,0.94,103,121.4,9
5257,23,97,0.886,2.81,4.72,0.94,100.9,116.9,4
5258,24,81,0.869,3.72,4.54,0.94,93.4,114.6,4
5259,25,84,0.864,8.15,4.26,0.94,83.9,118.1,12
5260,26,87,0.877,5.42,4.23,0.94,81.4,104.2,3
5346,27,80,0.879,10.04,4.32,0.94,89.7,125.4,4
5347,28,92,0.868,10.84,4.83,0.94,91,131.7,4
5348,29,105,0.87,13.49,4.8,0.94,92,134.5,5
5349,30,128,0.88,17.2,3.91,0.94,92.8,133.9,9
5350,31,68,0.907,3.12,3.66,0.94,95.8,109.8,4
5351,32,81,0.894,4.61,4.3,0.94,100.2,122.1,4
5352,33,136,0.876,3.54,4.57,0.94,103.3,124.7,5
5353,34,151,0.86,4.22,4.57,0.94,105.9,133.2,4
5354,35,130,0.826,4.63,4.57,0.94,98.9,132.6,67
5355,36,119,0.837,4.19,4.57,0.94,102.6,133.7,74
5356,37,98,0.872,3.61,4.57,0.94,98.6,120.2,6
5357,38,92,0.892,3.06,4.57,0.94,99.2,115.5,3
5358,39,91,0.87,5.82,4.31,0.94,86.9,113.2,4
5359,40,112,0.874,9.6,4.08,0.94,83.2,112.8,8
5360,41,115,0.85,5.56,4.52,0.94,91.9,122.6,4
5361,42,100,0.856,3.58,4.55,0.94,98.1,122,41
5362,43,85,0.883,3.23,4.68,0.94,98.9,117,4
5363,44,98,0.902,4.13,4.59,0.94,96,114.6,4
5364,45,100,0.91,3.3,3.92,0.94,94.6,109.1,3
5445,46,93,0.867,7.29,4.07,0.94,92.2,123.9,3
5446,47,111,0.861,8.51,4.4,0.94,91.4,127.5,5
5447,48,100,0.879,8.89,3.82,0.94,90.7,123.5,5
5448,49,115,0.851,6.15,4.3,0.94,99.3,134.9,8
5449,50,79,0.833,4.4,4.57,0.94,102,133.4,15
5450,51,88,0.799,4.22,4.57,0.94,97.6,133.1,87
5451,52,89,0.795,9.33,4.57,0.94,89.8,139.4,5
5452,53,98,0.836,4.7,4.57,0.94,109.7,145.2,11
5453,54,92,0.867,2.82,4.57,0.94,125.7,148.9,24
5454,55,129,0.881,2.69,4.57,0.94,129.5,150,9
5455,56,91,0.879,2.85,4.57,0.94,113.9,133.6,8
5456,57,129,0.88,3.31,4.57,0.94,104.1,124.6,10
5457,58,107,0.893,3.87,4.57,0.94,95.3,114.4,5
5458,59,82,0.885,5.89,4.57,0.94,91.2,115.3,6
5459,60,89,0.862,4.41,4.57,0.94,95.5,120.9,7
5460,61,100,0.879,2.69,4.31,0.94,104.3,121.2,8
5461,62,111,0.897,2.17,3.64,0.94,101.9,113.4,6
5462,63,91,0.914,3.29,3.53,0.94,95.1,108.8,5
5463,64,102,0.911,3.33,3.8,0.94,94.4,108.8,4
5464,65,108,0.912,2.62,4.55,0.94,96.3,107.9,3
5542,66,79,0.871,9.58,4.05,0.94,88.9,125.5,4
5543,67,74,0.861,8.08,4.25,0.94,90.8,126.6,4
5544,68,114,0.866,12.92,4.63,0.94,94.3,136.8,6
5545,69,136,0.892,18.2,3.76,0.94,98.7,137.6,14
5546,70,152,0.854,5.08,4.24,0.94,97.2,125.5,3
5547,71,86,0.824,3.48,4.57,0.94,101.4,129.9,92
5548,72,100,0.844,4.19,4.57,0.94,103.6,132.6,7
5549,73,53,0.83,3.82,4.57,0.94,104,133.4,8
5550,74,92,0.78,6.99,4.57,0.94,83.9,127.7,8
5551,75,104,0.795,7.74,4.57,0.94,87.8,131.3,4
5552,76,116,0.804,4.5,4.57,0.94,104.6,142.6,28
5553,77,93,0.833,3.61,4.57,0.94,116.6,149.1,87
5554,78,90,0.853,3.92,4.57,0.94,116,146,8
5555,79,115,0.875,2.81,4.57,0.94,116.1,136.4,10
5556,80,137,0.873,3.3,4.57,0.94,105.7,127.3,20
5557,81,133,0.883,3.08,4.57,0.94,106.3,125.5,12
5558,82,107,0.892,4.46,4.57,0.94,94.8,115.7,4
5559,83,121,0.887,4.59,4.57,0.94,94.9,117.1,4
5560,84,112,0.903,4.56,4.57,0.94,102.3,123.9,4
5561,85,118,0.905,3.63,4.57,0.94,102.5,120.1,4
5562,86,127,0.906,3.07,5.02,0.94,97.9,112.3,4
5563,87,112,0.911,2.76,5.05,0.94,95.5,107.6,4
5567,88,103,0.878,4.09,4.53,0.94,102.1,124.5,3
5641,89,104,0.883,4.85,4.05,0.94,93.1,116.1,4
5642,90,107,0.867,9.78,5.02,0.94,92.4,129.8,4
5643,91,117,0.866,10.12,3.89,0.94,90,127.3,7
5644,92,129,0.861,4.49,3.77,0.94,101.4,129.3,4
5645,93,154,0.888,4.01,4.3,0.94,120.8,145.6,3
5646,94,117,0.863,2.89,4.57,0.94,124,147.7,8
5647,95,87,0.834,3.65,4.57,0.94,114.2,146.1,85
5648,96,124,0.845,3.8,4.57,0.94,94.4,119.3,16
5649,97,100,0.791,6.34,4.57,0.94,83.9,122.1,5
5650,98,51,0.757,5.5,4.57,0.94,79.3,118.7,12
5651,99,98,0.832,4.41,4.57,0.94,96.1,126.1,8
5652,100,125,0.836,3.06,4.57,0.94,102.4,126.7,71
5653,101,106,0.836,4.08,4.57,0.94,101.5,131.2,12
5654,102,95,0.834,4.11,4.57,0.94,102.8,133.7,73
5655,103,116,0.863,6.21,4.57,0.94,105.5,139.7,3
5656,104,104,0.898,2.5,4.57,0.94,122.5,138.4,4
5657,105,134,0.881,2.72,4.57,0.94,123,142.7,13
5658,106,109,0.851,3.87,4.57,0.94,109.4,138.4,61
5659,107,108,0.879,3.15,4.57,0.94,104.2,123.7,8
5660,108,125,0.91,2.16,4.57,0.94,110.3,121.3,3
5661,109,134,0.921,3.37,4.57,0.94,112.6,127.6,8
5662,110,123,0.902,3.37,4.76,0.94,112.3,130.7,4
5663,111,92,0.894,3.65,4.93,0.94,108.3,128.4,4
5664,112,84,0.906,3.11,4.19,0.94,106.7,122.2,5
5667,113,88,0.882,3.82,4.25,0.94,102.4,123.7,3
5668,114,127,0.867,3.99,5.66,0.94,102.6,127.2,5
5669,115,105,0.873,3.07,4.76,0.94,105.9,126.1,10
5672,116,88,0.819,4.49,3.84,0.94,98.3,131.6,11
5738,117,88,0.891,3.11,4.64,0.94,95.1,111.3,3
5739,118,87,0.89,3.14,4.76,0.94,95.3,111.7,3
5740,119,97,0.893,2.49,3.97,0.94,97.1,110.1,5
5741,120,78,0.901,2.24,3.65,0.94,99.9,111.2,4
5742,121,137,0.885,3.4,4.36,0.94,99.8,118.5,3
5743,122,120,0.867,4.34,4.68,0.94,102.7,128.3,3
5744,123,131,0.885,3.49,4.68,0.94,122.2,145.5,4
5745,124,149,0.904,2.03,4.68,0.94,136.4,149.9,6
5746,125,98,0.874,2.31,4.72,0.94,132.8,152.3,86
5747,126,95,0.861,8.63,4.57,0.94,105.7,148.9,8
5748,127,102,0.857,4.52,4.57,0.94,98.5,126.5,10
5749,128,110,0.778,4.23,4.57,0.94,91.3,127.4,93
5750,129,91,0.798,4.87,4.57,0.94,82.6,114.8,12
5751,130,77,0.802,6.07,4.57,0.94,88.1,125.4,5
5752,131,100,0.881,3.17,4.57,0.94,109.5,129.5,7
5753,132,133,0.86,3.08,4.57,0.94,107.7,130.1,53
5754,133,109,0.867,4.28,4.57,0.94,99.9,124.5,3
5755,134,102,0.87,3.25,4.57,0.94,107.1,128.8,6
5756,135,79,0.878,2.56,4.57,0.94,120.3,139.3,10
5757,136,79,0.868,2.68,4.57,0.94,121.4,142.9,82
