"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Tetrao urogallus",2014,1760.564,530.521,28,27,27,51,0
"Tetrastes bonasia",2014,0.668,0.083,72,71,71,611,0
"Tringa ochropus",2014,0.737,0.061,154,154,154,671,0
"Tringa totanus",2014,1.266,0.157,71,71,71,649,0
"Troglodytes troglodytes",2014,1.298,0.149,653,653,653,671,516
"Anas platyrhynchos",2014,0.891,0.062,631,631,631,671,516
"Turdus iliacus",2014,0.798,0.255,10,10,10,407,0
"Turdus merula",2014,2.556,1.359,666,666,663.6,671,516
"Turdus philomelos",2014,2.186,0.812,664,664,662.5,671,516
"Turdus pilaris",2014,0.724,0.042,596,596,596,671,407
"Turdus torquatus",2014,0.365,0.051,54,54,54,535,0
"Turdus viscivorus",2014,1.178,0.115,649,649,649,671,509
"Tyto alba",2014,0.531,0.05,122,122,122,671,0
"Upupa epops",2014,0.885,0.085,114,114,114,671,0
"Vanellus vanellus",2014,0.646,0.035,473,473,473,671,49
"Anas querquedula",2014,0.739,0.064,141,141,141,671,0
"Anas strepera",2014,0.698,0.044,285,285,285,671,0
"Anser anser",2014,0.803,0.063,177,177,177,671,0
"Anthus campestris",2014,0.143,0.051,8,8,8,213,0
"Anthus pratensis",2014,0.432,0.026,324,324,324,671,99
"Anthus spinoletta",2014,0.195,0.062,10,10,10,316,0
"Anthus trivialis",2014,0.816,0.051,619,618.6,618.6,671,439
"Acrocephalus arundinaceus",2014,0.529,0.032,304,304,304,671,0
"Apus apus",2014,0.693,0.04,599,599,599,671,410
"Aquila chrysaetos",2014,0.767,0.39,4,4,4,147,0
"Aquila heliaca",2014,NA,NA,12,12,NA,0,0
"Aquila pomarina",2014,0.468,0.111,18,18,18,595,0
"Ardea cinerea",2014,0.541,0.029,418,418,418,671,23
"Ardea purpurea",2014,1.372,0.42,11,11,11,349,0
"Asio flammeus",2014,0.666,0.137,24,24,24,618,0
"Asio otus",2014,0.603,0.032,437,437,437,671,10
"Athene noctua",2014,0.44,0.061,54,54,54,638,0
"Aythya ferina",2014,0.68,0.044,257,257,257,671,0
"Acrocephalus dumetorum",2014,0.42,0.423,1,1,1,106,0
"Aythya fuligula",2014,0.567,0.032,376,376,376,671,2
"Aythya nyroca",2014,1.531,0.55,8,8,8,202,0
"Botaurus stellaris",2014,0.452,0.071,41,41,41,671,0
"Branta leucopsis",2014,1.066,0.767,2,2,2,143,0
"Bubo bubo",2014,0.471,0.026,391,391,391,671,30
"Bubulcus ibis",2014,NA,NA,3,3,NA,0,0
"Bucephala clangula",2014,1.059,0.14,60,60,60,474,0
"Burhinus oedicnemus",2014,0.215,0.125,3,3,3,191,0
"Buteo buteo",2014,1.484,0.22,657,657,656.8,671,516
"Caprimulgus europaeus",2014,0.669,0.113,36,36,36,565,0
"Acrocephalus melanopogon",2014,1.293,0.93,2,2,2,117,0
"Carduelis cannabina",2014,0.835,0.055,625,625,625,671,516
"Carduelis carduelis",2014,1.106,0.099,646,646,646,671,516
"Carduelis chloris",2014,1.066,0.09,644,644,644,671,516
"Carduelis flammea",2014,0.354,0.028,175,175,175,671,0
"Carduelis spinus",2014,0.521,0.027,494,494,494,671,120
"Carpodacus erythrinus",2014,0.355,0.038,88,88,88,671,0
"Certhia brachydactyla",2014,0.466,0.027,340,340,340,671,19
"Certhia familiaris",2014,0.811,0.051,619,619,619,671,452
"Charadrius dubius",2014,0.589,0.032,384,384,384,671,0
"Chlidonias hybrida",2014,1.343,0.612,5,5,5,210,0
"Acrocephalus paludicola",2014,0.434,0.309,2,2,2,213,0
"Chlidonias niger",2014,1.048,0.204,27,27,27,625,0
"Ciconia ciconia",2014,0.641,0.038,396,396,396,671,78
"Ciconia nigra",2014,0.532,0.028,497,497,497,671,135
"Cinclus cinclus",2014,0.399,0.023,351,351,351,671,54
"Circus aeruginosus",2014,0.559,0.029,499,499,499,671,124
"Circus cyaneus",2014,0.597,0.079,58,58,58,671,0
"Circus macrourus",2014,7.586,7.779,1,1,1,60,0
"Circus pygargus",2014,0.494,0.033,260,260,260,671,0
"Coccothraustes coccothraustes",2014,0.742,0.044,610,610,610,671,458
"Columba livia",2014,0.472,0.025,466,466,466,671,67
"Acrocephalus palustris",2014,0.611,0.033,578,578,578,671,364
"Columba oenas",2014,0.562,0.03,527,527,527,671,172
"Columba palumbus",2014,2.186,0.812,664,664,662.5,671,516
"Coracias garrulus",2014,0.72,0.516,2,2,2,140,0
"Corvus corax",2014,0.917,0.065,633,633,633,671,489
"Corvus corone",2014,0.607,0.032,552,552,552,671,199
"Corvus frugilegus",2014,0.408,0.059,48,48,48,671,0
"Corvus monedula",2014,0.551,0.038,222,222,222,671,0
"Coturnix coturnix",2014,0.559,0.029,537,537,537,671,184
"Crex crex",2014,0.462,0.027,373,373,373,671,85
"Cuculus canorus",2014,0.857,0.057,627,627,627,671,511
"Acrocephalus schoenobaenus",2014,0.693,0.042,314,314,314,671,0
"Cygnus cygnus",2014,753.408,826.007,1,1,1,9,0
"Cygnus olor",2014,0.579,0.031,437,437,437,671,0
"Delichon urbica",2014,0.846,0.056,626,626,626,671,516
"Dendrocopos leucotos",2014,111.03,28.626,38,38,38,113,0
"Dendrocopos major",2014,1.753,0.38,661,660.6,660,671,516
"Dendrocopos medius",2014,0.612,0.036,326,326,326,671,6
"Dendrocopos minor",2014,0.593,0.031,454,454,454,671,21
"Dendrocopos syriacus",2014,1.554,0.193,69,69,69,399,0
"Dryocopus martius",2014,0.975,0.074,638,638,638,671,511
"Egretta alba",2014,0.891,0.11,68,68,68,671,0
"Acrocephalus scirpaceus",2014,0.533,0.029,444,444,444,671,65
"Egretta garzetta",2014,7.196,2.094,13,13,13,139,0
"Emberiza citrinella",2014,1.546,0.251,658,658,657.8,671,516
"Emberiza hortulana",2014,0.206,0.037,32,32,32,671,0
"Emberiza schoeniclus",2014,0.557,0.029,462,462,462,671,17
"Erithacus rubecula",2014,1.908,0.509,662,662,661.1,671,516
"Falco cherrug",2014,2.661,0.593,21,21,21,295,0
"Falco peregrinus",2014,0.241,0.028,80,80,80,663,0
"Falco subbuteo",2014,0.668,0.041,302,302,302,671,0
"Falco tinnunculus",2014,0.936,0.068,635,635,635,671,511
"Falco vespertinus",2014,0.267,0.19,2,2,2,171,0
