"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",2014,0.491,0.026,472,472,472,671,131
"Actitis hypoleucos",2014,0.627,0.048,179,179,179,671,0
"Ficedula albicollis",2014,0.646,0.04,342,342,342,671,32
"Ficedula hypoleuca",2014,0.37,0.024,285,285,285,671,39
"Ficedula parva",2014,0.423,0.038,132,132,132,671,0
"Fringilla coelebs",2014,2.358,1.046,665,665,663.1,671,516
"Fulica atra",2014,0.558,0.03,436,436,436,671,44
"Galerida cristata",2014,1.765,0.238,57,57,57,663,0
"Gallinago gallinago",2014,0.533,0.038,208,208,208,671,0
"Gallinula chloropus",2014,0.599,0.033,393,393,393,671,0
"Garrulus glandarius",2014,1.38,0.178,655,655,654.9,671,516
"Glaucidium passerinum",2014,0.517,0.031,314,314,314,671,0
"Aegithalos caudatus",2014,0.598,0.032,563,563,563,671,337
"Grus grus",2014,0.335,0.028,153,153,153,671,0
"Haliaeetus albicilla",2014,0.674,0.046,230,230,230,671,0
"Himantopus himantopus",2014,3.169,0.816,16,16,16,172,0
"Hippolais icterina",2014,0.626,0.034,568,568,568,671,276
"Hirundo rustica",2014,1.15,0.109,648,648,648,671,516
"Ixobrychus minutus",2014,0.605,0.07,78,78,78,671,0
"Jynx torquilla",2014,0.589,0.031,511,511,511,671,117
"Lanius collurio",2014,1.107,0.099,646,646,646,671,515
"Lanius excubitor",2014,0.644,0.039,298,298,298,671,0
"Lanius senator",2014,0.167,0.168,1,1,1,153,0
"Aegolius funereus",2014,0.484,0.03,313,312,312,671,0
"Larus cachinnans",2014,0.623,0.104,37,37,37,584,0
"Larus canus",2014,0.368,0.152,6,6,6,277,0
"Larus melanocephalus",2014,1.033,0.211,25,25,25,546,0
"Larus michahellis",2014,0.687,0.283,6,6,6,302,0
"Larus ridibundus",2014,0.672,0.052,174,174,174,671,0
"Limosa limosa",2014,0.763,0.293,7,7,7,243,0
"Locustella fluviatilis",2014,0.571,0.03,495,494,494,671,36
"Locustella luscinioides",2014,0.575,0.045,172,172,172,671,0
"Locustella naevia",2014,0.562,0.029,526,525,525,671,149
"Loxia curvirostra",2014,0.525,0.028,500,500,500,671,220
"Aix galericulata",2014,0.516,0.109,23,23,23,617,0
"Lullula arborea",2014,0.663,0.045,242,242,242,671,0
"Luscinia luscinia",2014,0.527,0.129,17,17,17,626,0
"Luscinia megarhynchos",2014,0.517,0.031,330,330,330,671,25
"Luscinia svecica",2014,0.652,0.053,162,162,162,671,0
"Lyrurus tetrix",2014,0.226,0.035,45,44,44,497,0
"Mergus merganser",2014,0.444,0.043,110,110,110,671,0
"Merops apiaster",2014,0.897,0.111,67,67,67,668,0
"Miliaria calandra",2014,0.294,0.018,307,307,307,671,160
"Milvus migrans",2014,0.62,0.048,182,182,182,671,0
"Milvus milvus",2014,0.506,0.031,345,345,345,671,28
"Aix sponsa",2014,0.982,0.375,7,7,7,285,0
"Motacilla alba",2014,1.546,0.251,658,658,657.8,671,516
"Motacilla cinerea",2014,0.752,0.045,612,612,612,671,472
"Motacilla citreola",2014,0.367,0.262,2,2,2,129,0
"Motacilla flava",2014,0.572,0.038,257,257,257,671,0
"Muscicapa striata",2014,0.689,0.039,592,592,592,671,346
"Myiopsitta monachus",2014,NA,NA,1,1,NA,0,0
"Netta rufina",2014,0.974,0.123,65,65,65,671,0
"Nucifraga caryocatactes",2014,0.414,0.026,280,280,280,671,0
"Numenius arquata",2014,1.248,0.516,6,6,6,206,0
"Nycticorax nycticorax",2014,1.535,0.212,56,56,56,548,0
"Alauda arvensis",2014,1.127,0.103,647,647,647,671,516
"Oenanthe oenanthe",2014,0.453,0.04,137,137,137,671,0
"Oriolus oriolus",2014,0.558,0.03,505,505,505,671,140
"Otis tarda",2014,NA,NA,1,1,NA,0,0
"Otus scops",2014,1.626,0.739,5,5,5,226,0
"Pandion haliaetus",2014,0.617,0.147,18,18,18,587,0
"Panurus biarmicus",2014,0.747,0.119,40,40,40,661,0
"Parus ater",2014,0.769,0.047,616,616,616,671,506
"Parus caeruleus",2014,1.298,0.149,653,653,653,671,516
"Parus cristatus",2014,0.566,0.03,551,551,551,671,332
"Parus major",2014,2.037,0.639,663,663,661.8,671,516
"Alcedo atthis",2014,0.563,0.03,464,464,464,671,22
"Parus montanus",2014,0.542,0.028,497,497,497,671,157
"Parus palustris",2014,0.619,0.034,569,569,569,671,354
"Passer domesticus",2014,0.891,0.062,631,631,631,671,516
"Passer montanus",2014,0.786,0.049,618,618,618,671,487
"Perdix perdix",2014,0.609,0.036,333,333,333,671,0
"Pernis apivorus",2014,0.529,0.029,393,393,393,671,2
"Phalacrocorax carbo",2014,0.761,0.101,58,58,58,671,0
"Phasianus colchicus",2014,0.613,0.033,523,523,523,671,176
"Phoenicurus ochruros",2014,1.231,0.129,651,651,651,671,516
"Phoenicurus phoenicurus",2014,0.773,0.048,617,617,617,671,516
"Alopochen aegyptiaca",2014,0.463,0.049,91,91,91,671,0
"Phylloscopus collybita",2014,2.358,1.046,665,665,663.1,671,516
"Phylloscopus sibilatrix",2014,0.715,0.042,603,603,603,671,457
"Phylloscopus trochiloides",2014,0.209,0.041,27,27,27,536,0
"Phylloscopus trochilus",2014,1.15,0.109,648,648,648,671,516
"Pica pica",2014,0.708,0.041,605,605,605,671,494
"Picoides tridactylus",2014,1.178,0.16,56,56,56,554,0
"Picus canus",2014,0.613,0.033,533,533,533,671,117
"Picus viridis",2014,0.853,0.057,627,626.6,626.6,671,506
"Platalea leucorodia",2014,NA,NA,3,3,NA,0,0
"Podiceps cristatus",2014,0.581,0.034,320,320,320,671,0
"Anas acuta",2014,0.318,0.131,6,6,6,476,0
"Podiceps grisegena",2014,0.263,0.153,3,3,3,264,0
"Podiceps nigricollis",2014,0.586,0.081,54,54,54,671,0
"Porzana parva",2014,0.607,0.1,38,38,38,671,0
"Porzana porzana",2014,0.587,0.079,56,56,56,671,0
"Porzana pusilla",2014,NA,NA,1,1,NA,0,0
"Prunella collaris",2014,0.153,0.077,4,4,4,422,0
"Prunella modularis",2014,0.902,0.063,632,632,632,671,503
"Pyrrhula pyrrhula",2014,0.519,0.027,532,532,532,671,332
"Rallus aquaticus",2014,0.608,0.037,292,292,292,671,0
"Recurvirostra avosetta",2014,3.873,1.11,13,13,13,135,0
"Anas clypeata",2014,0.668,0.068,100,100,100,671,0
"Regulus ignicapillus",2014,0.667,0.037,587,587,587,671,385
"Regulus regulus",2014,0.711,0.041,604,604,604,671,448
"Remiz pendulinus",2014,0.629,0.053,148,148,148,671,0
"Riparia riparia",2014,0.621,0.052,152,152,152,671,0
"Saxicola rubetra",2014,0.582,0.031,534,534,534,671,261
"Saxicola torquata",2014,0.532,0.032,334,334,334,671,21
"Scolopax rusticola",2014,0.475,0.029,303,302,302,671,2
"Serinus serinus",2014,0.798,0.05,620,620,620,671,516
"Sitta europaea",2014,1.298,0.149,653,653,653,671,516
"Sterna hirundo",2014,1.249,0.157,70,70,70,584,0
"Accipiter nisus",2014,0.555,0.029,556,556,556,671,287
"Anas crecca",2014,0.626,0.051,154,154,154,671,0
"Streptopelia decaocto",2014,0.743,0.044,610,610,610,671,430
"Streptopelia orientalis",2014,NA,NA,1,1,NA,0,0
"Streptopelia turtur",2014,0.637,0.035,587,587,587,671,415
"Strix aluco",2014,0.634,0.035,575,575,575,671,337
"Strix uralensis",2014,4.124,0.769,31,31,31,185,0
"Sturnus vulgaris",2014,1.337,0.162,654,654,654,671,516
"Sylvia atricapilla",2014,2.186,0.812,664,664,662.5,671,516
"Sylvia borin",2014,0.707,0.041,605,605,605,671,503
"Sylvia communis",2014,1.298,0.149,653,653,653,671,516
"Sylvia curruca",2014,0.842,0.055,625,625,625,671,509
"Anas penelope",2014,0.411,0.138,9,9,9,492,0
"Sylvia nisoria",2014,0.424,0.03,220,220,220,671,0
"Syrmaticus reevesii",2014,1.352,0.484,8,8,8,287,0
"Tachybaptus ruficollis",2014,0.611,0.033,394,394,394,671,0
"Tadorna ferruginea",2014,0.387,0.138,8,8,8,450,0
"Tadorna tadorna",2014,0.952,0.154,39,39,39,638,0
