"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",1985,0.753,0.046,577,577,577,628,420
"Alauda arvensis",1985,2.018,0.624,627,627,625.8,628,438
"Hippolais icterina",1985,0.809,0.052,586,586,586,628,422
"Hirundo rustica",1985,2.184,0.856,628,628,626.4,628,438
"Ixobrychus minutus",1985,0.379,0.051,61,61,61,329,1
"Jynx torquilla",1985,0.459,0.026,409,409,409,626,185
"Lanius collurio",1985,1.451,0.194,621,621,620.9,628,438
"Lanius excubitor",1985,0.516,0.03,430,430,430,621,227
"Lanius minor",1985,0.832,0.465,6,6,6,24,0
"Lanius senator",1985,0.369,0.153,7,7,7,57,0
"Larus cachinnans",1985,0.215,0.107,5,5,5,31,0
"Larus canus",1985,0.293,0.101,10,10,10,55,0
"Alcedo atthis",1985,0.421,0.024,398,398,398,628,188
"Larus melanocephalus",1985,0.371,0.201,4,4,4,33,0
"Larus ridibundus",1985,0.419,0.026,332,332,332,614,146
"Limosa limosa",1985,0.359,0.059,44,44,44,199,4
"Locustella fluviatilis",1985,0.496,0.028,450,450,450,624,259
"Locustella luscinioides",1985,0.401,0.044,97,97,97,384,7
"Locustella naevia",1985,0.518,0.028,498,498,498,628,320
"Loxia curvirostra",1985,0.443,0.025,402,402,402,623,223
"Lullula arborea",1985,0.317,0.026,164,164,164,572,39
"Luscinia luscinia",1985,0.36,0.143,7,7,7,65,0
"Luscinia megarhynchos",1985,0.384,0.027,254,254,254,567,103
"Anas acuta",1985,0.376,0.127,10,10,10,88,0
"Luscinia svecica",1985,0.37,0.06,44,44,44,224,3
"Mergus merganser",1985,0.291,0.127,6,6,6,55,0
"Merops apiaster",1985,0.381,0.113,14,14,14,87,2
"Miliaria calandra",1985,0.349,0.032,137,137,137,446,33
"Milvus migrans",1985,0.472,0.056,81,81,81,364,6
"Milvus milvus",1985,0.448,0.049,104,104,104,335,14
"Motacilla alba",1985,1.878,0.47,626,626,625.2,628,438
"Motacilla cinerea",1985,0.724,0.044,560,560,560,628,392
"Motacilla flava",1985,0.35,0.026,201,201,201,589,41
"Muscicapa striata",1985,0.669,0.039,555,555,555,628,391
"Anas clypeata",1985,0.382,0.035,134,134,134,483,19
"Netta rufina",1985,0.499,0.106,27,27,27,120,0
"Nucifraga caryocatactes",1985,0.424,0.027,316,316,316,558,170
"Numenius arquata",1985,0.588,0.14,21,21,21,109,0
"Nycticorax nycticorax",1985,0.476,0.109,24,24,24,115,2
