"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Oenanthe oenanthe",1985,0.321,0.024,197,197,197,599,38
"Oriolus oriolus",1985,0.512,0.029,431,431,431,624,230
"Otis tarda",1985,1.215,1.298,2,2,2,8,0
"Otus scops",1985,0.23,0.179,2,2,2,20,0
"Panurus biarmicus",1985,0.462,0.087,32,32,32,179,0
"Parus ater",1985,0.814,0.053,583,583,583,628,415
"Anas crecca",1985,0.354,0.025,240,240,240,600,57
"Parus caeruleus",1985,1.665,0.3,624,624,623.6,628,437
"Parus cristatus",1985,0.6,0.033,535,535,535,628,376
"Parus major",1985,2.018,0.624,627,627,625.8,628,438
"Parus montanus",1985,0.453,0.025,425,425,425,624,237
"Parus palustris",1985,0.66,0.038,555,555,555,628,402
"Passer domesticus",1985,1.878,0.47,626,626,625.2,628,438
"Passer montanus",1985,1.009,0.079,605,605,605,628,434
"Perdix perdix",1985,0.613,0.035,530,530,530,628,353
"Pernis apivorus",1985,0.403,0.024,333,333,333,618,111
"Phalacrocorax carbo",1985,0.448,0.085,34,34,34,167,2
"Anas platyrhynchos",1985,0.913,0.065,595,595,595,628,419
"Phasianus colchicus",1985,0.809,0.052,584,584,584,628,409
"Phoenicurus ochruros",1985,2.184,0.856,628,628,626.4,628,438
"Phoenicurus phoenicurus",1985,0.681,0.04,564,564,564,628,413
"Phylloscopus collybita",1985,1.673,0.304,624,624,623.6,628,438
"Phylloscopus sibilatrix",1985,0.669,0.039,557,557,557,628,397
"Phylloscopus trochiloides",1985,0.242,0.094,8,8,8,58,1
"Phylloscopus trochilus",1985,1.249,0.129,616,616,616,628,436
"Pica pica",1985,0.84,0.055,589,589,589,628,419
"Picoides tridactylus",1985,1.22,0.28,38,38,38,91,4
"Picus canus",1985,0.441,0.024,428,428,428,628,233
"Anas querquedula",1985,0.359,0.028,188,188,188,582,16
"Picus viridis",1985,0.681,0.04,564,564,564,628,411
"Platalea leucorodia",1985,0.581,0.376,3,3,3,24,0
"Podiceps cristatus",1985,0.447,0.026,375,375,375,617,177
"Podiceps grisegena",1985,0.279,0.063,21,21,21,172,0
"Podiceps nigricollis",1985,0.373,0.027,219,219,219,570,51
"Porzana parva",1985,0.432,0.168,8,8,8,53,0
"Porzana porzana",1985,0.418,0.058,58,58,58,307,0
"Prunella collaris",1985,0.153,0.074,5,5,5,46,2
"Prunella modularis",1985,0.982,0.074,603,603,603,628,419
"Pyrrhula pyrrhula",1985,0.707,0.042,562,562,562,628,399
"Anas strepera",1985,0.39,0.03,198,198,198,558,53
"Rallus aquaticus",1985,0.371,0.028,199,199,199,573,33
"Recurvirostra avosetta",1985,0.699,0.608,2,2,2,14,0
"Regulus ignicapillus",1985,0.417,0.024,376,376,376,613,183
"Regulus regulus",1985,0.767,0.048,575,575,575,628,409
"Remiz pendulinus",1985,0.376,0.024,295,295,295,614,104
"Riparia riparia",1985,0.389,0.027,246,246,246,560,82
"Saxicola rubetra",1985,0.624,0.035,543,543,543,628,370
"Saxicola torquata",1985,0.431,0.032,227,227,227,518,85
"Scolopax rusticola",1985,0.35,0.023,282,282,282,616,107
"Serinus serinus",1985,1.584,0.253,623,623,622.7,628,434
"Anser anser",1985,0.46,0.074,48,48,48,195,6
"Sitta europaea",1985,1.514,0.22,622,622,621.8,628,437
"Sterna hirundo",1985,0.407,0.054,69,69,69,257,10
"Streptopelia decaocto",1985,1.19,0.114,614,614,614,628,430
"Streptopelia turtur",1985,0.947,0.069,598,598,598,628,415
"Strix aluco",1985,0.637,0.036,550,550,550,628,395
"Strix uralensis",1985,3.464,3.489,4,4,4,11,0
"Sturnus vulgaris",1985,1.762,0.369,625,625,624.4,628,438
"Sylvia atricapilla",1985,2.018,0.624,627,627,625.8,628,438
"Sylvia borin",1985,0.743,0.045,573,573,573,628,397
"Sylvia communis",1985,1.185,0.113,614,614,614,628,434
"Anthus campestris",1985,0.369,0.09,20,20,20,115,1
"Sylvia curruca",1985,1.243,0.127,616,616,616,628,435
"Sylvia nisoria",1985,0.33,0.026,186,186,186,518,48
"Tachybaptus ruficollis",1985,0.458,0.026,431,431,431,625,249
"Tetrao tetrix",1985,0.33,0.037,95,95,95,303,48
"Tetrao urogallus",1985,0.399,0.071,42,42,42,156,14
"Tringa ochropus",1985,0.423,0.072,40,40,40,217,0
"Tringa totanus",1985,0.399,0.052,72,72,72,311,13
"Troglodytes troglodytes",1985,1.354,0.159,619,619,619,628,434
"Turdus iliacus",1985,0.31,0.068,24,24,24,163,5
"Turdus merula",1985,2.184,0.856,628,628,626.4,628,438
"Accipiter nisus",1985,0.721,0.043,572,572,572,628,420
"Anthus pratensis",1985,0.421,0.026,323,323,323,592,161
"Turdus philomelos",1985,1.878,0.47,626,626,625.2,628,438
"Turdus pilaris",1985,0.788,0.049,580,580,580,628,407
"Turdus torquatus",1985,0.408,0.056,72,72,72,205,33
"Turdus viscivorus",1985,0.6,0.034,523,523,523,628,355
"Tyto alba",1985,0.351,0.022,313,313,313,621,126
"Upupa epops",1985,0.387,0.042,97,97,97,400,10
"Vanellus vanellus",1985,0.691,0.041,563,563,563,628,403
"Anthus spinoletta",1985,0.208,0.061,14,14,14,70,8
"Anthus trivialis",1985,1.078,0.09,609,609,609,628,431
"Apus apus",1985,0.995,0.076,604,604,604,628,430
"Aquila pomarina",1985,0.269,0.077,14,14,14,92,0
"Ardea cinerea",1985,0.383,0.026,251,251,251,597,44
"Ardea purpurea",1985,0.482,0.181,10,10,10,50,2
"Asio flammeus",1985,0.461,0.225,5,5,5,42,0
"Asio otus",1985,0.502,0.027,498,498,498,628,332
"Athene noctua",1985,0.433,0.024,428,428,428,628,220
"Acrocephalus arundinaceus",1985,0.35,0.024,238,238,238,605,56
"Aythya ferina",1985,0.463,0.027,388,388,388,622,188
"Aythya fuligula",1985,0.483,0.027,441,441,441,628,243
"Aythya nyroca",1985,0.328,0.081,18,18,18,148,0
"Bonasa bonasia",1985,0.635,0.094,68,68,68,181,17
"Botaurus stellaris",1985,0.381,0.059,46,46,46,263,0
"Bubo bubo",1985,0.441,0.026,393,393,393,614,223
"Bucephala clangula",1985,0.425,0.104,22,22,22,94,4
"Burhinus oedicnemus",1985,0.298,0.268,2,2,2,15,1
"Buteo buteo",1985,2.018,0.624,627,627,625.8,628,438
"Caprimulgus europaeus",1985,0.331,0.029,145,145,145,563,8
"Acrocephalus palustris",1985,0.612,0.034,542,542,542,628,388
"Carduelis cannabina",1985,0.769,0.048,578,578,578,628,402
"Carduelis carduelis",1985,1.311,0.146,618,618,618,628,438
"Carduelis chloris",1985,2.018,0.624,627,627,625.8,628,438
"Carduelis flammea",1985,0.4,0.028,248,248,248,493,105
"Carduelis spinus",1985,0.491,0.027,460,460,460,627,283
"Carpodacus erythrinus",1985,0.288,0.031,102,102,102,372,55
"Certhia brachydactyla",1985,0.411,0.023,407,407,407,627,227
"Certhia familiaris",1985,0.658,0.038,555,555,555,628,400
"Charadrius dubius",1985,0.384,0.022,361,361,361,627,150
"Charadrius morinellus",1985,0.158,0.122,2,2,2,25,0
"Acrocephalus schoenobaenus",1985,0.37,0.024,277,277,277,611,82
"Chlidonias niger",1985,0.362,0.047,66,66,66,373,4
"Ciconia ciconia",1985,0.503,0.029,429,429,429,623,218
"Ciconia nigra",1985,0.448,0.026,390,390,390,619,187
"Cinclus cinclus",1985,0.467,0.028,390,390,390,599,232
"Circus aeruginosus",1985,0.434,0.026,372,372,372,615,184
"Circus cyaneus",1985,0.391,0.032,173,173,173,524,26
"Circus pygargus",1985,0.323,0.05,46,46,46,283,1
"Coccothraustes coccothraustes",1985,0.633,0.036,546,546,546,628,389
"Columba livia",1985,0.488,0.026,490,490,490,628,333
"Columba oenas",1985,0.371,0.023,314,314,314,619,145
"Acrocephalus scirpaceus",1985,0.438,0.024,434,434,434,626,248
"Columba palumbus",1985,1.313,0.147,618,618,618,628,434
"Coracius garrulus",1985,0.496,0.132,17,17,17,91,0
"Corvus corax",1985,0.379,0.025,284,284,284,559,170
"Corvus corone",1985,0.857,0.057,591,591,591,628,423
"Corvus frugilegus",1985,0.315,0.037,85,85,85,326,33
"Corvus monedula",1985,0.422,0.024,400,400,400,627,230
"Coturnix coturnix",1985,0.462,0.026,434,434,434,626,239
"Crex crex",1985,0.338,0.025,200,200,200,595,50
"Cuculus canorus",1985,1.352,0.159,619,619,619,628,437
"Cygnus olor",1985,0.473,0.026,450,450,450,625,277
"Actitis hypoleucos",1985,0.361,0.024,258,258,258,608,73
"Delichon urbica",1985,2.018,0.624,627,627,625.8,628,437
"Dendrocopos leucotos",1985,0.597,0.117,37,37,37,118,4
"Dendrocopos major",1985,1.513,0.219,622,622,621.8,628,437
"Dendrocopos medius",1985,0.407,0.033,178,178,178,522,30
"Dendrocopos minor",1985,0.443,0.024,453,453,453,628,266
"Dendrocopos syriacus",1985,0.381,0.074,33,33,33,125,4
"Dryocopus martius",1985,0.756,0.046,575,575,575,628,404
"Egretta garzetta",1985,NA,NA,1,1,NA,0,0
"Emberiza citrinella",1985,2.184,0.856,628,628,626.4,628,438
"Emberiza hortulana",1985,0.303,0.046,48,48,48,295,2
"Aegithalos caudatus",1985,0.711,0.042,570,570,570,628,408
"Emberiza schoeniclus",1985,0.469,0.026,462,462,462,628,291
"Erithacus rubecula",1985,1.589,0.254,623,623,622.7,628,435
"Falco cherrug",1985,1.89,0.863,13,13,13,31,1
"Falco peregrinus",1985,0.237,0.051,24,24,24,151,5
"Falco subbuteo",1985,0.376,0.028,216,216,216,565,43
"Falco tinnunculus",1985,1.211,0.119,615,615,615,628,436
"Falco vespertinus",1985,0.548,0.362,3,3,3,22,0
"Ficedula albicollis",1985,0.447,0.029,301,301,301,597,114
"Ficedula hypoleuca",1985,0.359,0.022,326,326,326,626,162
"Ficedula parva",1985,0.314,0.027,148,148,148,537,31
"Aegolius funereus",1985,0.332,0.03,146,146,146,450,66
"Fringilla coelebs",1985,2.018,0.624,627,627,625.8,628,438
"Fulica atra",1985,0.568,0.032,501,501,501,625,324
"Galerida cristata",1985,0.345,0.022,279,279,279,625,95
"Gallinago gallinago",1985,0.369,0.023,307,307,307,614,127
"Gallinula chloropus",1985,0.445,0.025,416,416,416,622,234
"Garrulus glandarius",1985,1.211,0.119,615,615,615,628,436
"Glaucidium passerinum",1985,0.444,0.044,127,127,127,324,27
"Grus grus",1985,0.385,0.166,7,7,7,43,0
"Haliaeetus albicilla",1985,0.463,0.125,17,17,17,85,1
"Himantopus himantopus",1985,0.531,0.294,4,4,4,31,0
