Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S36       ,2000      ,   0.322,  0.015,    476,  476.0,  476.0,   2379,     61
S37       ,2000      ,   0.543,  0.010,   3935, 3935.0, 3935.0,   5246,   2509
S38       ,2000      ,   0.357,  0.009,   1602, 1602.0, 1602.0,   4464,    499
S39       ,2000      ,   0.099,  0.039,      7,    7.0,    7.0,     66,      0
S4        ,2000      ,   0.345,  0.009,   1755, 1755.0, 1755.0,   4991,    497
S40       ,2000      ,   0.306,  0.059,     31,   31.0,   31.0,    190,      3
S41       ,2000      ,   0.570,  0.011,   3916, 3916.0, 3916.0,   5240,   2619
S42       ,2000      ,   0.323,  0.012,    858,  858.0,  858.0,   3276,    172
S43       ,2000      ,   0.402,  0.010,   1952, 1952.0, 1952.0,   4410,    685
S44       ,2000      ,   0.398,  0.009,   2192, 2192.0, 2192.0,   4578,    949
S45       ,2000      ,   0.427,  0.174,      8,    8.0,    8.0,     41,      0
S46       ,2000      ,   0.359,  0.025,    240,  240.0,  240.0,   1074,     39
S47       ,2000      ,   0.702,  0.015,   3857, 3857.0, 3857.0,   4751,   2601
S48       ,2000      ,   0.534,  0.011,   3383, 3383.0, 3382.9,   4804,   2157
S49       ,2000      ,   0.514,  0.011,   3144, 3144.0, 3144.0,   4842,   1672
S5        ,2000      ,   0.306,  0.026,    145,  145.0,  145.0,   1074,      5
S50       ,2000      ,   0.534,  0.010,   3644, 3644.0, 3644.0,   5083,   2135
S51       ,2000      ,   0.278,  0.039,     57,   57.0,   57.0,    308,      7
S52       ,2000      ,   0.606,  0.012,   4126, 4126.0, 4126.0,   5226,   2636
S53       ,2000      ,   0.521,  0.012,   2709, 2709.0, 2709.0,   4587,   1314
S54       ,2000      ,   0.390,  0.017,    589,  589.0,  589.0,   1623,    212
S55       ,2000      ,   0.420,  0.010,   2127, 2127.0, 2127.0,   4594,    783
S56       ,2000      ,   0.397,  0.008,   2626, 2626.0, 2626.0,   5188,   1167
S57       ,2000      ,   0.294,  0.037,     75,   75.0,   75.0,    227,     36
S58       ,2000      ,   0.577,  0.012,   3742, 3742.0, 3742.0,   5027,   2478
S59       ,2000      ,  11.279, 13.300,      1,    1.0,    1.0,     10,      0
S6        ,2000      ,   0.945,  0.022,   4934, 4934.0, 4934.0,   5279,   3401
S60       ,2000      ,   0.249,  0.039,     44,   44.0,   44.0,    241,      6
S61       ,2000      ,   0.187,  0.016,    138,  138.0,  138.0,   1111,     17
S62       ,2000      ,   0.341,  0.012,    908,  908.0,  908.0,   3431,    212
S63       ,2000      ,   0.277,  0.013,    458,  458.0,  458.0,   2344,     80
S64       ,2000      ,   0.227,  0.028,     72,   72.0,   72.0,    536,     11
S65       ,2000      ,   0.344,  0.019,    357,  357.0,  357.0,   1309,     75
S66       ,2000      ,   0.344,  0.010,   1319, 1319.0, 1319.0,   4086,    349
S67       ,2000      ,   0.376,  0.009,   2019, 2019.0, 2019.0,   4856,    643
S68       ,2000      ,   0.819,  0.017,   4826, 4826.0, 4826.0,   5279,   3382
S69       ,2000      ,   0.326,  0.027,    173,  173.0,  173.0,    730,     76
S7        ,2000      ,   0.393,  0.008,   2765, 2765.0, 2765.0,   5192,   1261
S70       ,2000      ,   0.556,  0.011,   3706, 3706.0, 3706.0,   4912,   2555
S71       ,2000      ,   0.289,  0.017,    315,  315.0,  315.0,   1057,    101
S72       ,2000      ,   0.617,  0.012,   4314, 4314.0, 4314.0,   5255,   2965
S73       ,2000      ,   0.309,  0.033,    100,  100.0,  100.0,    368,     40
S74       ,2000      ,   0.982,  0.023,   4960, 4960.0, 4960.0,   5279,   3439
S75       ,2000      ,   0.391,  0.010,   1871, 1871.0, 1871.0,   4146,    744
S76       ,2000      ,   0.338,  0.020,    323,  323.0,  323.0,   1066,    152
S77       ,2000      ,   1.279,  0.040,   5132, 5132.0, 5132.0,   5279,   3534
S78       ,2000      ,   0.472,  0.153,     12,   12.0,   12.0,     84,      0
S79       ,2000      ,   0.306,  0.016,    400,  400.0,  400.0,   1256,    171
S8        ,2000      ,   0.268,  0.037,     60,   60.0,   60.0,    225,      9
S80       ,2000      ,   0.459,  0.012,   1910, 1910.0, 1910.0,   3792,    813
S81       ,2000      ,   3.044,  1.416,     12,   12.0,   12.0,     54,      0
S82       ,2000      ,   0.331,  0.022,    244,  244.0,  244.0,   1237,     27
S83       ,2000      ,   0.529,  0.012,   2813, 2813.0, 2813.0,   4443,   1410
S84       ,2000      ,   0.361,  0.013,    869,  869.0,  869.0,   2516,    280
S85       ,2000      ,  15.891, 10.196,      5,    5.0,    5.0,     14,      0
S86       ,2000      ,   0.460,  0.011,   2032, 2032.0, 2032.0,   4025,    839
S87       ,2000      ,   0.485,  0.012,   2109, 2109.0, 2109.0,   3992,    916
S88       ,2000      ,   0.225,  0.036,     43,   43.0,   43.0,    224,     10
S89       ,2000      ,   0.621,  0.012,   3972, 3972.0, 3971.9,   5098,   2449
S9        ,2000      ,   0.350,  0.045,     68,   68.0,   68.0,    408,     12
S90       ,2000      ,   0.755,  0.016,   4545, 4545.0, 4545.0,   5211,   3173
S91       ,2000      ,   0.360,  0.012,   1103, 1103.0, 1103.0,   3521,    361
S92       ,2000      ,   0.286,  0.028,    115,  115.0,  115.0,    499,     26
S93       ,2000      ,   0.125,  0.034,     14,   14.0,   14.0,    164,      2
S94       ,2000      ,   0.540,  0.012,   3036, 3036.0, 3036.0,   4697,   1647
S95       ,2000      ,   0.503,  0.010,   3158, 3158.0, 3158.1,   4494,   2105
S96       ,2000      ,   0.479,  0.009,   3463, 3463.0, 3463.0,   5021,   1923
S97       ,2000      ,   0.810,  0.017,   4698, 4698.0, 4698.0,   5255,   3279
S98       ,2000      ,   0.162,  0.040,     18,   18.0,   18.0,    107,      0
S99       ,2000      ,   0.235,  0.032,     58,   58.0,   58.0,    245,      7
