"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",1980,0.421,0.019,514,514,514,4846,0
"Ammodramus maritimus",1980,0.273,0.042,44,44,44,334,0
"Empidonax flaviventris",1980,0.399,0.03,186,186,186,2142,0
"Empidonax minimus",1980,0.574,0.011,3668,3668,3668,5058,1049
"Empidonax traillii",1980,0.504,0.013,1861,1861,1861,4707,234
"Empidonax virescens",1980,0.598,0.048,156,156,156,2651,0
"Eremophila alpestris",1980,0.47,0.015,1049,1048,1048,4894,0
"Euphagus carolinus",1980,0.38,0.032,144,144,144,1440,0
"Euphagus cyanocephalus",1980,2.15,2.162,1,1,1,142,0
"Falcipennis canadensis",1980,0.312,0.061,27,27,27,821,0
"Falco peregrinus",1980,0.276,0.067,17,17,17,569,0
"Falco sparverius",1980,0.52,0.01,3266,3266,3266,5058,1029
"Ammodramus savannarum",1980,0.508,0.019,775,775,775,4789,0
"Fulica americana",1980,0.404,0.052,62,62,62,2123,0
"Gallinago delicata",1980,0.43,0.015,920,920,920,4864,15
"Gallinula chloropus",1980,0.574,0.035,277,277,277,4247,0
"Gavia immer",1980,0.356,0.02,361,359.8,359.8,1850,10
"Gelochelidon nilotica",1980,0.188,0.11,3,3,3,175,0
"Geothlypis trichas",1980,1.474,0.058,4941,4940.8,4940.5,5058,3345
"Haematopus palliatus",1980,0.365,0.061,39,38,38,259,0
"Haliaeetus leucocephalus",1980,0.405,0.07,34,34,34,1748,0
"Helmitheros vermivorum",1980,0.579,0.041,216,216,216,1633,0
"Hirundo rustica",1980,0.905,0.021,4686,4686,4686,5058,3111
"Anas acuta",1980,0.373,0.07,29,29,29,1517,0
"Hydropogne caspia",1980,7697.221,NA,3,3,3,10,0
"Hylocichla mustelina",1980,0.769,0.016,4550,4550,4550,5058,3159
"Icteria virens",1980,0.539,0.051,114,114,114,2136,0
"Icterus galbula",1980,0.691,0.014,4212,4212,4212,5058,2867
"Icterus spurius",1980,0.561,0.039,214,214,214,3309,0
"Ixobrychus exilis",1980,0.313,0.027,134,134,134,3438,0
"Junco hyemalis",1980,0.526,0.012,2181,2181,2181,4735,252
"Lanius ludovicianus",1980,0.247,0.052,23,23,23,1120,0
"Larus argentatus",1980,0.341,0.022,252,251.8,251.8,2285,0
"Larus delawarensis",1980,0.265,0.045,36,36,36,768,0
"Anas americana",1980,0.66,0.11,38,37,37,1223,0
"Larus marinus",1980,0.32,0.041,63,63,63,693,0
"Laterallus jamaicensis",1980,4.309,4.335,1,1,1,247,0
"Leucophaeus atricilla",1980,0.349,0.064,31,31,31,305,0
"Lophodytes cucullatus",1980,0.39,0.021,369,368.8,368.8,4504,0
"Loxia curvirostra",1980,0.437,0.03,218,218,218,3769,0
"Loxia leucoptera",1980,0.394,0.028,199,199,199,2278,0
"Megaceryle alcyon",1980,0.523,0.01,3634,3631.4,3631.4,5058,616
"Megascops asio",1980,0.519,0.016,1059,1059,1059,5017,0
"Melanerpes carolinus",1980,0.514,0.018,944,944,944,3655,124
"Melanerpes erythrocephalus",1980,0.478,0.019,641,641,641,4855,0
"Anas clypeata",1980,0.493,0.128,15,15,15,740,0
"Meleagris gallopavo",1980,0.519,0.014,1467,1467,1467,4940,0
"Melospiza georgiana",1980,0.499,0.01,2802,2802,2802,5058,263
"Melospiza lincolnii",1980,0.386,0.024,275,275,275,1609,0
"Melospiza melodia",1980,1.528,0.064,4950,4949.8,4949.4,5058,3364
"Mergus merganser",1980,0.401,0.019,457,456.8,456.8,4137,5
"Mergus serrator",1980,0.486,0.136,13,13,13,825,0
"Mimus polyglottos",1980,0.556,0.017,1413,1413,1413,4920,329
"Mniotilta varia",1980,0.533,0.012,2665,2665,2665,5025,539
"Molothrus ater",1980,0.671,0.013,4305,4305,4305,5058,2782
"Myiarchus crinitus",1980,0.59,0.011,4119,4119,4118.9,5058,2104
"Anas crecca",1980,0.469,0.045,111,111,111,3629,0
"Myiopsitta monachus",1980,0.168,0.098,3,3,3,263,0
"Nandayus nenday",1980,1.16,0.524,5,5,5,251,0
"Nyctanassa violacea",1980,0.23,0.038,38,38,38,336,0
"Nycticorax nycticorax",1980,0.384,0.029,197,197,197,2192,1
"Oporornis formosus",1980,0.591,0.095,39,39,39,1134,0
"Oporornis philadelphia",1980,0.449,0.013,1351,1351,1351,4500,2
