"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ID1",1,105,0.689,3.39,28.84,0.83,66,100.7,4
"ID10",2,51,0.655,3.07,32.86,0.83,65.1,100.2,5
"ID100",3,76,0.665,2.84,32.19,0.83,69.9,103.8,5
"ID1000",4,77,0.776,2.21,29.63,0.83,78,97.9,6
"ID1001",5,65,0.797,1.8,30.98,0.83,74.1,86.9,7
"ID1002",6,78,0.807,1.45,27.9,0.83,71.1,78.5,6
"ID1003",7,93,0.773,1.88,33.04,0.83,73.1,88.2,4
"ID1004",8,120,0.771,1.87,33,0.83,73.4,88.7,4
"ID1005",9,70,0.702,3.02,35.08,0.83,63.6,92.8,4
"ID1006",10,63,0.752,2.19,33.76,0.83,70.3,89.9,4
"ID1007",11,78,0.772,2.21,26.75,0.83,76.1,96,5
"ID1008",12,90,0.768,2.23,26.9,0.83,77,97.7,5
"ID1009",13,86,0.77,2.35,31.24,0.83,78,100,6
"ID101",14,53,0.728,3.21,29.28,0.83,61,88.2,7
"ID1010",15,71,0.806,1.4,29.77,0.83,69.7,76.4,5
"ID1011",16,75,0.771,1.95,29.88,0.83,72.4,88.3,5
"ID1012",17,93,0.787,1.57,28.25,0.83,79.8,91,3
"ID1013",18,90,0.79,1.51,27.27,0.83,80.2,90.5,3
"ID1014",19,84,0.801,1.38,31.1,0.83,79.8,87.4,3
"ID1015",20,62,0.742,3.91,29.08,0.83,59.5,89.4,9
"ID1016",21,71,0.777,1.75,31.89,0.83,75.3,89,4
"ID1017",22,50,0.784,1.61,31.85,0.83,81.9,94.2,3
"ID1018",23,68,0.744,2.69,32.7,0.83,64.7,88.1,5
"ID102",24,73,0.678,2.66,33.09,0.83,72,103.5,5
"ID1020",25,79,0.75,2.38,28.8,0.83,68.3,89.4,4
"ID1021",26,59,0.757,2.56,30.53,0.83,68.2,90.4,6
"ID1022",27,78,0.749,2.34,28.64,0.83,64.7,84.3,5
"ID1023",28,66,0.781,1.7,30.51,0.83,73,85.4,4
"ID1024",29,87,0.792,1.5,33.52,0.83,80.5,90.5,3
"ID1025",30,89,0.792,1.49,34.39,0.83,81.7,91.8,3
"ID1026",31,92,0.782,1.63,34.28,0.83,81.6,94.4,3
"ID1027",32,87,0.782,1.79,33.87,0.83,80.3,95,5
"ID1028",33,67,0.767,2.12,30.29,0.83,77.8,97.3,5
"ID1029",34,67,0.782,1.64,33.36,0.83,80.8,93.5,3
"ID103",35,64,0.657,3.48,28.82,0.83,63.3,100.7,3
"ID1030",36,77,0.766,1.82,32.3,0.83,78.6,94.6,3
"ID1031",37,79,0.778,1.95,31.33,0.83,70.6,85.6,5
"ID1032",38,67,0.777,2,31.08,0.83,70.6,86.3,5
"ID1033",39,77,0.758,2.26,29.71,0.83,68.8,88.2,5
"ID1034",40,84,0.803,1.33,30.01,0.83,83.7,90.7,3
"ID1035",41,54,0.807,1.55,28.31,0.83,75.8,85,7
"ID1036",42,96,0.807,1.5,31.4,0.83,78.7,87.5,6
"ID1037",43,87,0.795,1.43,31.14,0.83,81,89.9,3
"ID1038",44,93,0.761,1.84,33.54,0.83,78.9,95.6,3
"ID1039",45,65,0.75,2.19,27.87,0.83,67.6,86.6,3
"ID104",46,66,0.722,3.42,27.7,0.83,59.3,88,7
"ID1040",47,75,0.749,2.32,31.07,0.83,69.5,90.5,4
"ID1041",48,49,0.762,2.17,28.44,0.83,69.2,87.5,5
"ID1042",49,76,0.774,2.05,30.26,0.83,70.6,87.1,5
"ID1043",50,54,0.736,3.81,28.74,0.83,59.4,89.5,8
"ID1044",51,49,0.755,2.26,30.38,0.83,68.6,88.2,5
"ID1046",52,57,0.735,2.69,27.67,0.83,65.2,89.4,5
"ID1047",53,76,0.781,1.7,29.54,0.83,80.1,93.6,4
"ID1048",54,77,0.782,1.79,33.87,0.83,80.3,95,5
"ID1049",55,67,0.811,1.23,31.49,0.83,78.8,83.5,3
"ID105",56,88,0.68,2.71,28.62,0.83,71.6,103.5,5
"ID1050",57,79,0.809,1.25,27.74,0.83,84.7,90.2,3
"ID1051",58,81,0.805,1.26,28.7,0.83,85.4,91.3,3
"ID1052",59,95,0.804,1.5,34.52,0.83,80.2,89.4,5
"ID1054",60,76,0.81,1.26,30.8,0.83,82.4,87.8,3
"ID1055",61,79,0.777,1.73,29.82,0.83,74.6,87.9,3
"ID1056",62,89,0.766,1.97,34.31,0.83,76.4,93.9,4
"ID1057",63,88,0.77,2.11,30.19,0.83,75.3,93.8,5
"ID1058",64,62,0.767,1.79,30.51,0.83,80.5,96.5,3
"ID1059",65,107,0.767,1.77,32.55,0.83,80.8,96.5,3
"ID106",66,87,0.665,3.11,26.02,0.83,68.1,103.9,3
"ID1060",67,58,0.745,2.16,32.25,0.83,71.3,91.4,3
"ID1061",68,58,0.741,2.48,31.99,0.83,62,82.6,5
"ID1062",69,85,0.793,1.44,28.78,0.83,74.7,83,2
