"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",1980,0.416,0.019,514,514,514,4859,0
"Ammodramus maritimus",1980,0.266,0.041,44,44,44,341,0
"Empidonax flaviventris",1980,0.398,0.03,186,186,186,2123,0
"Empidonax minimus",1980,0.573,0.011,3668,3668,3668,5058,1062
"Empidonax traillii",1980,0.5,0.013,1861,1861,1861,4734,226
"Empidonax virescens",1980,0.594,0.048,156,156,156,2682,0
"Eremophila alpestris",1980,0.47,0.015,1049,1048,1048,4897,0
"Euphagus carolinus",1980,0.385,0.033,144,144,144,1433,0
"Euphagus cyanocephalus",1980,2.208,2.223,1,1,1,137,0
"Falcipennis canadensis",1980,0.318,0.062,27,27,27,846,0
"Falco peregrinus",1980,0.274,0.067,17,17,17,612,0
"Falco sparverius",1980,0.517,0.01,3266,3266,3266,5058,1024
"Ammodramus savannarum",1980,0.506,0.019,775,775,775,4813,0
"Fulica americana",1980,0.412,0.053,62,62,62,2197,0
"Gallinago delicata",1980,0.433,0.015,920,920,920,4894,10
"Gallinula chloropus",1980,0.575,0.035,277,277,277,4219,0
"Gavia immer",1980,0.361,0.02,361,359.8,359.8,1868,16
"Gelochelidon nilotica",1980,0.183,0.107,3,3,3,188,0
"Geothlypis trichas",1980,1.477,0.058,4941,4940.8,4940.5,5058,3332
"Haematopus palliatus",1980,0.364,0.061,39,38,38,263,0
"Haliaeetus leucocephalus",1980,0.409,0.071,34,34,34,1755,0
"Helmitheros vermivorum",1980,0.567,0.04,216,216,216,1643,0
"Hirundo rustica",1980,0.906,0.021,4686,4686,4686,5058,3086
"Anas acuta",1980,0.385,0.072,29,29,29,1562,0
"Hydropogne caspia",1980,NA,NA,3,3,NA,0,0
"Hylocichla mustelina",1980,0.77,0.016,4550,4550,4550,5058,3140
"Icteria virens",1980,0.544,0.052,114,114,114,2170,0
"Icterus galbula",1980,0.69,0.014,4212,4212,4212,5058,2850
"Icterus spurius",1980,0.553,0.038,214,214,214,3327,0
"Ixobrychus exilis",1980,0.314,0.027,134,134,134,3440,0
