"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Junco hyemalis",1980,0.52,0.012,2181,2181,2181,4740,246
"Lanius ludovicianus",1980,0.244,0.051,23,23,23,1163,0
"Larus argentatus",1980,0.341,0.022,252,251.8,251.8,2262,0
"Larus delawarensis",1980,0.261,0.045,36,36,36,756,0
"Anas americana",1980,0.656,0.109,38,37,37,1236,0
"Larus marinus",1980,0.313,0.04,63,63,63,688,0
"Laterallus jamaicensis",1980,4.744,4.781,1,1,1,226,0
"Leucophaeus atricilla",1980,0.342,0.062,31,31,31,316,0
"Lophodytes cucullatus",1980,0.393,0.021,369,368.8,368.8,4501,0
"Loxia curvirostra",1980,0.432,0.03,218,218,218,3766,0
"Loxia leucoptera",1980,0.398,0.029,199,199,199,2282,0
"Megaceryle alcyon",1980,0.522,0.01,3634,3631.4,3631.4,5058,634
"Megascops asio",1980,0.517,0.016,1059,1059,1059,4996,0
"Melanerpes carolinus",1980,0.515,0.018,944,944,944,3666,123
"Melanerpes erythrocephalus",1980,0.475,0.019,641,641,641,4876,0
"Anas clypeata",1980,0.49,0.127,15,15,15,752,0
"Meleagris gallopavo",1980,0.516,0.014,1467,1467,1467,4949,0
"Melospiza georgiana",1980,0.498,0.01,2802,2802,2802,5058,273
"Melospiza lincolnii",1980,0.387,0.024,275,275,275,1606,0
"Melospiza melodia",1980,1.532,0.066,4950,4949.8,4949.3,5058,3350
"Mergus merganser",1980,0.405,0.019,457,456.8,456.8,4205,6
"Mergus serrator",1980,0.474,0.132,13,13,13,828,0
"Mimus polyglottos",1980,0.559,0.017,1413,1413,1413,4910,328
"Mniotilta varia",1980,0.535,0.012,2665,2665,2665,5031,548
"Molothrus ater",1980,0.671,0.013,4305,4305,4305,5058,2763
"Myiarchus crinitus",1980,0.59,0.011,4119,4119,4119,5058,2106
"Anas crecca",1980,0.468,0.045,111,111,111,3644,0
"Myiopsitta monachus",1980,0.164,0.095,3,3,3,262,0
"Nandayus nenday",1980,0.982,0.443,5,5,5,256,0
"Nyctanassa violacea",1980,0.228,0.038,38,38,38,341,0
"Nycticorax nycticorax",1980,0.381,0.029,197,197,197,2179,0
"Oporornis formosus",1980,0.568,0.092,39,39,39,1142,0
"Oporornis philadelphia",1980,0.449,0.013,1351,1351,1351,4503,0
"Oxyura jamaicensis",1980,0.313,0.129,6,6,6,376,0
"Pandion haliaetus",1980,0.359,0.021,322,321,321,3263,0
"Parula americana",1980,0.393,0.023,336,336,336,3286,23
"Passer domesticus",1980,0.684,0.014,3984,3984,3984,5058,2574
"Anas discors",1980,0.421,0.021,433,432,432,4522,0
"Passerculus sandwichensis",1980,0.525,0.011,2862,2862,2862,5058,1106
"Passerina caerulea",1980,1.211,0.61,4,4,4,351,0
"Passerina cyanea",1980,0.598,0.011,4070,4070,4070,5058,2226
"Perdix perdix",1980,0.195,0.033,36,36,36,765,0
"Perisoreus canadensis",1980,0.307,0.032,94,94,94,877,0
"Petrochelidon pyrrhonota",1980,0.443,0.013,1203,1203,1203,4820,28
"Phalacrocorax auritus",1980,0.311,0.07,20,20,20,864,0
"Phasianus colchicus",1980,0.545,0.015,1623,1623,1623,4829,326
"Pheucticus ludovicianus",1980,0.73,0.015,4459,4459,4458.9,5058,2951
"Picoides arcticus",1980,0.302,0.029,113,113,113,1363,0
"Anas platyrhynchos",1980,0.515,0.01,3023,3022,3022,5058,476
"Picoides dorsalis",1980,0.383,0.082,22,22,22,926,0
"Picoides pubescens",1980,0.66,0.013,4344,4344,4344,5058,2575
"Picoides villosus",1980,0.525,0.01,3581,3581,3581,5058,752
"Pipilo erythrophthalmus",1980,0.56,0.011,3589,3589,3589,5058,1710
"Piranga olivacea",1980,0.614,0.012,4110,4110,4110,5058,1992
"Piranga rubra",1980,0.624,0.363,3,3,3,301,0
"Plegadis falcinellus",1980,0.341,0.052,44,44,44,328,0
"Podilymbus podiceps",1980,0.432,0.033,174,174,174,4356,0
"Poecile atricapillus",1980,1.319,0.044,4907,4907,4906.9,5058,3350
"Poecile hudsonicus",1980,0.435,0.04,122,122,122,1113,0
"Anas platyrhynchos x A. rubripes",1980,0.429,0.052,70,70,70,2831,0
"Polioptila caerulea",1980,0.543,0.019,836,836,836,4416,0
"Pooecetes gramineus",1980,0.501,0.016,1061,1061,1061,4899,0
"Porzana carolina",1980,0.457,0.03,232,232,232,4546,0
"Progne subis",1980,0.448,0.016,906,906,906,4526,13
"Protonotaria citrea",1980,0.541,0.119,21,21,21,1188,0
"Quiscalus major",1980,2.037,1.459,2,2,2,144,0
"Quiscalus quiscula",1980,1.019,0.026,4786,4786,4786,5058,3305
"Rallus elegans",1980,0.215,0.097,5,5,5,443,0
"Rallus limicola",1980,0.439,0.021,443,443,443,4902,0
"Rallus longirostris",1980,0.256,0.036,53,53,53,341,0
"Anas rubripes",1980,0.465,0.015,1045,1045,1045,5058,4
"Regulus calendula",1980,0.389,0.029,184,184,184,1716,0
"Regulus satrapa",1980,0.439,0.015,932,932,932,4848,33
"Riparia riparia",1980,0.461,0.011,1880,1877.8,1877.8,5058,0
"Rynchops niger",1980,0.316,0.058,32,32,32,303,0
"Sayornis phoebe",1980,0.596,0.011,4076,4076,4076,5058,2207
"Scolopax minor",1980,0.461,0.011,1811,1811,1811,5058,0
"Seiurus aurocapilla",1980,0.611,0.012,3880,3880,3880,5058,1182
"Seiurus motacilla",1980,0.565,0.018,1005,1005,1005,4699,0
"Seiurus noveboracensis",1980,0.465,0.014,1080,1080,1080,5015,0
"Setophaga ruticilla",1980,0.628,0.012,4109,4109,4109,5058,1548
"Accipiter gentilis",1980,0.459,0.023,417,417,417,4766,0
"Anas strepera",1980,0.316,0.032,101,100,100,1851,0
"Sialia sialis",1980,0.461,0.01,2311,2311,2311,5058,128
"Sitta canadensis",1980,0.483,0.013,1620,1619.8,1619.8,5058,243
"Sitta carolinensis",1980,0.552,0.01,4062,4062,4062,5058,2216
"Sphyrapicus varius",1980,0.52,0.012,2098,2098,2098,4663,249
"Spinus pinus",1980,0.401,0.021,389,389,389,4804,0
"Spinus tristis",1980,0.886,0.02,4683,4683,4683,5058,3198
"Spiza americana",1980,0.819,0.822,1,1,1,195,0
"Spizella pallida",1980,0.35,0.077,21,21,21,689,0
"Spizella passerina",1980,0.856,0.019,4647,4647,4647,5058,3161
"Spizella pusilla",1980,0.573,0.011,3719,3719,3719.2,5058,2022
"Aquila chrysaetos",1980,0.304,0.109,8,8,8,284,0
"Stelgidopteryx serripennis",1980,0.422,0.011,1498,1498,1498,5058,0
"Sterna dougallii",1980,0.212,0.054,16,16,16,303,0
"Sterna forsteri",1980,1.018,1.027,1,1,1,144,0
"Sterna hirundo",1980,0.454,0.044,115,115,115,1068,0
"Sternula antillarum",1980,0.353,0.041,85,84,84,303,0
"Strix varia",1980,0.432,0.014,1030,1030,1030,5058,0
"Sturnella magna",1980,0.574,0.012,3313,3313,3313,5058,1774
"Sturnella neglecta",1980,0.315,0.129,6,6,6,508,0
"Sturnus vulgaris",1980,0.786,0.017,4391,4391,4391,5058,2979
"Tachycineta bicolor",1980,0.722,0.014,4435,4435,4435,5058,2358
"Archilochus colubris",1980,0.508,0.01,3344,3344,3344,5058,560
"Thryothorus ludovicianus",1980,0.485,0.03,291,291,291,3111,0
"Toxostoma rufum",1980,0.514,0.01,3168,3168,3168,5058,337
"Tringa semipalmata",1980,0.317,0.052,39,39,39,268,0
"Troglodytes aedon",1980,0.688,0.014,4188,4188,4188,5058,2912
"Troglodytes troglodytes",1980,0.483,0.015,1168,1168,1168,4834,147
"Turdus migratorius",1980,1.475,0.057,4940,4940,4939.7,5058,3324
"Tyrannus tyrannus",1980,0.824,0.018,4579,4579,4579,5058,3107
"Tyto alba",1980,0.526,0.049,118,118,118,3254,0
"Vermivora chrysoptera",1980,0.481,0.021,550,550,550,4628,0
"Vermivora chrysoptera x V. pinus",1980,0.647,0.104,39,39,39,1692,0
"Ardea alba",1980,0.515,0.067,62,62,62,555,0
"Vermivora peregrina",1980,0.386,0.075,27,27,27,995,0
"Vermivora pinus",1980,0.509,0.013,1782,1782,1782,4153,118
"Vermivora pinus x V. chrysoptera",1980,0.578,0.052,125,125,125,3455,0
"Vermivora ruficapilla",1980,0.469,0.013,1417,1417,1417,4768,41
"Vireo flavifrons",1980,0.499,0.013,1622,1622,1622,5018,0
"Vireo gilvus",1980,0.529,0.011,3003,3003,3003,5058,695
"Vireo griseus",1980,0.416,0.034,170,170,170,1312,0
"Vireo olivaceus",1980,1.005,0.025,4777,4777,4777,5058,3197
"Vireo philadelphicus",1980,0.27,0.04,46,46,46,1399,0
"Vireo solitarius",1980,0.532,0.013,1809,1809,1809,4872,226
"Ardea herodias",1980,0.506,0.01,3019,3017.8,3017.8,4944,266
"Wilsonia canadensis",1980,0.481,0.013,1622,1622,1622,5058,75
"Wilsonia citrina",1980,0.465,0.024,401,401,401,3275,0
"Wilsonia pusilla",1980,0.283,0.164,3,3,3,194,0
"Zenaida macroura",1980,0.717,0.015,4179,4179,4179.2,5058,2752
"Zonotrichia albicollis",1980,0.591,0.014,2221,2221,2221,4941,520
"Asio flammeus",1980,0.315,0.055,33,33,33,1532,0
"Asio otus",1980,0.446,0.05,79,79,79,3625,0
"Aythya affinis",1980,0.52,0.302,3,3,3,216,0
"Aythya americana",1980,2.497,1.037,6,6,6,124,0
"Aythya collaris",1980,0.229,0.034,46,46,46,1524,0
"Accipiter striatus",1980,0.491,0.017,807,807,807,4903,0
"Aythya marila",1980,0.786,0.564,2,2,2,80,0
"Aythya valisineria",1980,NA,NA,1,1,NA,0,0
"Baeolophus bicolor",1980,0.527,0.015,1479,1479,1479,4789,294
"Bartramia longicauda",1980,0.461,0.022,455,455,455,4427,0
"Bombycilla cedrorum",1980,0.937,0.022,4698,4698,4698,5058,3012
"Bonasa umbellus",1980,0.525,0.011,2988,2987.8,2987.8,5058,309
"Botaurus lentiginosus",1980,0.41,0.018,508,508,508,4696,0
"Branta canadensis",1980,0.506,0.017,1015,1014,1014,5034,112
"Bubo virginianus",1980,0.484,0.012,1846,1845,1845,5058,0
"Bubulcus ibis",1980,0.694,0.176,16,16,16,424,0
"Actitis macularius",1980,0.489,0.012,1929,1929,1929,5058,3
"Bucephala albeola",1980,0.786,0.564,2,2,2,80,0
"Bucephala clangula",1980,0.279,0.06,22,22,22,709,0
"Buteo jamaicensis",1980,0.515,0.01,3525,3525,3525,5058,1302
"Buteo lineatus",1980,0.42,0.016,666,666,666,5058,0
"Buteo platypterus",1980,0.508,0.012,1874,1874,1874,5058,95
"Butorides virescens",1980,0.482,0.011,2409,2409,2409,5058,192
"Caprimulgus carolinensis",1980,1.112,0.253,20,20,20,260,0
"Caprimulgus vociferus",1980,0.455,0.02,534,534,534,4209,0
"Cardinalis cardinalis",1980,0.619,0.013,3384,3384,3384,5058,1937
"Carpodacus mexicanus",1980,0.548,0.012,2726,2726,2726,5056,689
"Aegolius acadicus",1980,0.407,0.037,124,124,124,3615,0
"Carpodacus purpureus",1980,0.504,0.01,2992,2992,2992,5058,529
"Cathartes aura",1980,0.465,0.011,2044,2044,2044,5058,19
"Catharus bicknelli",1980,0.612,0.106,34,34,34,1003,0
"Catharus fuscescens",1980,0.653,0.013,4084,4084,4084,5058,1652
"Catharus guttatus",1980,0.54,0.013,1992,1992,1992,5005,274
"Catharus ustulatus",1980,0.465,0.019,691,691,691,3937,135
"Certhia americana",1980,0.495,0.012,1942,1942,1942,5058,88
"Chaetura pelagica",1980,0.501,0.01,2988,2988,2988,5058,276
"Charadrius melodus",1980,0.355,0.044,72,71,71,303,0
"Charadrius vociferus",1980,0.612,0.012,3735,3735,3735,5058,1700
"Agelaius phoeniceus",1980,1.08,0.029,4818,4818,4818,5058,3259
"Chlidonias niger",1980,0.308,0.037,72,72,72,1751,0
"Chordeiles minor",1980,0.393,0.019,439,439,439,4861,0
"Circus cyaneus",1980,0.417,0.014,879,879,879,4873,0
"Cistothorus palustris",1980,0.452,0.022,421,421,421,4372,0
"Cistothorus platensis",1980,0.483,0.066,54,54,54,2023,0
"Coccothraustes vespertinus",1980,0.397,0.026,237,237,237,2578,0
"Coccyzus americanus",1980,0.511,0.015,1212,1212,1212,4855,65
"Coccyzus erythropthalmus",1980,0.483,0.012,1857,1857,1857,5058,1
"Colaptes auratus",1980,0.88,0.02,4669,4669,4669,5058,3160
"Colinus virginianus",1980,0.428,0.032,228,228,228,2479,99
"Aix sponsa",1980,0.452,0.011,1833,1833,1833,5058,3
"Columba livia",1980,0.587,0.012,3586,3586,3586,5058,1779
"Contopus cooperi",1980,0.408,0.02,466,466,466,2513,7
"Contopus virens",1980,0.669,0.013,4338,4338,4338,5058,2447
"Corvus brachyrhynchos",1980,0.944,0.022,4723,4723,4723,5058,3208
"Corvus corax",1980,0.353,0.021,303,302.8,302.8,2518,0
"Corvus ossifragus",1980,0.475,0.038,200,200,200,1074,34
"Cyanocitta cristata",1980,1.338,0.045,4912,4911.8,4911.7,5058,3336
"Cygnus olor",1980,0.465,0.036,213,213,213,996,59
"Dendroica caerulescens",1980,0.52,0.014,1667,1667,1667,4745,253
"Dendroica castanea",1980,0.302,0.054,32,32,32,1213,0
"Ammodramus caudacutus",1980,0.32,0.04,68,68,68,341,0
"Dendroica cerulea",1980,0.456,0.028,264,264,264,4113,0
"Dendroica coronata",1980,0.558,0.014,2001,2001,2001,4673,304
"Dendroica discolor",1980,0.475,0.019,699,699,699,3842,0
"Dendroica dominica",1980,NA,NA,3,3,NA,0,0
"Dendroica fusca",1980,0.514,0.014,1646,1646,1646,4859,184
"Dendroica magnolia",1980,0.506,0.013,1613,1613,1613,4790,142
"Dendroica palmarum",1980,NA,NA,1,1,NA,0,0
"Dendroica pensylvanica",1980,0.568,0.011,3493,3493,3493,5058,1000
"Dendroica petechia",1980,0.733,0.015,4361,4361,4361,5058,2988
"Dendroica pinus",1980,0.369,0.02,339,339,339,4284,0
"Ammodramus henslowii",1980,0.473,0.026,324,324,324,3756,0
"Dendroica striata",1980,0.353,0.033,115,115,115,1605,0
"Dendroica tigrina",1980,0.319,0.076,18,18,18,827,0
"Dendroica virens",1980,0.533,0.012,2278,2278,2278,5055,263
"Dolichonyx oryzivorus",1980,0.555,0.011,3283,3282.8,3282.8,5058,1493
"Dryocopus pileatus",1980,0.507,0.011,2582,2582,2582,5058,162
"Dumetella carolinensis",1980,0.924,0.022,4687,4687,4687,5058,3169
"Egretta caerulea",1980,0.604,0.144,18,18,18,278,0
"Egretta thula",1980,0.362,0.04,90,90,90,336,0
"Egretta tricolor",1980,0.413,0.14,9,9,9,265,0
"Empidonax alnorum",1980,0.456,0.011,1861,1861,1861,5058,2
