"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
5561,85,111,0.764,3.07,42.41,0.88,93.5,127.3,5
5562,86,112,0.764,2.98,42.09,0.88,94.2,127.4,6
5563,87,110,0.764,2.95,39,0.88,94.1,126.9,5
5567,88,75,0.768,2.8,38.54,0.88,95.4,126.6,5
5641,89,75,0.743,3.03,36.36,0.88,89.9,124.9,8
5642,90,82,0.743,3.01,36.54,0.88,90,124.7,8
5643,91,134,0.743,3,36.73,0.88,90,124.6,8
5644,92,130,0.745,2.97,36.15,0.88,90,124.1,8
5645,93,133,0.747,2.92,36.81,0.88,90.3,123.8,8
5646,94,95,0.75,2.89,38.34,0.88,90.7,123.6,8
5647,95,75,0.755,2.84,38.88,0.88,91.2,123.1,7
5648,96,112,0.762,2.76,40.58,0.88,92.3,123,7
5649,97,101,0.769,2.67,40.5,0.88,93.4,122.7,7
5650,98,87,0.776,2.57,40.88,0.88,94.7,122.6,6
5651,99,74,0.782,2.5,40.77,0.88,95.6,122.3,6
5652,100,109,0.784,2.48,41.58,0.88,96,122.4,6
5653,101,118,0.784,2.53,41.22,0.88,95.8,122.5,5
5654,102,67,0.78,2.66,42.23,0.88,95.3,123.7,5
5655,103,109,0.776,2.82,42.14,0.88,94.8,125.3,5
5656,104,123,0.772,2.95,41.64,0.88,94.7,126.8,5
5657,105,117,0.771,3.06,40.61,0.88,94.4,127.7,5
5658,106,85,0.77,3.06,40.7,0.88,94.4,127.9,5
5659,107,106,0.769,2.99,42.17,0.88,95,127.9,5
5660,108,121,0.768,2.9,42.77,0.88,95.4,127.8,6
5661,109,132,0.767,2.87,41.14,0.88,95.3,127.5,6
5662,110,134,0.767,2.83,39.89,0.88,95.4,127.3,6
5663,111,107,0.768,2.79,38.68,0.88,95.6,126.7,5
5664,112,73,0.769,2.76,38.28,0.88,95.7,126.5,5
5667,113,69,0.771,2.74,39.78,0.88,96,126.4,5
5668,114,133,0.77,2.8,39.79,0.88,95.5,126.5,5
5669,115,124,0.769,2.88,39.51,0.88,94.6,126.3,5
5672,116,109,0.776,3.01,35.2,0.88,93.7,125.7,4
5738,117,84,0.742,3.02,36.41,0.88,90.6,125.9,8
5739,118,103,0.741,3.05,35.54,0.88,90.3,125.7,8
5740,119,82,0.742,3.02,36.03,0.88,90.5,125.7,8
5741,120,89,0.741,3.02,35.99,0.88,90.3,125.6,8
