"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4951,1,85,0.772,2.62,47.58,0.87,92.2,120.3,4
4952,2,86,0.771,2.63,47.77,0.87,92,120.2,4
4953,3,83,0.77,2.64,47.78,0.87,91.8,120.1,4
4955,4,12,0.767,2.66,47.5,0.87,91.3,120,4
4956,5,67,0.766,2.67,47.08,0.87,91.1,120,4
5051,6,77,0.774,2.58,46.9,0.87,92.5,120.1,4
5052,7,97,0.773,2.59,47.21,0.87,92.3,120,4
5053,8,107,0.771,2.6,47.25,0.87,92,119.9,4
5055,9,39,0.768,2.64,46.89,0.87,91.5,119.9,4
5056,10,115,0.765,2.67,46.39,0.87,91.2,120.1,4
5057,11,99,0.763,2.69,45.5,0.87,90.8,120.1,4
5149,12,68,0.778,2.55,44.7,0.87,93.5,120.6,4
5150,13,82,0.778,2.53,45.35,0.87,93.2,120,4
5151,14,106,0.776,2.54,46.51,0.87,93.1,120,4
5152,15,104,0.775,2.54,46.9,0.87,92.8,119.9,4
5153,16,114,0.773,2.55,46.88,0.87,92.5,119.8,4
5154,17,80,0.771,2.58,46.5,0.87,92.1,119.8,4
5155,18,109,0.768,2.62,46.35,0.87,91.7,120,4
5156,19,104,0.765,2.66,45.74,0.87,91.3,120.2,4
5157,20,96,0.761,2.71,44.71,0.87,90.9,120.5,4
5158,21,67,0.758,2.76,44.08,0.87,90.6,121,4
5247,22,80,0.781,2.67,40.84,0.87,94.5,122.7,3
5248,23,75,0.781,2.61,43.27,0.87,94.6,122.3,3
5249,24,88,0.782,2.54,44.36,0.87,94.4,121.3,3
5250,25,107,0.781,2.5,45.13,0.87,94.1,120.4,4
5251,26,115,0.781,2.46,45.54,0.87,93.8,119.7,4
5252,27,115,0.779,2.46,46.18,0.87,93.6,119.5,4
5253,28,91,0.776,2.48,46.24,0.87,93.1,119.5,4
5254,29,105,0.773,2.51,45.84,0.87,92.7,119.6,4
5255,30,104,0.769,2.57,45.56,0.87,92.2,120,4
5256,31,105,0.765,2.64,44.73,0.87,91.6,120.5,4
5257,32,100,0.76,2.72,44.1,0.87,91.1,121.1,4
5258,33,94,0.758,2.79,43.9,0.87,91,121.8,4
5259,34,72,0.757,2.85,43.56,0.87,90.8,122.4,4
5260,35,72,0.756,2.91,41.39,0.87,90.4,122.6,4
5261,36,45,0.756,2.97,41.01,0.87,90.4,123.2,4
5346,37,66,0.772,2.87,41.05,0.87,95,126.7,3
5347,38,97,0.782,2.72,40.57,0.87,95.4,124.4,3
5348,39,131,0.786,2.59,41,0.87,95.4,122.6,3
5349,40,116,0.788,2.5,42.21,0.87,95.4,121.5,3
5350,41,105,0.787,2.45,44.76,0.87,95.5,121.2,3
5351,42,92,0.786,2.4,45.62,0.87,95.2,120.2,4
5352,43,106,0.784,2.37,45.95,0.87,94.7,119.5,4
5353,44,124,0.782,2.37,46.21,0.87,94.4,119.3,4
5354,45,124,0.778,2.42,46.04,0.87,93.9,119.6,4
5355,46,109,0.772,2.52,45.1,0.87,93.1,120.4,4
5356,47,103,0.766,2.63,44.59,0.87,92.4,121.3,4
5357,48,106,0.763,2.73,44.3,0.87,92,122.2,4
5358,49,88,0.758,2.82,42.37,0.87,91.3,122.7,4
5359,50,106,0.759,2.88,41.23,0.87,91.1,122.9,4
5360,51,86,0.76,2.93,41.23,0.87,91.2,123.4,4
5361,52,75,0.763,2.95,41.35,0.87,91.5,123.8,3
5362,53,84,0.766,2.95,41.53,0.87,92.1,124.2,3
5363,54,102,0.767,2.96,41.13,0.87,92.3,124.4,2
5364,55,91,0.768,2.95,39.65,0.87,92.5,124.4,3
5444,56,47,0.741,3.25,37.81,0.87,92.6,131.5,4
5445,57,82,0.751,3.1,39.47,0.87,94,130.4,4
5446,58,90,0.765,2.94,39.65,0.87,95.2,128.5,3
5447,59,139,0.775,2.8,41.58,0.87,96.2,127.1,3
5448,60,123,0.785,2.65,41.36,0.87,96.7,124.9,3
5449,61,100,0.792,2.5,41.17,0.87,96.9,122.8,3
5450,62,109,0.793,2.39,42.31,0.87,96.8,121.4,3
5451,63,118,0.794,2.3,43.68,0.87,96.9,120.3,3
5452,64,78,0.793,2.24,45.17,0.87,96.7,119.6,4
5453,65,109,0.793,2.2,45.2,0.87,96.5,119,4
5454,66,107,0.786,2.29,45.08,0.87,95.6,119.6,4
5455,67,94,0.778,2.43,44.22,0.87,94.7,120.8,4
5456,68,135,0.77,2.59,43.3,0.87,93.7,122,4
5457,69,120,0.767,2.72,41.87,0.87,93.1,123,4
5458,70,84,0.763,2.85,41.23,0.87,92.3,123.7,4
5459,71,85,0.765,2.89,41.53,0.87,92.4,124.1,3
5460,72,94,0.766,2.93,42.29,0.87,92.5,124.5,3
5461,73,110,0.771,2.92,42.23,0.87,93.1,124.6,3
5462,74,104,0.772,2.93,40.1,0.87,92.9,124.3,3
5463,75,114,0.77,2.92,39.96,0.87,93.1,124.6,3
5464,76,97,0.768,2.91,39.2,0.87,93,124.8,3
5541,77,3,0.71,3.75,36.36,0.87,88.7,134.6,5
5542,78,59,0.715,3.65,36.18,0.87,89.5,134.1,5
5543,79,78,0.721,3.5,36.59,0.87,90.8,133.8,5
5544,80,95,0.729,3.33,37.15,0.87,92.2,133.1,5
5545,81,115,0.741,3.15,37.48,0.87,93.8,132,5
5546,82,138,0.755,2.99,39.04,0.87,95.4,130.8,4
5547,83,115,0.768,2.82,39.94,0.87,96.9,129.1,3
5548,84,110,0.782,2.67,40.06,0.87,97.8,127.2,3
5549,85,86,0.791,2.51,40.85,0.87,98.6,125.2,3
5550,86,114,0.797,2.35,41.25,0.87,98.9,123.1,3
5551,87,120,0.802,2.2,42.48,0.87,99.4,121.4,3
5552,88,104,0.805,2.07,43.25,0.87,99.6,119.9,3
5553,89,101,0.804,2.03,43.84,0.87,99.3,119.3,3
5554,90,102,0.798,2.13,43.7,0.87,98.4,120,4
5555,91,120,0.789,2.3,42.72,0.87,97.3,121.4,4
5556,92,116,0.78,2.51,41.52,0.87,96.1,123.1,4
5557,93,127,0.775,2.69,40.91,0.87,94.9,124.3,3
5558,94,105,0.774,2.83,40.81,0.87,94.3,124.9,3
5559,95,102,0.774,2.89,41.37,0.87,93.9,125,3
5560,96,111,0.773,2.92,41.24,0.87,93.7,125,3
5561,97,118,0.775,2.89,40.97,0.87,94,125,3
5562,98,129,0.772,2.89,40.74,0.87,94.1,125.4,3
5563,99,109,0.769,2.88,39.65,0.87,93.8,125.3,3
5564,100,11,0.768,2.83,37.47,0.87,93.3,124.5,3
5567,101,87,0.76,2.66,39.65,0.87,93.3,123.5,4
5568,102,70,0.755,2.65,39.27,0.87,92.4,122.7,4
5638,103,54,0.694,4.05,36.56,0.87,86.4,135.8,5
5639,104,25,0.696,4.04,36.08,0.87,86.5,135.7,5
5640,105,48,0.698,3.95,36.66,0.87,87.1,135.6,5
5641,106,92,0.7,3.86,36.89,0.87,87.8,135.6,6
5642,107,77,0.703,3.75,37.23,0.87,88.7,135.6,6
5643,108,103,0.709,3.6,36.5,0.87,90,135.4,6
5644,109,110,0.718,3.39,36.75,0.87,91.9,134.8,6
5645,110,137,0.73,3.18,37.15,0.87,93.9,133.9,6
5646,111,124,0.746,2.98,37.45,0.87,96,132.5,5
5647,112,94,0.761,2.8,38.86,0.87,97.9,131.4,5
5648,113,112,0.775,2.64,39.14,0.87,99.4,129.7,4
5649,114,103,0.786,2.48,39.81,0.87,100.4,127.8,3
5650,115,104,0.797,2.3,40.45,0.87,101.4,125.7,2
5651,116,109,0.808,2.07,40.45,0.87,102.4,122.9,2
5652,117,132,0.816,1.9,40.3,0.87,103.1,120.8,3
5653,118,116,0.817,1.86,40.96,0.87,102.7,119.8,3
5654,119,98,0.814,1.93,40.69,0.87,102.2,120.4,3
5655,120,119,0.806,2.14,40.69,0.87,101,122.3,3
5656,121,88,0.796,2.4,39.85,0.87,99.4,124.4,3
5657,122,128,0.787,2.65,39.82,0.87,97.5,125.8,4
5658,123,113,0.784,2.79,40.21,0.87,96.6,126.4,4
5659,124,128,0.78,2.86,41.23,0.87,95.8,126.6,4
5660,125,132,0.778,2.86,41.25,0.87,95.4,126.2,3
5661,126,136,0.776,2.81,40.72,0.87,95.3,125.8,3
5662,127,138,0.773,2.8,38.97,0.87,94.7,125.4,2
5663,128,87,0.771,2.74,38.62,0.87,94.7,124.9,3
5664,129,77,0.77,2.65,39.44,0.87,95.1,124.5,4
5667,130,79,0.758,2.58,39.42,0.87,93.4,122.9,4
5668,131,121,0.75,2.7,40.55,0.87,91.8,122.8,4
5669,132,107,0.744,2.82,40.71,0.87,89.9,122.3,4
5672,133,79,0.727,3.01,35.3,0.87,84.7,119,4
5738,134,80,0.688,4.16,35.97,0.87,85.5,136.1,5
5739,135,88,0.69,4.11,36.39,0.87,85.8,136.1,5
5740,136,77,0.69,4.04,36.38,0.87,86.3,136.2,5
5741,137,101,0.692,3.96,36.53,0.87,86.9,136.3,6
5742,138,128,0.696,3.83,37.12,0.87,87.9,136.2,6
5743,139,109,0.701,3.67,36.99,0.87,89.4,136.3,6
5744,140,100,0.71,3.41,36.46,0.87,91.9,136.1,7
5745,141,125,0.724,3.13,36.93,0.87,94.8,135.5,7
5746,142,123,0.741,2.9,37.28,0.87,97.4,134.6,6
5747,143,91,0.758,2.7,38.34,0.87,99.8,133.4,6
5748,144,85,0.771,2.53,38.69,0.87,101.6,131.9,5
5749,145,105,0.784,2.36,38.92,0.87,103.1,130.2,4
5750,146,101,0.795,2.19,40.43,0.87,104.5,128.6,4
5751,147,118,0.808,1.98,39.56,0.87,105.6,125.5,3
5752,148,115,0.819,1.82,38.54,0.87,106.1,122.9,3
5753,149,117,0.826,1.73,37.7,0.87,106.1,120.9,2
5754,150,111,0.825,1.8,37.66,0.87,105.5,121.3,3
5755,151,112,0.818,2.02,38.44,0.87,104.4,123.6,4
5756,152,98,0.808,2.32,38.69,0.87,102.7,126.1,4
5757,153,108,0.8,2.54,39.03,0.87,101,127.5,4
