"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Sylvia curruca",1985,1.732,0.194,616,616,616,628,264
"Sylvia nisoria",1985,1.496,0.114,186,186,186,628,0
"Tachybaptus ruficollis",1985,2.057,0.112,431,431,431,628,0
"Tetrao tetrix",1985,1.201,0.128,95,95,95,600,0
"Tetrao urogallus",1985,1.962,0.308,42,42,42,450,0
"Tringa ochropus",1985,3.246,0.52,40,40,40,624,0
"Tringa totanus",1985,3.829,0.462,72,72,72,628,0
"Troglodytes troglodytes",1985,1.7,0.185,619,619,619,628,155
"Turdus iliacus",1985,1.312,0.271,24,24,24,628,0
"Turdus merula",1985,1.786,0.547,628,628,626.8,628,545
"Accipiter nisus",1985,1.862,0.108,572,572,572,628,0
"Anthus pratensis",1985,1.774,0.113,323,323,323,628,0
"Turdus philomelos",1985,1.731,0.35,626,626,625.4,628,379
"Turdus pilaris",1985,1.953,0.135,580,580,580,628,0
"Turdus torquatus",1985,1.807,0.219,72,72,72,501,0
"Turdus viscivorus",1985,1.945,0.109,523,523,523,628,0
"Tyto alba",1985,1.703,0.101,313,313,313,628,0
"Upupa epops",1985,3.207,0.331,97,97,97,628,0
"Vanellus vanellus",1985,1.918,0.114,563,563,563,628,3
"Anthus spinoletta",1985,0.865,0.234,14,14,14,303,0
"Anthus trivialis",1985,1.92,0.169,609,609,609,628,38
"Apus apus",1985,1.734,0.139,604,604,604,628,84
"Aquila pomarina",1985,1.469,0.396,14,14,14,494,0
"Ardea cinerea",1985,2.361,0.156,251,251,251,628,0
"Ardea purpurea",1985,8.761,2.843,10,10,10,196,0
"Asio flammeus",1985,5.22,2.384,5,5,5,237,0
"Asio otus",1985,1.683,0.089,498,498,498,628,0
"Athene noctua",1985,1.885,0.101,428,428,428,628,0
"Acrocephalus arundinaceus",1985,1.885,0.127,238,238,238,628,0
"Aythya ferina",1985,2.026,0.114,388,388,388,628,0
"Aythya fuligula",1985,1.929,0.105,441,441,441,628,0
"Aythya nyroca",1985,2.597,0.617,18,18,18,536,0
"Bonasa bonasia",1985,5.219,0.683,68,68,68,419,0
"Botaurus stellaris",1985,2.243,0.335,46,46,46,628,0
"Bubo bubo",1985,1.658,0.093,393,393,393,628,0
"Bucephala clangula",1985,8.308,1.806,22,22,22,437,0
"Burhinus oedicnemus",1985,NA,NA,2,2,NA,0,0
"Buteo buteo",1985,1.711,0.414,627,627,626.2,628,499
"Caprimulgus europaeus",1985,1.973,0.167,145,145,145,628,0
"Acrocephalus palustris",1985,1.922,0.106,542,542,542,628,0
"Carduelis cannabina",1985,1.966,0.122,578,578,578,628,0
"Carduelis carduelis",1985,1.659,0.182,618,618,618,628,200
"Carduelis chloris",1985,1.674,0.401,627,627,626.2,628,532
"Carduelis flammea",1985,1.702,0.118,248,248,248,628,0
"Carduelis spinus",1985,1.561,0.087,460,460,460,628,0
"Carpodacus erythrinus",1985,1.305,0.133,102,102,102,626,0
"Certhia brachydactyla",1985,1.878,0.105,407,407,407,628,0
"Certhia familiaris",1985,1.783,0.101,555,555,555,628,0
"Charadrius dubius",1985,2.014,0.114,361,361,361,628,0
"Charadrius morinellus",1985,0.616,0.438,2,2,2,274,0
"Acrocephalus schoenobaenus",1985,2.112,0.133,277,277,277,628,0
"Chlidonias niger",1985,2.726,0.339,66,66,66,628,0
"Ciconia ciconia",1985,2.396,0.135,429,429,429,628,0
"Ciconia nigra",1985,1.826,0.105,390,390,390,628,0
"Cinclus cinclus",1985,1.586,0.09,390,390,390,628,0
"Circus aeruginosus",1985,1.95,0.113,372,372,372,628,0
"Circus cyaneus",1985,2.519,0.198,173,173,173,628,0
