"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
5968,211,79,0.783,0.7,39.38,0.74,95.8,84.3,3
5969,212,92,0.786,0.67,38.61,0.74,95.3,82.8,4
5970,213,89,0.788,0.66,35.21,0.74,95.2,82,4
5971,214,84,0.788,0.65,34.78,0.74,95.5,82.2,4
5972,215,109,0.787,0.66,33.55,0.74,96,82.8,4
5974,216,44,0.786,0.67,32.98,0.74,96.8,84.1,4
6041,217,107,0.749,0.95,36.88,0.74,93.4,91.4,3
6042,218,98,0.749,0.95,37.54,0.74,93.9,91.9,3
6043,219,103,0.75,0.94,38.09,0.74,94.5,92.4,3
6044,220,101,0.751,0.93,38.78,0.74,95.6,93,4
6045,221,110,0.755,0.91,37.89,0.74,96.7,93.4,4
6046,222,96,0.76,0.88,36.27,0.74,97.5,93,4
6047,223,117,0.771,0.82,36.87,0.74,98.1,90.9,4
6048,224,115,0.782,0.74,38.23,0.74,98.1,87.9,3
6049,225,104,0.791,0.68,37.49,0.74,97.2,84.6,3
6050,226,62,0.795,0.64,37.07,0.74,96.1,82.2,3
6051,227,101,0.799,0.61,37.07,0.74,96.6,81.3,4
6052,228,107,0.802,0.58,37.07,0.74,98.6,81.9,4
6053,229,95,0.806,0.57,37.07,0.74,101.1,83.5,3
6054,230,99,0.812,0.56,37.07,0.74,103.9,85.1,3
6055,231,109,0.819,0.55,37.07,0.74,106.4,86.7,3
6056,232,126,0.828,0.53,37.07,0.74,108.7,87.9,4
6057,233,113,0.836,0.52,37.07,0.74,110.3,88.3,5
6058,234,131,0.84,0.5,37.74,0.74,110.9,88.1,5
6059,235,95,0.838,0.51,39.16,0.74,110.4,88.3,5
6060,236,94,0.831,0.55,39.52,0.74,109,88.9,6
6061,237,90,0.821,0.59,39.15,0.74,107.4,89.5,6
6062,238,114,0.809,0.64,38.35,0.74,105.5,90.1,5
6063,239,136,0.798,0.68,38.57,0.74,103.7,90.4,5
6064,240,116,0.789,0.71,39.3,0.74,102.1,89.9,4
6065,241,121,0.784,0.71,39.26,0.74,100.1,88.5,3
6066,242,88,0.784,0.69,39.59,0.74,97.8,85.7,4
6067,243,103,0.787,0.65,39.42,0.74,96.4,82.9,4
6068,244,79,0.79,0.63,39.27,0.74,95.4,81.1,4
6069,245,101,0.792,0.62,37.83,0.74,95.1,80.6,4
6070,246,101,0.791,0.63,37.54,0.74,95.4,81,4
6071,247,90,0.789,0.64,35.72,0.74,95.8,82,4
6072,248,95,0.788,0.66,35.49,0.74,96.5,83.3,4
6073,249,117,0.787,0.67,34.55,0.74,97.2,84.3,4
6074,250,124,0.785,0.68,34.33,0.74,97.3,84.9,4
6075,251,129,0.784,0.69,33.64,0.74,97.6,85.5,3
6076,252,119,0.784,0.69,33.66,0.74,97.8,85.9,3
6141,253,110,0.754,0.92,36.6,0.74,94.6,91.4,4
6142,254,110,0.756,0.91,37.37,0.74,95.4,91.8,4
6143,255,112,0.759,0.89,38.75,0.74,96.6,92.4,4
6144,256,109,0.763,0.87,39.85,0.74,98.2,93,4
6145,257,108,0.769,0.84,39.23,0.74,99.9,93.3,5
6146,258,115,0.778,0.78,36.02,0.74,101.2,92.2,4
6147,259,113,0.789,0.7,34.84,0.74,101.3,89.2,3
6148,260,124,0.797,0.64,36.18,0.74,100.1,85.4,3
6149,261,97,0.805,0.58,37.01,0.74,99.5,82.7,2
6150,262,57,0.813,0.54,37.02,0.74,99.4,80.8,2
6151,263,103,0.818,0.51,37.02,0.74,100.2,80,3
6152,264,87,0.822,0.48,37.02,0.74,101.5,79.8,4
6153,265,111,0.824,0.48,37.03,0.74,103.2,81,3
6154,266,85,0.826,0.49,37.03,0.74,104.9,82.8,4
6155,267,102,0.827,0.5,37.03,0.74,106.2,84.3,4
6156,268,117,0.832,0.49,37.03,0.74,107.8,85.1,4
6157,269,89,0.836,0.47,37.03,0.74,109.1,85.3,4
6158,270,131,0.838,0.47,37.03,0.74,109.7,85.7,3
6159,271,138,0.836,0.49,38.26,0.74,109.7,86.6,4
6160,272,121,0.83,0.53,38.77,0.74,109.6,88.4,4
6161,273,120,0.822,0.58,37.96,0.74,109,90.2,5
6162,274,107,0.812,0.62,35.99,0.74,107.7,91.1,5
6163,275,129,0.799,0.66,35.76,0.74,105.6,91.1,4
6164,276,140,0.789,0.68,37.43,0.74,102.9,89.7,3
6165,277,115,0.784,0.68,38.78,0.74,99.5,86.8,4
6166,278,80,0.787,0.64,38.71,0.74,96.6,82.6,5
6167,279,121,0.794,0.58,39.72,0.74,95.4,79.2,5
6168,280,126,0.797,0.56,39.88,0.74,94.8,78,5
6169,281,113,0.797,0.58,40.66,0.74,95.1,78.9,4
6170,282,86,0.794,0.61,39.28,0.74,95.4,80.3,4
6171,283,93,0.79,0.64,38.04,0.74,96.1,82.2,4
6172,284,88,0.788,0.66,36.67,0.74,96.9,83.8,4
6173,285,109,0.785,0.68,35.34,0.74,97.3,84.8,4
6174,286,91,0.784,0.69,35.95,0.74,97.6,85.7,3
6175,287,130,0.783,0.7,34.75,0.74,97.9,86.2,3
6176,288,130,0.783,0.7,34.65,0.74,98,86.5,3
6177,289,133,0.783,0.71,33.95,0.74,98.2,86.7,3
