"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4952,1,109,0.807,2.25,46.87,0.87,101,123.6,4
5052,2,106,0.806,2.24,46.84,0.87,101.2,123.6,4
5053,3,106,0.807,2.25,46.55,0.87,101.1,123.6,4
5056,4,118,0.811,2.26,45.78,0.87,101.2,123.3,4
5057,5,98,0.812,2.25,45.42,0.87,101.2,123.1,4
5151,6,97,0.806,2.19,45.87,0.87,101.5,123.6,3
5152,7,103,0.807,2.21,46.05,0.87,101.4,123.5,4
5153,8,112,0.808,2.23,45.9,0.87,101.3,123.5,4
5154,9,78,0.808,2.25,45.93,0.87,101.3,123.7,4
5155,10,91,0.809,2.26,45.57,0.87,101.3,123.6,4
5156,11,105,0.811,2.26,44.94,0.87,101.3,123.5,4
5157,12,109,0.812,2.25,44.54,0.87,101.4,123.3,4
5158,13,71,0.814,2.25,44.53,0.87,101.4,123.2,5
5248,14,86,0.795,2.26,42.22,0.87,101.6,125.7,3
5249,15,92,0.8,2.22,43.12,0.87,101.8,124.9,3
5250,16,96,0.803,2.19,44.12,0.87,101.8,124.3,3
5251,17,102,0.804,2.18,45.44,0.87,101.8,123.9,3
5252,18,111,0.806,2.19,45.74,0.87,101.6,123.6,3
5253,19,92,0.807,2.21,45.62,0.87,101.5,123.7,4
5254,20,127,0.809,2.23,44.95,0.87,101.5,123.7,4
5255,21,92,0.81,2.25,44.48,0.87,101.5,123.8,4
5256,22,101,0.81,2.27,44.27,0.87,101.4,123.9,4
5257,23,97,0.812,2.27,43.82,0.87,101.4,123.7,4
5258,24,81,0.813,2.27,43.88,0.87,101.4,123.5,5
5259,25,84,0.815,2.25,43.68,0.87,101.2,122.9,5
5260,26,87,0.817,2.25,43.02,0.87,101.1,122.5,5
5346,27,80,0.782,2.42,40.19,0.87,100.4,127.6,4
5347,28,92,0.786,2.38,40.57,0.87,100.9,127.3,4
5348,29,105,0.79,2.32,42.12,0.87,101.5,126.8,3
5349,30,128,0.795,2.26,42.54,0.87,101.8,125.9,3
5350,31,68,0.8,2.21,43.08,0.87,102,125,3
5351,32,81,0.803,2.18,44.03,0.87,102,124.4,3
5352,33,136,0.806,2.18,44.61,0.87,101.9,123.9,3
5353,34,151,0.807,2.19,44.86,0.87,101.8,123.8,4
5354,35,130,0.808,2.22,44.9,0.87,101.8,124,4
5355,36,119,0.809,2.26,44.18,0.87,101.8,124.3,4
5356,37,98,0.809,2.3,43.12,0.87,101.6,124.4,4
5357,38,92,0.811,2.3,43.12,0.87,101.5,124.3,4
5358,39,91,0.812,2.31,42.89,0.87,101.4,124,5
5359,40,112,0.815,2.29,43.13,0.87,101.2,123.3,5
5360,41,115,0.816,2.27,42.87,0.87,101,122.6,5
5361,42,100,0.819,2.23,42.07,0.87,100.8,121.6,5
5362,43,85,0.822,2.18,40.66,0.87,100.4,120.3,5
5363,44,98,0.824,2.12,40.1,0.87,100.3,119.2,5
5364,45,100,0.825,2.09,39.84,0.87,100.6,119.1,5
5445,46,93,0.773,2.47,38.91,0.87,99.6,128.3,5
5446,47,111,0.775,2.47,39.54,0.87,99.9,128.3,5
5447,48,100,0.779,2.44,40.81,0.87,100.4,128.3,4
5448,49,115,0.784,2.38,41.25,0.87,101.1,128,4
5449,50,79,0.789,2.32,42.34,0.87,101.7,127.3,4
5450,51,88,0.794,2.27,42.7,0.87,102,126.3,3
5451,52,89,0.8,2.21,43.12,0.87,102.2,125.3,3
5452,53,98,0.803,2.18,44.12,0.87,102.3,124.8,3
5453,54,92,0.806,2.18,44.4,0.87,102.3,124.4,3
5454,55,129,0.807,2.22,43.89,0.87,102.1,124.6,4
5455,56,91,0.807,2.27,43.1,0.87,102.1,125,4
5456,57,129,0.807,2.33,43.07,0.87,101.9,125.4,4
5457,58,107,0.809,2.35,42.82,0.87,101.7,125.3,4
5458,59,82,0.811,2.36,43.02,0.87,101.4,124.8,5
5459,60,89,0.814,2.32,43.33,0.87,101.2,123.7,5
5460,61,100,0.817,2.3,41.72,0.87,100.7,122.6,5
5461,62,111,0.821,2.22,40.52,0.87,100.4,120.8,5
5462,63,91,0.823,2.16,40.93,0.87,100.5,120.1,5
5463,64,102,0.824,2.12,40.69,0.87,100.8,119.8,5
5464,65,108,0.825,2.09,39.72,0.87,101.2,119.9,5
5542,66,79,0.773,2.4,36.23,0.87,100.6,128.6,5
5543,67,74,0.772,2.42,36.59,0.87,100.3,128.6,5
5544,68,114,0.771,2.44,37.18,0.87,100.1,128.6,5
5545,69,136,0.769,2.47,37.34,0.87,99.6,128.6,5
5546,70,152,0.77,2.48,38.52,0.87,99.6,128.7,5
5547,71,86,0.771,2.47,40.95,0.87,100.2,129.1,5
5548,72,100,0.776,2.44,40.82,0.87,100.7,129,5
5549,73,53,0.781,2.39,40.77,0.87,101.3,128.6,4
5550,74,92,0.787,2.32,41.44,0.87,101.9,127.9,4
5551,75,104,0.792,2.26,42.51,0.87,102.4,127.1,4
5552,76,116,0.798,2.21,42.98,0.87,102.7,126.1,3
5553,77,93,0.801,2.2,43.82,0.87,102.8,125.8,2
5554,78,90,0.803,2.24,44.05,0.87,102.7,125.9,3
5555,79,115,0.803,2.3,43.8,0.87,102.6,126.4,3
5556,80,137,0.805,2.34,42.74,0.87,102.5,126.7,4
5557,81,133,0.807,2.39,41.79,0.87,102,126.2,4
5558,82,107,0.811,2.4,41.06,0.87,101.3,125.2,5
