"SPECIES","NAME"
"S1","Accipiter cooperii"
"S2","Accipiter gentilis"
"S3","Accipiter striatus"
"S4","Actitis macularius"
"S5","Aegolius acadicus"
"S6","Agelaius phoeniceus"
"S7","Aix sponsa"
"S8","Ammodramus caudacutus"
"S9","Ammodramus henslowii"
"S10","Ammodramus maritimus"
"S11","Ammodramus nelsoni"
"S12","Ammodramus savannarum"
"S13","Anas acuta"
"S14","Anas americana"
"S15","Anas clypeata"
"S16","Anas crecca"
"S17","Anas discors"
"S18","Anas platyrhynchos"
"S19","Anas platyrhynchos x A. rubripes"
"S20","Anas rubripes"
"S21","Anas strepera"
"S22","Aquila chrysaetos"
"S23","Archilochus colubris"
"S24","Ardea alba"
"S25","Ardea herodias"
"S26","Asio flammeus"
"S27","Asio otus"
"S28","Aythya affinis"
"S29","Aythya americana"
"S30","Aythya collaris"
"S31","Aythya valisineria"
"S32","Baeolophus bicolor"
"S33","Bartramia longicauda"
"S34","Bombycilla cedrorum"
"S35","Bonasa umbellus"
"S36","Botaurus lentiginosus"
"S37","Branta canadensis"
"S38","Bubo virginianus"
"S39","Bubulcus ibis"
"S40","Bucephala clangula"
"S41","Buteo jamaicensis"
"S42","Buteo lineatus"
"S43","Buteo platypterus"
"S44","Butorides virescens"
"S45","Caprimulgus carolinensis"
"S46","Caprimulgus vociferus"
"S47","Cardinalis cardinalis"
"S48","Carpodacus mexicanus"
"S49","Carpodacus purpureus"
"S50","Cathartes aura"
"S51","Catharus bicknelli"
"S52","Catharus fuscescens"
"S53","Catharus guttatus"
"S54","Catharus ustulatus"
"S55","Certhia americana"
"S56","Chaetura pelagica"
"S57","Charadrius melodus"
"S58","Charadrius vociferus"
"S59","Chlidonias leucopterus"
"S60","Chlidonias niger"
"S61","Chordeiles minor"
"S62","Circus cyaneus"
"S63","Cistothorus palustris"
"S64","Cistothorus platensis"
"S65","Coccothraustes vespertinus"
"S66","Coccyzus americanus"
"S67","Coccyzus erythropthalmus"
"S68","Colaptes auratus"
"S69","Colinus virginianus"
"S70","Columba livia"
"S71","Contopus cooperi"
"S72","Contopus virens"
"S73","Coragyps atratus"
"S74","Corvus brachyrhynchos"
"S75","Corvus corax"
"S76","Corvus ossifragus"
"S77","Cyanocitta cristata"
"S78","Cygnus buccinator"
"S79","Cygnus olor"
"S80","Dendroica caerulescens"
"S81","Dendroica castanea"
"S82","Dendroica cerulea"
"S83","Dendroica coronata"
"S84","Dendroica discolor"
"S85","Dendroica dominica"
"S86","Dendroica fusca"
"S87","Dendroica magnolia"
"S88","Dendroica palmarum"
"S89","Dendroica pensylvanica"
"S90","Dendroica petechia"
"S91","Dendroica pinus"
"S92","Dendroica striata"
"S93","Dendroica tigrina"
"S94","Dendroica virens"
"S95","Dolichonyx oryzivorus"
"S96","Dryocopus pileatus"
"S97","Dumetella carolinensis"
"S98","Egretta caerulea"
"S99","Egretta thula"
"S100","Egretta tricolor"
"S101","Empidonax alnorum"
"S102","Empidonax flaviventris"
"S103","Empidonax minimus"
"S104","Empidonax traillii"
"S105","Empidonax virescens"
"S106","Eremophila alpestris"
"S107","Euphagus carolinus"
"S108","Falcipennis canadensis"
"S109","Falco columbarius"
"S110","Falco peregrinus"
"S111","Falco sparverius"
"S112","Fulica americana"
"S113","Gallinago delicata"
"S114","Gallinula chloropus"
"S115","Gavia immer"
"S116","Gelochelidon nilotica"
"S117","Geothlypis trichas"
"S118","Grus canadensis"
"S119","Haematopus palliatus"
"S120","Haliaeetus leucocephalus"
"S121","Helmitheros vermivorum"
"S122","Hirundo rustica"
"S123","Hydropogne caspia"
"S124","Hylocichla mustelina"
"S125","Icteria virens"
"S126","Icterus galbula"
"S127","Icterus spurius"
"S128","Ixobrychus exilis"
"S129","Junco hyemalis"
"S130","Lanius ludovicianus"
"S131","Larus argentatus"
"S132","Larus delawarensis"
"S133","Larus marinus"
"S134","Laterallus jamaicensis"
"S135","Leucophaeus atricilla"
"S136","Lophodytes cucullatus"
"S137","Loxia curvirostra"
"S138","Loxia leucoptera"
"S139","Megaceryle alcyon"
"S140","Megascops asio"
"S141","Melanerpes carolinus"
"S142","Melanerpes erythrocephalus"
"S143","Meleagris gallopavo"
"S144","Melospiza georgiana"
"S145","Melospiza lincolnii"
"S146","Melospiza melodia"
"S147","Mergus merganser"
"S148","Mergus serrator"
"S149","Mimus polyglottos"
"S150","Mniotilta varia"
"S151","Molothrus ater"
"S152","Myiarchus crinitus"
"S153","Myiopsitta monachus"
"S154","Nyctanassa violacea"
"S155","Nycticorax nycticorax"
"S156","Oporornis formosus"
"S157","Oporornis philadelphia"
"S158","Oxyura jamaicensis"
"S159","Pandion haliaetus"
"S160","Parula americana"
