"SPECIES","NAME"
"S161","Passer domesticus"
"S162","Passerculus sandwichensis"
"S163","Passerina caerulea"
"S164","Passerina cyanea"
"S165","Pelecanus erythrorhynchos"
"S166","Perdix perdix"
"S167","Perisoreus canadensis"
"S168","Petrochelidon pyrrhonota"
"S169","Phalacrocorax auritus"
"S170","Phalaropus tricolor"
"S171","Phasianus colchicus"
"S172","Pheucticus ludovicianus"
"S173","Picoides arcticus"
"S174","Picoides dorsalis"
"S175","Picoides pubescens"
"S176","Picoides villosus"
"S177","Pipilo erythrophthalmus"
"S178","Piranga olivacea"
"S179","Piranga rubra"
"S180","Plegadis falcinellus"
"S181","Podilymbus podiceps"
"S182","Poecile atricapillus"
"S183","Poecile hudsonicus"
"S184","Polioptila caerulea"
"S185","Pooecetes gramineus"
"S186","Porzana carolina"
"S187","Progne subis"
"S188","Protonotaria citrea"
"S189","Quiscalus major"
"S190","Quiscalus quiscula"
"S191","Rallus elegans"
"S192","Rallus limicola"
"S193","Rallus longirostris"
"S194","Regulus calendula"
"S195","Regulus satrapa"
"S196","Riparia riparia"
"S197","Rynchops niger"
"S198","Sayornis phoebe"
"S199","Scolopax minor"
"S200","Seiurus aurocapilla"
"S201","Seiurus motacilla"
"S202","Seiurus noveboracensis"
"S203","Setophaga ruticilla"
"S204","Sialia sialis"
"S205","Sitta canadensis"
"S206","Sitta carolinensis"
"S207","Somateria mollissima"
"S208","Sphyrapicus varius"
"S209","Spinus pinus"
"S210","Spinus tristis"
"S211","Spiza americana"
"S212","Spizella pallida"
"S213","Spizella passerina"
"S214","Spizella pusilla"
"S215","Stelgidopteryx serripennis"
"S216","Sterna dougallii"
"S217","Sterna forsteri"
"S218","Sterna hirundo"
"S219","Sternula antillarum"
"S220","Streptopelia decaocto"
"S221","Strix varia"
"S222","Sturnella magna"
"S223","Sturnella neglecta"
"S224","Sturnus vulgaris"
"S225","Tachycineta bicolor"
"S226","Thryothorus ludovicianus"
"S227","Toxostoma rufum"
"S228","Tringa semipalmata"
"S229","Troglodytes aedon"
"S230","Troglodytes troglodytes"
"S231","Turdus migratorius"
"S232","Tyrannus tyrannus"
"S233","Tyrannus verticalis"
"S234","Tyto alba"
"S235","Vermivora chrysoptera"
"S236","Vermivora chrysoptera x V. pinus"
"S237","Vermivora peregrina"
"S238","Vermivora pinus"
"S239","Vermivora pinus x V. chrysoptera"
"S240","Vermivora ruficapilla"
"S241","Vireo flavifrons"
"S242","Vireo gilvus"
"S243","Vireo griseus"
"S244","Vireo olivaceus"
"S245","Vireo philadelphicus"
"S246","Vireo solitarius"
"S247","Wilsonia canadensis"
"S248","Wilsonia citrina"
"S249","Wilsonia pusilla"
"S250","Zenaida macroura"
"S251","Zonotrichia albicollis"
