"SPECIES","NAME"
"S161","Passerina caerulea"
"S162","Passerina cyanea"
"S163","Perdix perdix"
"S164","Perisoreus canadensis"
"S165","Petrochelidon pyrrhonota"
"S166","Phalacrocorax auritus"
"S167","Phasianus colchicus"
"S168","Pheucticus ludovicianus"
"S169","Picoides arcticus"
"S170","Picoides dorsalis"
"S171","Picoides pubescens"
"S172","Picoides villosus"
"S173","Pipilo erythrophthalmus"
"S174","Piranga olivacea"
"S175","Piranga rubra"
"S176","Plegadis falcinellus"
"S177","Podilymbus podiceps"
"S178","Poecile atricapillus"
"S179","Poecile hudsonicus"
"S180","Polioptila caerulea"
"S181","Pooecetes gramineus"
"S182","Porzana carolina"
"S183","Progne subis"
"S184","Protonotaria citrea"
"S185","Quiscalus major"
"S186","Quiscalus quiscula"
"S187","Rallus elegans"
"S188","Rallus limicola"
"S189","Rallus longirostris"
"S190","Regulus calendula"
"S191","Regulus satrapa"
"S192","Riparia riparia"
"S193","Rynchops niger"
"S194","Sayornis phoebe"
"S195","Scolopax minor"
"S196","Seiurus aurocapilla"
"S197","Seiurus motacilla"
"S198","Seiurus noveboracensis"
"S199","Setophaga ruticilla"
"S200","Sialia sialis"
"S201","Sitta canadensis"
"S202","Sitta carolinensis"
"S203","Sphyrapicus varius"
"S204","Spinus pinus"
"S205","Spinus tristis"
"S206","Spiza americana"
"S207","Spizella pallida"
"S208","Spizella passerina"
"S209","Spizella pusilla"
"S210","Stelgidopteryx serripennis"
"S211","Sterna dougallii"
"S212","Sterna forsteri"
"S213","Sterna hirundo"
"S214","Sternula antillarum"
"S215","Strix varia"
"S216","Sturnella magna"
"S217","Sturnella neglecta"
"S218","Sturnus vulgaris"
"S219","Tachycineta bicolor"
"S220","Thryothorus ludovicianus"
"S221","Toxostoma rufum"
"S222","Tringa semipalmata"
"S223","Troglodytes aedon"
"S224","Troglodytes troglodytes"
"S225","Turdus migratorius"
"S226","Tyrannus tyrannus"
"S227","Tyto alba"
"S228","Vermivora chrysoptera"
"S229","Vermivora chrysoptera x V. pinus"
"S230","Vermivora peregrina"
"S231","Vermivora pinus"
"S232","Vermivora pinus x V. chrysoptera"
"S233","Vermivora ruficapilla"
"S234","Vireo flavifrons"
"S235","Vireo gilvus"
"S236","Vireo griseus"
"S237","Vireo olivaceus"
"S238","Vireo philadelphicus"
"S239","Vireo solitarius"
"S240","Wilsonia canadensis"
"S241","Wilsonia citrina"
"S242","Wilsonia pusilla"
"S243","Zenaida macroura"
"S244","Zonotrichia albicollis"
