"SPECIES","NAME"
"S1","Accipiter cooperii"
"S2","Accipiter gentilis"
"S3","Accipiter striatus"
"S4","Actitis macularius"
"S5","Aegolius acadicus"
"S6","Agelaius phoeniceus"
"S7","Aix sponsa"
"S8","Ammodramus caudacutus"
"S9","Ammodramus henslowii"
"S10","Ammodramus maritimus"
"S11","Ammodramus savannarum"
"S12","Anas acuta"
"S13","Anas americana"
"S14","Anas clypeata"
"S15","Anas crecca"
"S16","Anas discors"
"S17","Anas platyrhynchos"
"S18","Anas platyrhynchos x A. rubripes"
"S19","Anas rubripes"
"S20","Anas strepera"
"S21","Aquila chrysaetos"
"S22","Archilochus colubris"
"S23","Ardea alba"
"S24","Ardea herodias"
"S25","Asio flammeus"
"S26","Asio otus"
"S27","Aythya affinis"
"S28","Aythya americana"
"S29","Aythya collaris"
"S30","Aythya marila"
"S31","Aythya valisineria"
"S32","Baeolophus bicolor"
"S33","Bartramia longicauda"
"S34","Bombycilla cedrorum"
"S35","Bonasa umbellus"
"S36","Botaurus lentiginosus"
"S37","Branta canadensis"
"S38","Bubo virginianus"
"S39","Bubulcus ibis"
"S40","Bucephala albeola"
"S41","Bucephala clangula"
"S42","Buteo jamaicensis"
"S43","Buteo lineatus"
"S44","Buteo platypterus"
"S45","Butorides virescens"
"S46","Caprimulgus carolinensis"
"S47","Caprimulgus vociferus"
"S48","Cardinalis cardinalis"
"S49","Carpodacus mexicanus"
"S50","Carpodacus purpureus"
"S51","Cathartes aura"
"S52","Catharus bicknelli"
"S53","Catharus fuscescens"
"S54","Catharus guttatus"
"S55","Catharus ustulatus"
"S56","Certhia americana"
"S57","Chaetura pelagica"
"S58","Charadrius melodus"
"S59","Charadrius vociferus"
"S60","Chlidonias niger"
"S61","Chordeiles minor"
"S62","Circus cyaneus"
"S63","Cistothorus palustris"
"S64","Cistothorus platensis"
"S65","Coccothraustes vespertinus"
"S66","Coccyzus americanus"
"S67","Coccyzus erythropthalmus"
"S68","Colaptes auratus"
"S69","Colinus virginianus"
"S70","Columba livia"
"S71","Contopus cooperi"
"S72","Contopus virens"
"S73","Corvus brachyrhynchos"
"S74","Corvus corax"
"S75","Corvus ossifragus"
"S76","Cyanocitta cristata"
"S77","Cygnus olor"
"S78","Dendroica caerulescens"
"S79","Dendroica castanea"
"S80","Dendroica cerulea"
"S81","Dendroica coronata"
"S82","Dendroica discolor"
"S83","Dendroica dominica"
"S84","Dendroica fusca"
"S85","Dendroica magnolia"
"S86","Dendroica palmarum"
"S87","Dendroica pensylvanica"
"S88","Dendroica petechia"
"S89","Dendroica pinus"
"S90","Dendroica striata"
"S91","Dendroica tigrina"
"S92","Dendroica virens"
"S93","Dolichonyx oryzivorus"
"S94","Dryocopus pileatus"
"S95","Dumetella carolinensis"
"S96","Egretta caerulea"
"S97","Egretta thula"
"S98","Egretta tricolor"
"S99","Empidonax alnorum"
"S100","Empidonax flaviventris"
"S101","Empidonax minimus"
"S102","Empidonax traillii"
"S103","Empidonax virescens"
"S104","Eremophila alpestris"
"S105","Euphagus carolinus"
"S106","Euphagus cyanocephalus"
"S107","Falcipennis canadensis"
"S108","Falco peregrinus"
"S109","Falco sparverius"
"S110","Fulica americana"
"S111","Gallinago delicata"
"S112","Gallinula chloropus"
"S113","Gavia immer"
"S114","Gelochelidon nilotica"
"S115","Geothlypis trichas"
"S116","Haematopus palliatus"
"S117","Haliaeetus leucocephalus"
"S118","Helmitheros vermivorum"
"S119","Hirundo rustica"
"S120","Hydropogne caspia"
"S121","Hylocichla mustelina"
"S122","Icteria virens"
"S123","Icterus galbula"
"S124","Icterus spurius"
"S125","Ixobrychus exilis"
"S126","Junco hyemalis"
"S127","Lanius ludovicianus"
"S128","Larus argentatus"
"S129","Larus delawarensis"
"S130","Larus marinus"
"S131","Laterallus jamaicensis"
"S132","Leucophaeus atricilla"
"S133","Lophodytes cucullatus"
"S134","Loxia curvirostra"
"S135","Loxia leucoptera"
"S136","Megaceryle alcyon"
"S137","Megascops asio"
"S138","Melanerpes carolinus"
"S139","Melanerpes erythrocephalus"
"S140","Meleagris gallopavo"
"S141","Melospiza georgiana"
"S142","Melospiza lincolnii"
"S143","Melospiza melodia"
"S144","Mergus merganser"
"S145","Mergus serrator"
"S146","Mimus polyglottos"
"S147","Mniotilta varia"
"S148","Molothrus ater"
"S149","Myiarchus crinitus"
"S150","Myiopsitta monachus"
"S151","Nandayus nenday"
"S152","Nyctanassa violacea"
"S153","Nycticorax nycticorax"
"S154","Oporornis formosus"
"S155","Oporornis philadelphia"
"S156","Oxyura jamaicensis"
"S157","Pandion haliaetus"
"S158","Parula americana"
"S159","Passer domesticus"
"S160","Passerculus sandwichensis"
