Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S66       ,1985      ,   0.462,  0.026,    434,  434.0,  434.0,    626,    239
S67       ,1985      ,   0.338,  0.025,    200,  200.0,  200.0,    595,     50
S68       ,1985      ,   1.352,  0.159,    619,  619.0,  619.0,    628,    437
S69       ,1985      ,   0.473,  0.026,    450,  450.0,  450.0,    625,    277
S7        ,1985      ,   0.361,  0.024,    258,  258.0,  258.0,    608,     73
S70       ,1985      ,   2.018,  0.624,    627,  627.0,  625.8,    628,    437
S71       ,1985      ,   0.597,  0.117,     37,   37.0,   37.0,    118,      4
S72       ,1985      ,   1.513,  0.219,    622,  622.0,  621.8,    628,    437
S73       ,1985      ,   0.407,  0.033,    178,  178.0,  178.0,    522,     30
S74       ,1985      ,   0.443,  0.024,    453,  453.0,  453.0,    628,    266
S75       ,1985      ,   0.381,  0.074,     33,   33.0,   33.0,    125,      4
S76       ,1985      ,   0.756,  0.046,    575,  575.0,  575.0,    628,    404
S77       ,1985      ,   1.#QO,  1.#QO,      1,    1.0,   -1.$,      0,      0
S78       ,1985      ,   2.184,  0.856,    628,  628.0,  626.4,    628,    438
S79       ,1985      ,   0.303,  0.046,     48,   48.0,   48.0,    295,      2
S8        ,1985      ,   0.711,  0.042,    570,  570.0,  570.0,    628,    408
S80       ,1985      ,   0.469,  0.026,    462,  462.0,  462.0,    628,    291
S81       ,1985      ,   1.589,  0.254,    623,  623.0,  622.7,    628,    435
S82       ,1985      ,   1.890,  0.863,     13,   13.0,   13.0,     31,      1
S83       ,1985      ,   0.237,  0.051,     24,   24.0,   24.0,    151,      5
S84       ,1985      ,   0.376,  0.028,    216,  216.0,  216.0,    565,     43
S85       ,1985      ,   1.211,  0.119,    615,  615.0,  615.0,    628,    436
S86       ,1985      ,   0.548,  0.362,      3,    3.0,    3.0,     22,      0
S87       ,1985      ,   0.447,  0.029,    301,  301.0,  301.0,    597,    114
S88       ,1985      ,   0.359,  0.022,    326,  326.0,  326.0,    626,    162
S89       ,1985      ,   0.314,  0.027,    148,  148.0,  148.0,    537,     31
S9        ,1985      ,   0.332,  0.030,    146,  146.0,  146.0,    450,     66
S90       ,1985      ,   2.018,  0.624,    627,  627.0,  625.8,    628,    438
S91       ,1985      ,   0.568,  0.032,    501,  501.0,  501.0,    625,    324
S92       ,1985      ,   0.345,  0.022,    279,  279.0,  279.0,    625,     95
S93       ,1985      ,   0.369,  0.023,    307,  307.0,  307.0,    614,    127
S94       ,1985      ,   0.445,  0.025,    416,  416.0,  416.0,    622,    234
S95       ,1985      ,   1.211,  0.119,    615,  615.0,  615.0,    628,    436
S96       ,1985      ,   0.444,  0.044,    127,  127.0,  127.0,    324,     27
S97       ,1985      ,   0.385,  0.166,      7,    7.0,    7.0,     43,      0
S98       ,1985      ,   0.463,  0.125,     17,   17.0,   17.0,     85,      1
S99       ,1985      ,   0.531,  0.294,      4,    4.0,    4.0,     31,      0
