Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
6047      ,    223,    117,  0.905,  2.16,   4.68,  0.940,     113.9,     125.7,    9
6048      ,    224,    115,  0.912,  1.93,   4.68,  0.940,     114.6,     124.2,    5
6049      ,    225,    104,  0.910,  2.28,   4.68,  0.940,     111.8,     123.6,    3
6050      ,    226,     62,  0.889,  3.11,   4.68,  0.940,     104.4,     122.5,    2
6051      ,    227,    101,  0.894,  3.99,   4.72,  0.940,     101.8,     122.5,    5
6052      ,    228,    107,  0.915,  1.78,   4.57,  0.940,     107.2,     114.9,    5
6053      ,    229,     95,  0.920,  1.95,   4.57,  0.940,     111.1,     119.7,    4
6054      ,    230,     99,  0.908,  2.43,   4.57,  0.940,     114.5,     127.7,    3
6055      ,    231,    109,  0.903,  3.30,   4.57,  0.940,     108.7,     126.2,    4
6056      ,    232,    126,  0.904,  3.26,   4.57,  0.940,     106.4,     122.7,    5
6057      ,    233,    113,  0.877,  3.19,   4.57,  0.940,     109.3,     130.0,    7
6058      ,    234,    131,  0.895,  2.50,   4.57,  0.940,     118.0,     133.6,    5
6059      ,    235,     95,  0.901,  2.68,   4.57,  0.940,     118.9,     134.9,    4
6060      ,    236,     94,  0.896,  2.45,   4.57,  0.940,     121.4,     137.2,    7
6061      ,    237,     90,  0.889,  2.68,   4.57,  0.940,     121.1,     139.4,    8
6062      ,    238,    114,  0.876,  3.28,   4.57,  0.940,     116.3,     138.9,    5
6063      ,    239,    136,  0.876,  4.42,   4.57,  0.940,     107.4,     133.2,    3
6064      ,    240,    116,  0.884,  4.12,   4.57,  0.940,     101.6,     123.7,    3
6065      ,    241,    121,  0.861,  4.37,   4.57,  0.940,      91.6,     116.0,    5
6066      ,    242,     88,  0.858,  8.86,   4.57,  0.940,      77.7,     107.9,    5
6067      ,    243,    103,  0.854,  4.61,   4.57,  0.940,      83.9,     108.0,    5
6068      ,    244,     79,  0.857,  3.36,   4.57,  0.940,      93.9,     115.5,   73
6069      ,    245,    101,  0.859,  4.03,   4.57,  0.940,      91.2,     114.6,    9
6070      ,    246,    101,  0.841,  4.34,   4.57,  0.940,      88.5,     115.8,   84
6071      ,    247,     90,  0.867,  8.71,   4.43,  0.940,      86.8,     117.2,    7
6072      ,    248,     95,  0.868,  3.53,   3.69,  0.940,      92.2,     112.4,    9
6073      ,    249,    117,  0.783,  4.09,   4.58,  0.940,      88.5,     121.5,   30
6074      ,    250,    124,  0.763,  4.24,   5.06,  0.940,      93.1,     132.3,  100
6075      ,    251,    129,  0.748,  4.25,   4.02,  0.940,      92.4,     134.5,   98
6076      ,    252,    119,  0.822,  2.67,   4.50,  0.940,     109.7,     134.7,  101
6141      ,    253,    110,  0.876,  3.11,   3.65,  0.940,     103.8,     123.1,    7
6142      ,    254,    110,  0.859,  3.63,   4.94,  0.940,      97.6,     120.6,    9
6143      ,    255,    112,  0.864,  3.18,   4.68,  0.940,      99.9,     120.7,   12
6144      ,    256,    109,  0.870,  3.49,   4.68,  0.940,     100.5,     121.8,    7
6145      ,    257,    108,  0.859,  3.38,   4.68,  0.940,      98.9,     121.0,   11
6146      ,    258,    115,  0.887,  2.76,   4.68,  0.940,     108.0,     124.8,    7
6147      ,    259,    113,  0.905,  2.23,   4.68,  0.940,     109.1,     120.9,    5
6148      ,    260,    124,  0.929,  1.44,   4.68,  0.940,     113.8,     118.3,    3
6149      ,    261,     97,  0.909,  1.63,   4.68,  0.940,     104.5,     111.7,    7
6150      ,    262,     57,  0.853,  3.36,   4.68,  0.940,      93.2,     114.3,    4
6151      ,    263,    103,  0.835,  3.85,   4.68,  0.940,      91.7,     117.3,    8
6152      ,    264,     87,  0.912,  2.41,   4.70,  0.940,     105.4,     116.7,    4
6153      ,    265,    111,  0.909,  3.18,   4.72,  0.940,     106.7,     122.3,    4
6154      ,    266,     85,  0.905,  5.28,   4.57,  0.940,     101.6,     123.8,    6
6155      ,    267,    102,  0.907,  3.42,   4.57,  0.940,     106.0,     122.9,    4
6156      ,    268,    117,  0.906,  2.23,   4.57,  0.940,     111.2,     123.1,    4
6157      ,    269,     89,  0.909,  2.48,   4.57,  0.940,     118.1,     131.8,    4
6158      ,    270,    131,  0.907,  2.58,   4.57,  0.940,     119.4,     134.0,    4
6159      ,    271,    138,  0.869,  3.15,   4.57,  0.940,     116.4,     139.9,   16
6160      ,    272,    121,  0.853,  4.72,   4.57,  0.940,     102.5,     132.7,    7
6161      ,    273,    120,  0.868,  4.14,   4.57,  0.940,     101.9,     126.8,    4
6162      ,    274,    107,  0.872,  4.90,   4.57,  0.940,     105.4,     133.0,    4
6163      ,    275,    129,  0.886,  2.88,   4.57,  0.940,     113.8,     132.4,    7
6164      ,    276,    140,  0.896,  2.23,   4.57,  0.940,     115.4,     129.2,   10
6165      ,    277,    115,  0.869,  2.60,   4.57,  0.940,     102.4,     119.9,   84
6166      ,    278,     80,  0.867,  3.68,   4.57,  0.940,      96.6,     119.4,   73
6167      ,    279,    121,  0.894,  2.91,   4.57,  0.940,      91.4,     105.6,    2
6168      ,    280,    126,  0.874,  4.09,   4.57,  0.940,      90.2,     111.6,    3
6169      ,    281,    113,  0.857,  4.34,   4.57,  0.940,      89.9,     114.6,    7
6170      ,    282,     86,  0.877,  3.58,   4.57,  0.940,      95.7,     115.6,    5
6171      ,    283,     93,  0.878,  3.27,   4.57,  0.940,      93.2,     110.9,    4
6172      ,    284,     88,  0.863,  3.27,   4.31,  0.940,      98.0,     119.2,   31
6173      ,    285,    109,  0.854,  3.02,   4.04,  0.940,     103.7,     125.5,   12
6174      ,    286,     91,  0.820,  2.66,   3.91,  0.940,     106.0,     130.5,   95
6175      ,    287,    130,  0.858,  2.27,   4.59,  0.940,     115.7,     134.2,   63
6176      ,    288,    130,  0.873,  2.43,   4.87,  0.940,     120.1,     138.3,   11
6177      ,    289,    133,  0.912,  2.28,   3.58,  0.940,     124.6,     137.4,    3
6241      ,    290,    119,  0.886,  3.34,   3.85,  0.940,     104.7,     123.9,    3
6242      ,    291,    120,  0.885,  3.70,   5.23,  0.940,     106.6,     128.0,    4
6243      ,    292,     90,  0.876,  3.44,   4.68,  0.940,     107.4,     129.8,   18
6244      ,    293,    120,  0.898,  2.54,   4.68,  0.940,     107.5,     121.9,    4
6245      ,    294,    128,  0.892,  2.35,   4.68,  0.940,     108.2,     122.2,   10
6246      ,    295,    124,  0.899,  2.47,   4.68,  0.940,     108.1,     122.0,    6
6247      ,    296,    118,  0.923,  1.71,   4.68,  0.940,     114.9,     121.9,    3
6248      ,    297,    113,  0.909,  1.94,   4.68,  0.940,     114.1,     124.1,    6
6249      ,    298,     61,  0.851,  2.70,   4.68,  0.940,     100.3,     119.9,   18
6250      ,    299,    126,  0.792,  5.15,   4.68,  0.940,      80.0,     113.1,   11
6251      ,    300,    109,  0.807,  3.81,   4.68,  0.940,      86.2,     114.2,   95
6252      ,    301,     81,  0.895,  2.35,   4.68,  0.940,     100.2,     112.7,    7
6253      ,    302,    118,  0.880,  3.42,   4.68,  0.940,      96.7,     115.9,    6
6254      ,    303,    114,  0.888,  3.43,   4.70,  0.940,      99.3,     117.6,    3
6255      ,    304,    105,  0.872,  3.95,   4.72,  0.940,     101.5,     125.3,    5
6256      ,    305,    106,  0.884,  2.84,   4.57,  0.940,     111.1,     129.4,    8
