"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ID1",1,105,0.858,2.32,3.82,0.92,89.4,104.2,7
"ID10",2,51,0.713,6.13,2.88,0.92,55.8,92.1,7
"ID100",3,76,0.768,5.32,3.4,0.92,68,100.7,4
"ID1000",4,77,0.895,2.23,2.27,0.92,78.1,87.5,6
"ID1001",5,65,0.856,4.3,3.44,0.92,67.2,86.5,4
"ID1002",6,78,0.865,3.4,4.02,0.92,74.5,91.7,5
"ID1003",7,93,0.832,2.63,4.54,0.92,90.4,110.2,13
"ID1004",8,120,0.884,1.73,3.2,0.92,98.6,108.1,6
"ID1005",9,70,0.819,3.8,4.12,0.92,61.4,80.6,4
"ID1006",10,63,0.818,4.83,4.98,0.92,65.6,90.6,5
"ID1007",11,78,0.832,3.9,4.3,0.92,78.3,102.9,6
"ID1008",12,90,0.819,3.49,4.23,0.92,77.1,100.7,36
"ID1009",13,86,0.828,3.14,3.18,0.92,81.9,104,59
"ID101",14,53,0.812,4.38,3.98,0.92,60.2,82.4,6
"ID1010",15,71,0.86,3.21,3.84,0.92,72.1,88.2,4
"ID1011",16,75,0.857,9.97,3.48,0.92,73.6,108.3,7
"ID1012",17,93,0.876,2.16,3.93,0.92,87.4,99.3,4
"ID1013",18,90,0.878,1.86,3.54,0.92,86.8,96.5,4
"ID1014",19,84,0.907,1.98,2.17,0.92,87.1,95,12
"ID1015",20,62,0.867,2.73,4.12,0.92,62,73.4,4
"ID1016",21,71,0.801,3.32,4.07,0.92,73.7,96.8,15
"ID1017",22,50,0.779,6.54,3.2,0.92,70.5,111.9,8
"ID1018",23,68,0.852,9.18,2.98,0.92,62.9,88.6,15
"ID102",24,73,0.775,5.67,3.34,0.92,73.1,109.4,6
"ID1020",25,79,0.822,3.01,3.96,0.92,71.5,90.4,24
"ID1021",26,59,0.811,4.21,4.44,0.92,71.3,96.9,6
"ID1022",27,78,0.798,4.98,5.12,0.92,70.2,99.1,5
"ID1023",28,66,0.831,3.9,4.71,0.92,72.6,95.2,6
"ID1024",29,87,0.873,2.61,3.77,0.92,85.4,100,4
"ID1025",30,89,0.895,1.76,3.48,0.92,89,96.7,3
"ID1026",31,92,0.908,1.34,2.91,0.92,90.4,94.1,3
"ID1027",32,87,0.886,2.02,3.46,0.92,81.9,91.4,4
"ID1028",33,67,0.899,2.33,3.2,0.92,70.9,79.6,5
"ID1029",34,67,0.89,1.58,3.12,0.92,67.6,72.8,4
"ID103",35,64,0.811,9.43,3.28,0.92,64.4,101.8,4
"ID1030",36,77,0.891,2.32,3.91,0.92,82.7,93.6,4
"ID1031",37,79,0.83,4.97,4.65,0.92,72.1,98.5,4
"ID1032",38,67,0.872,3.57,3.82,0.92,75.1,92.4,4
"ID1033",39,77,0.852,2.72,3.11,0.92,73,87.9,11
"ID1034",40,84,0.861,2.49,3.53,0.92,85.5,100.6,4
"ID1035",41,54,0.9,2.5,3.13,0.92,61.7,70,5
"ID1036",42,96,0.874,1.93,3.79,0.92,88.1,98.7,17
"ID1037",43,87,0.859,2.14,3.97,0.92,84.8,97.8,8
"ID1038",44,93,0.895,1.94,3.46,0.92,87.7,96.5,3
"ID1039",45,65,0.841,2.92,2.27,0.92,61.2,75.4,4
"ID104",46,66,0.8,5.95,4.35,0.92,63.2,91.9,4
"ID1040",47,75,0.801,3.72,4.01,0.92,69.6,93.2,7
"ID1041",48,49,0.809,6.09,3.99,0.92,52.1,76.2,5
"ID1042",49,76,0.876,3.1,3.62,0.92,71.9,86.2,4
"ID1043",50,54,0.858,3.01,3.38,0.92,57,69.2,3
"ID1044",51,49,0.833,9.68,3.18,0.92,64,95.3,15
"ID1046",52,57,0.816,6.06,4.15,0.92,60.5,86.2,5
"ID1047",53,76,0.866,2.41,3.44,0.92,79.7,92.9,4
"ID1048",54,77,0.886,2.02,3.46,0.92,81.9,91.4,4
"ID1049",55,67,0.866,4.06,3.18,0.92,72.1,90.9,4
"ID105",56,88,0.799,4.07,4.42,0.92,83.1,113,5
"ID1050",57,79,0.848,2.65,2.84,0.92,83.3,100.5,14
"ID1051",58,81,0.868,2.68,2.5,0.92,86.6,102.5,6
"ID1052",59,95,0.885,1.8,3.57,0.92,91.5,100.5,5
"ID1054",60,76,0.895,5.48,2.24,0.92,77.3,96.5,12
"ID1055",61,79,0.863,2.78,5.03,0.92,69.2,82.7,3
"ID1056",62,89,0.87,2.16,3.94,0.92,82.1,93.7,5
"ID1057",63,88,0.805,2.83,3.62,0.92,91,115.6,73
"ID1058",64,62,0.852,2.6,4.07,0.92,86.3,103.5,16
"ID1059",65,107,0.861,2.31,4.42,0.92,91.5,106.4,7
"ID106",66,87,0.801,3.49,4.01,0.92,86.4,115.2,59
"ID1060",67,58,0.78,4.92,3.73,0.92,58.2,84.2,5
"ID1061",68,58,0.806,4.02,4.11,0.92,56,75.6,3
"ID1062",69,85,0.867,1.98,2.77,0.92,78.1,88.3,13
"ID1064",70,69,0.898,1.77,4.05,0.92,66.1,71.7,4
"ID1065",71,69,0.897,1.93,4.14,0.92,68,74.6,5
"ID1066",72,87,0.883,1.82,3.73,0.92,84.4,93,7
"ID1067",73,64,0.873,2.96,4.23,0.92,71.3,85,3
"ID1068",74,84,0.854,2.81,4.65,0.92,82.5,99.4,4
"ID1069",75,68,0.851,3.14,3.24,0.92,73.1,90.4,4
"ID107",76,88,0.793,2.42,2.84,0.92,69.7,87.1,76
"ID1070",77,99,0.861,2.31,4.42,0.92,91.5,106.4,7
"ID1071",78,52,0.779,6.93,3.98,0.92,58.4,92.2,6
"ID1072",79,53,0.818,2.93,3.46,0.92,55.1,69.7,60
"ID1073",80,58,0.793,5.13,4.85,0.92,69.2,100.7,12
"ID1074",81,86,0.854,3.7,4.7,0.92,75,94.6,4
"ID1075",82,66,0.786,3.93,3.25,0.92,63.4,87.4,10
"ID1076",83,79,0.864,2.91,4.13,0.92,75.3,90.5,4
"ID1077",84,72,0.858,2.84,4.05,0.92,77.7,93.7,4
"ID1078",85,77,0.863,3.48,4.26,0.92,80.6,99.7,4
"ID1079",86,80,0.871,2.39,3.34,0.92,78.7,91.2,4
"ID108",87,60,0.802,3.48,2.95,0.92,67.8,89.8,61
"ID1080",88,76,0.896,2.4,2.59,0.92,78.8,89.1,6
"ID1081",89,54,0.856,3.93,3.06,0.92,63.3,80.5,4
"ID1082",90,76,0.867,3.33,4.94,0.92,73.3,89.2,5
"ID1083",91,75,0.861,3.38,5.1,0.92,74.9,92.1,4
"ID1084",92,82,0.881,1.62,2.92,0.92,74.4,80.8,13
"ID1085",93,85,0.89,1.94,3.98,0.92,86.1,95.2,3
"ID1086",94,92,0.869,1.78,3.27,0.92,80.6,89.7,33
"ID1087",95,95,0.791,3.44,4.14,0.92,78.2,105.3,72
"ID1088",96,58,0.804,6.27,3.3,0.92,56.5,83,4
"ID1089",97,55,0.791,5.95,4.24,0.92,55.4,83,3
"ID1091",98,61,0.825,3.08,3.34,0.92,61.2,77.5,10
"ID1092",99,59,0.784,6.3,4.48,0.92,69,105.2,3
"ID1093",100,81,0.91,1.43,2.62,0.92,80.1,83.9,5
"ID1094",101,77,0.877,2.37,5,0.92,82,94.3,3
"ID1095",102,72,0.801,7.43,4.76,0.92,75.3,115.7,16
"ID1096",103,58,0.823,3.24,4.17,0.92,57.7,73.9,10
"ID1097",104,71,0.81,3.76,4.53,0.92,64.9,86.7,8
"ID1099",105,90,0.803,3.41,3.53,0.92,80.3,106.2,54
"ID11",106,77,0.888,2.56,3.55,0.92,87.2,100.2,5
"ID110",107,87,0.799,4.1,3.92,0.92,71.3,98.3,10
"ID1100",108,69,0.859,2.68,3.16,0.92,75,89.4,5
"ID1101",109,77,0.83,2.92,4.11,0.92,72.9,90.7,9
"ID1102",110,83,0.819,2.74,3.16,0.92,69.1,86.2,53
"ID1103",111,74,0.813,3.22,3.46,0.92,73.8,95.1,30
"ID1104",112,81,0.873,2.73,4.56,0.92,81,95.4,3
"ID1105",113,83,0.885,2.4,3.58,0.92,82.6,94.3,3
"ID1106",114,88,0.922,0.96,2.26,0.92,88.2,87.7,2
"ID1107",115,79,0.88,3.28,2.93,0.92,78,93.4,6
"ID1108",116,72,0.844,5.14,3.66,0.92,75,101,6
"ID1109",117,65,0.839,3.13,3.39,0.92,64,79.8,5
"ID111",118,52,0.804,3.09,2.59,0.92,45.5,58.6,5
"ID1110",119,61,0.823,3.23,4.08,0.92,64.7,82.9,20
"ID1111",120,64,0.837,2.83,4.61,0.92,64,78.8,10
"ID1112",121,71,0.849,3.08,3.28,0.92,69.5,85.5,5
"ID1113",122,69,0.818,4.61,3.62,0.92,66.9,90.6,2
"ID1114",123,76,0.865,3.72,3.52,0.92,74.1,92,5
"ID1115",124,70,0.85,2.76,3.65,0.92,72.9,88.3,8
"ID1116",125,71,0.868,3.71,2.59,0.92,73.3,90.7,4
"ID1117",126,65,0.871,4.45,2.9,0.92,68.5,86.8,4
"ID1118",127,74,0.841,5.21,4.2,0.92,73,97.9,5
"ID1119",128,52,0.821,18.01,2.58,0.92,60,105.6,5
"ID112",129,61,0.835,13.23,2.73,0.92,58.6,90.2,7
"ID1120",130,66,0.846,3.32,3.33,0.92,62.8,78.4,3
"ID1121",131,61,0.809,4.4,3.6,0.92,63.5,87.3,6
"ID1122",132,84,0.867,2.34,3.13,0.92,78.6,91.2,6
"ID1123",133,82,0.859,2.84,4.22,0.92,81.8,98.6,4
"ID1124",134,71,0.823,4.26,3.81,0.92,67,89.3,3
"ID1125",135,75,0.855,2.44,3.34,0.92,67.9,80,11
"ID1126",136,64,0.86,4.83,2.64,0.92,65,84.2,6
"ID1127",137,57,0.846,2.92,3.86,0.92,56.6,69.5,11
"ID1128",138,85,0.805,3.61,4.75,0.92,68.9,92,58
"ID1129",139,57,0.793,5.13,4.85,0.92,69.2,100.7,12
"ID113",140,41,0.734,8.18,3.66,0.92,51.6,90.8,44
"ID1130",141,99,0.799,5.49,3.85,0.92,66.1,96.6,6
"ID1131",142,66,0.857,2.52,3.61,0.92,77.3,91.7,10
"ID1132",143,84,0.84,2.94,4.72,0.92,71.4,88.4,10
"ID1134",144,78,0.882,2.11,3.12,0.92,80.9,91.1,4
"ID1135",145,92,0.864,2.47,3.7,0.92,86.4,101.2,9
"ID1136",146,65,0.884,2.49,3.13,0.92,66.3,76.2,4
"ID1137",147,64,0.85,6.98,2.73,0.92,69.9,97.3,6
"ID1138",148,61,0.806,5.28,3.97,0.92,71,101.7,6
"ID1139",149,68,0.867,2.21,2.75,0.92,62.8,72.2,6
"ID114",150,50,0.79,13.62,1.99,0.92,55.2,102.9,52
"ID1140",151,59,0.835,3.85,3.46,0.92,61.6,79.6,2
"ID1141",152,71,0.851,3.68,3.53,0.92,77.6,98.5,5
"ID1142",153,77,0.823,4.11,2.72,0.92,73.7,97.2,3
"ID1144",154,81,0.857,2.27,3.38,0.92,75.7,88.3,12
"ID1146",155,80,0.857,3.53,4.39,0.92,86,107.4,6
"ID1147",156,94,0.859,2.23,3.47,0.92,82.1,95.2,11
"ID1148",157,68,0.861,2.55,3.27,0.92,67.4,79.6,6
"ID1149",158,66,0.849,3.38,4.14,0.92,66.1,82.8,5
"ID115",159,56,0.811,13.84,1.84,0.92,53.7,87.4,4
"ID1151",160,59,0.867,2.21,2.75,0.92,62.8,72.2,6
"ID1152",161,71,0.841,3.97,4.25,0.92,67.7,87.8,5
"ID1153",162,54,0.797,4.83,4.05,0.92,58.7,83.2,7
"ID1154",163,41,0.766,4.05,3.12,0.92,60.9,87.3,58
"ID1155",164,56,0.728,5.21,3.91,0.92,61.9,98.2,73
"ID1156",165,81,0.8,3.13,4.16,0.92,70.4,91.7,59
"ID1157",166,70,0.881,2.75,3.18,0.92,78.4,91.8,4
"ID1158",167,88,0.849,3.3,4.03,0.92,76.7,95.7,5
"ID1159",168,77,0.881,1.89,3.73,0.92,78.1,86.7,5
"ID116",169,36,0.703,11.44,3.57,0.92,43.5,79.1,2
"ID1160",170,83,0.86,2.32,4.82,0.92,76.9,89.7,8
"ID1161",171,79,0.857,2.27,3.38,0.92,75.7,88.3,12
"ID1162",172,79,0.897,1.89,3.27,0.92,79.9,87.4,4
"ID1163",173,82,0.849,2.69,3.89,0.92,81.7,98.5,9
"ID1164",174,80,0.877,2.18,3.16,0.92,82.2,93.5,4
"ID1165",175,78,0.809,3.49,4.57,0.92,82.8,109.3,16
"ID1166",176,88,0.814,3.68,4.66,0.92,79.9,105.8,17
"ID1167",177,68,0.834,4.14,4.03,0.92,71.7,94.2,4
"ID1168",178,64,0.798,3.96,4.23,0.92,60.1,82.2,41
"ID1169",179,67,0.808,8.76,3.02,0.92,60.8,90.4,8
"ID117",180,52,0.713,6.76,3.58,0.92,46.4,78.6,6
"ID1170",181,74,0.826,3.62,3.06,0.92,76.4,99,4
"ID1171",182,60,0.763,4.32,4.07,0.92,62.7,90.7,8
"ID1172",183,46,0.74,4.57,4.75,0.92,63.6,96.5,72
"ID1173",184,78,0.894,1.47,2.54,0.92,74.9,79.7,5
"ID1174",185,76,0.842,3.05,5.07,0.92,67.9,84.2,8
"ID1175",186,61,0.85,3.67,4.11,0.92,70.7,89.2,3
"ID1176",187,62,0.871,4.44,3.72,0.92,68.6,87.2,5
"ID1177",188,76,0.858,4.14,4.04,0.92,79.2,100.8,5
"ID1179",189,42,0.782,4.28,3.94,0.92,63.1,89.8,60
"ID118",190,52,0.799,4.1,3.92,0.92,71.3,98.3,10
"ID1180",191,60,0.845,4.9,4.11,0.92,64.6,85.7,5
"ID1182",192,53,0.818,7.47,3.48,0.92,53.9,79.3,6
"ID1183",193,62,0.801,3.66,3.75,0.92,60.7,81.6,54
"ID1184",194,83,0.862,2.16,2.48,0.92,78.8,90.7,6
"ID1185",195,74,0.843,2.91,3.35,0.92,69.1,84.7,5
"ID1186",196,81,0.835,3.63,4.51,0.92,72.8,93.7,4
"ID1187",197,68,0.857,3.62,3.51,0.92,72,90.1,3
"ID1188",198,84,0.867,4.76,2.66,0.92,82.1,104.7,8
"ID1189",199,72,0.859,4.06,3.42,0.92,73.5,93.9,6
"ID119",200,65,0.861,2.81,2.85,0.92,63.6,76,3
"ID1190",201,93,0.847,2.01,2.57,0.92,83,95.8,44
"ID1191",202,117,0.81,2.44,3.81,0.92,88.8,109.5,68
"ID1192",203,66,0.799,4.61,3.18,0.92,57.7,80.5,3
"ID1194",204,58,0.78,4.08,3.64,0.92,63.9,89.8,20
"ID1195",205,54,0.817,4.96,3.56,0.92,64.8,90.9,9
"ID1196",206,69,0.737,5.13,4.3,0.92,62.9,95.4,6
"ID1197",207,58,0.755,7.29,4.06,0.92,59.9,96.5,5
"ID1198",208,68,0.818,3.98,3.14,0.92,66.7,88.5,4
"ID1199",209,71,0.854,2.53,3.55,0.92,75.1,89.3,8
"ID120",210,63,0.826,3.3,3.94,0.92,62.1,79.2,6
"ID1200",211,76,0.852,2.43,3.41,0.92,75.6,89.4,11
"ID1201",212,78,0.887,1.7,2.2,0.92,76.4,83.3,4
"ID1203",213,79,0.833,3.26,3.68,0.92,80.1,101.7,10
"ID1204",214,67,0.914,26.76,1.9,0.92,69.9,106.3,49
"ID1205",215,105,0.869,1.91,2.7,0.92,95.9,107.9,12
"ID1206",216,78,0.869,3.52,3.17,0.92,76.6,93.9,5
"ID1207",217,84,0.758,4.1,4.63,0.92,59.3,85.6,72
"ID1208",218,47,0.783,3.3,3.59,0.92,63.4,85.2,72
"ID1209",219,62,0.845,4.9,4.11,0.92,64.6,85.7,5
"ID121",220,45,0.713,7.23,3.02,0.92,50.6,85.9,6
"ID1210",221,77,0.848,2.17,3.35,0.92,73.9,86.2,36
"ID1211",222,81,0.878,1.87,3.91,0.92,76.4,84.9,9
"ID1212",223,61,0.833,3.43,4.04,0.92,58.7,74.9,6
"ID1213",224,64,0.865,4.2,2.16,0.92,67.7,85.7,4
"ID1214",225,79,0.855,3.57,3.83,0.92,77.2,96.6,4
"ID1215",226,80,0.86,2.41,2.78,0.92,75.3,88.2,4
"ID1217",227,79,0.855,2.74,4.4,0.92,82.3,99,6
"ID1218",228,65,0.869,2.51,3.12,0.92,73.5,86.1,2
"ID1219",229,76,0.843,4.97,2.84,0.92,76.7,101.9,5
"ID122",230,76,0.836,2.57,2.25,0.92,66.5,80.8,66
"ID1220",231,46,0.793,4.62,3.29,0.92,55,78.1,8
"ID1221",232,60,0.805,2.88,2.57,0.92,53.5,68.1,15
"ID1222",233,96,0.825,2.06,2.8,0.92,80,94.5,75
"ID1223",234,56,0.775,6.97,3.61,0.92,61.7,95,3
"ID1224",235,79,0.81,2.97,3.64,0.92,68.1,86.7,6
