"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",1985,0.708,0.042,577,577,577,628,455
"Alauda arvensis",1985,1.774,0.463,627,627,626.1,628,491
"Hippolais icterina",1985,0.757,0.047,586,586,586,628,491
"Hirundo rustica",1985,1.919,0.649,628,628,626.7,628,491
"Ixobrychus minutus",1985,0.664,0.086,61,61,61,628,0
"Jynx torquilla",1985,0.581,0.031,409,409,409,628,0
"Lanius collurio",1985,1.305,0.153,621,621,620.9,628,491
"Lanius excubitor",1985,0.645,0.037,430,430,430,628,56
"Lanius minor",1985,12.347,5.264,6,6,6,86,0
"Lanius senator",1985,1.391,0.535,7,7,7,262,0
"Larus cachinnans",1985,0.621,0.284,5,5,5,129,0
"Larus canus",1985,0.485,0.157,10,10,10,156,0
"Alcedo atthis",1985,0.532,0.029,398,398,398,628,0
"Larus melanocephalus",1985,0.99,0.502,4,4,4,194,0
"Larus ridibundus",1985,0.545,0.032,332,332,332,628,1
"Limosa limosa",1985,1.012,0.158,44,44,44,583,0
"Locustella fluviatilis",1985,0.538,0.029,450,450,450,628,72
"Locustella luscinioides",1985,0.734,0.076,97,97,97,628,0
"Locustella naevia",1985,0.554,0.029,498,498,498,628,91
"Loxia curvirostra",1985,0.49,0.027,402,402,402,628,32
"Lullula arborea",1985,0.465,0.037,164,164,164,628,0
"Luscinia luscinia",1985,0.995,0.382,7,7,7,173,0
"Luscinia megarhynchos",1985,0.49,0.033,254,254,254,628,2
"Anas acuta",1985,0.752,0.24,10,10,10,454,0
"Luscinia svecica",1985,0.668,0.102,44,44,44,611,0
"Mergus merganser",1985,0.539,0.223,6,6,6,336,0
"Merops apiaster",1985,2.905,0.791,14,14,14,264,0
"Miliaria calandra",1985,0.355,0.031,137,137,137,628,0
"Milvus migrans",1985,0.995,0.112,81,81,81,628,0
"Milvus milvus",1985,0.662,0.067,104,104,104,601,0
"Motacilla alba",1985,1.656,0.347,626,626,625.4,628,491
"Motacilla cinerea",1985,0.641,0.036,560,560,560,628,436
"Motacilla flava",1985,0.491,0.036,201,201,201,628,0
"Muscicapa striata",1985,0.64,0.036,555,555,555,628,358
"Anas clypeata",1985,0.581,0.051,134,134,134,628,0
"Netta rufina",1985,1.916,0.379,27,27,27,345,0
"Nucifraga caryocatactes",1985,0.466,0.028,316,316,316,628,12
"Numenius arquata",1985,1.484,0.329,21,21,21,331,0
"Nycticorax nycticorax",1985,2.849,0.593,24,24,24,361,0
"Oenanthe oenanthe",1985,0.512,0.037,197,197,197,628,0
"Oriolus oriolus",1985,0.583,0.032,431,431,431,628,37
"Otis tarda",1985,NA,NA,2,2,NA,0,0
"Otus scops",1985,NA,NA,2,2,NA,0,0
"Panurus biarmicus",1985,0.649,0.116,32,32,32,555,0
"Parus ater",1985,0.748,0.046,583,583,583,628,453
"Anas crecca",1985,0.528,0.035,240,240,240,628,0
"Parus caeruleus",1985,1.479,0.227,624,624,623.8,628,491
"Parus cristatus",1985,0.586,0.032,535,535,535,628,295
"Parus major",1985,1.774,0.463,627,627,626.1,628,491
"Parus montanus",1985,0.511,0.028,425,425,425,628,0
"Parus palustris",1985,0.615,0.034,555,555,555,628,393
"Passer domesticus",1985,1.656,0.347,626,626,625.4,628,491
"Passer montanus",1985,0.938,0.069,605,605,605,628,482
"Perdix perdix",1985,0.62,0.034,530,530,530,628,213
"Pernis apivorus",1985,0.616,0.036,333,333,333,628,0
"Phalacrocorax carbo",1985,1.146,0.199,34,34,34,549,0
"Anas platyrhynchos",1985,0.834,0.055,595,595,595,628,459
"Phasianus colchicus",1985,0.746,0.046,584,584,584,628,480
