"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4952,1,94,0.882,0.19,4.72,0.74,97.5,62.5,8
5052,2,107,0.873,0.18,5.4,0.74,97.9,61.5,9
5053,3,95,0.889,0.19,4.6,0.74,98.6,63.7,6
5056,4,87,0.852,0.27,4,0.74,90.3,60.6,6
5057,5,98,0.83,0.34,4.58,0.74,88.1,62.4,8
5151,6,79,0.869,0.18,4.87,0.74,98.4,62.3,10
5152,7,113,0.869,0.18,5.45,0.74,98.4,62,8
5153,8,108,0.872,0.18,5.39,0.74,99.4,62.5,7
5154,9,71,0.871,0.21,4.21,0.74,98.5,63.7,5
5155,10,106,0.837,0.24,3.92,0.74,89.8,58.4,5
5156,11,78,0.837,0.3,4.54,0.74,89.2,61.4,7
5157,12,66,0.829,0.33,4.59,0.74,87.8,62,8
5158,13,75,0.82,0.26,4.37,0.74,83.9,55.1,10
5248,14,59,0.837,0.17,3.78,0.74,79.5,49.3,11
5249,15,83,0.836,0.16,4.21,0.74,78.1,47.9,13
5250,16,98,0.841,0.17,4.62,0.74,83,50.9,10
5251,17,89,0.86,0.17,3.76,0.74,94.2,59.1,12
5252,18,107,0.863,0.18,4.42,0.74,99.3,62.9,10
5253,19,85,0.87,0.2,4.31,0.74,102,64.9,6
5254,20,126,0.85,0.19,3.64,0.74,93.9,59.2,6
5255,21,59,0.827,0.26,3.64,0.74,86.8,57.4,6
5256,22,77,0.824,0.32,4.3,0.74,88.4,61.9,8
5257,23,98,0.812,0.25,4.72,0.74,78.3,50.9,9
5258,24,85,0.839,0.2,4.54,0.74,78.2,49.5,6
5259,25,89,0.863,0.19,4.26,0.74,81.4,52.2,10
5260,26,88,0.88,0.19,4.23,0.74,84.5,54.8,10
5346,27,96,0.835,0.31,4.32,0.74,90.4,62.6,7
5347,28,103,0.823,0.23,4.83,0.74,88.7,57.2,6
5348,29,104,0.819,0.18,4.8,0.74,83.9,51.5,6
5349,30,118,0.831,0.17,3.91,0.74,81.7,50.5,10
5350,31,80,0.856,0.19,3.66,0.74,88.5,55.9,3
5351,32,78,0.861,0.19,4.3,0.74,93.9,59.7,7
5352,33,124,0.854,0.2,4.57,0.74,98.5,62.4,6
5353,34,126,0.863,0.23,4.57,0.74,102.5,66.9,3
5354,35,114,0.802,0.22,4.57,0.74,92.2,57.6,10
5355,36,63,0.805,0.33,4.57,0.74,94,65.9,14
5356,37,103,0.817,0.22,4.57,0.74,76,48.5,6
5357,38,97,0.846,0.23,4.57,0.74,80,52.4,5
5358,39,55,0.87,0.2,4.31,0.74,86.7,56,8
5359,40,112,0.874,0.21,4.08,0.74,85.4,55.7,6
5360,41,94,0.852,0.27,4.52,0.74,89.3,60.5,4
5361,42,116,0.844,0.38,4.55,0.74,93.9,69.5,3
5362,43,51,0.792,0.69,4.68,0.74,87.6,76.6,4
5363,44,62,0.735,1.05,4.59,0.74,73.4,74.8,4
5364,45,51,0.737,1.04,3.92,0.74,67.8,68.7,5
5445,46,66,0.805,0.4,4.07,0.74,82.7,61.6,8
5446,47,55,0.823,0.41,4.4,0.74,88.9,66.6,7
5447,48,122,0.853,0.32,3.82,0.74,94.8,66.8,5
5448,49,92,0.837,0.28,4.3,0.74,95.4,64.5,6
5449,50,101,0.829,0.24,4.57,0.74,96.1,62.1,7
5450,51,96,0.831,0.23,4.57,0.74,96.2,61.5,7
5451,52,58,0.83,0.17,4.57,0.74,88.6,54.2,9
5452,53,81,0.848,0.24,4.57,0.74,101.3,66.5,5
5453,54,98,0.888,0.23,4.57,0.74,112.6,75.8,7
5454,55,90,0.859,0.38,4.57,0.74,110.8,81.7,5
5455,56,124,0.783,0.31,4.57,0.74,87.3,59.2,73
5456,57,128,0.803,0.24,4.57,0.74,80.3,51.2,10
5457,58,124,0.868,0.26,4.57,0.74,93,62.5,4
5458,59,103,0.829,0.2,4.57,0.74,85.4,52.9,5
5459,60,114,0.81,0.21,4.57,0.74,84.5,52.6,7
