"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Carduelis carduelis",1985,4.188,0.898,618,618,617.4,628,27
"Carduelis chloris",1985,3.353,0.962,627,627,625.9,628,43
"Carduelis flammea",1985,4.898,0.416,248,248,248,493,9
"Carduelis spinus",1985,4.76,0.345,460,460,460,627,13
"Carpodacus erythrinus",1985,4.013,0.479,102,102,102,372,0
"Certhia brachydactyla",1985,4.706,0.325,407,407,407,627,0
"Certhia familiaris",1985,4.068,0.354,555,555,555,628,3
"Charadrius dubius",1985,5.082,0.336,361,361,361,627,0
"Charadrius morinellus",1985,2.936,2.268,2,2,2,25,0
"Acrocephalus schoenobaenus",1985,5.097,0.37,277,277,277,611,0
"Chlidonias niger",1985,5.412,0.718,66,66,66,373,0
"Ciconia ciconia",1985,5.709,0.424,429,429,429,623,10
"Ciconia nigra",1985,5.443,0.373,390,390,390,619,0
"Cinclus cinclus",1985,4.91,0.364,390,390,390,599,3
"Circus aeruginosus",1985,5.028,0.366,372,372,372,615,2
"Circus cyaneus",1985,5.619,0.489,173,173,173,524,0
"Circus pygargus",1985,5.383,0.831,46,46,46,283,0
"Coccothraustes coccothraustes",1985,4.586,0.404,546,546,546,628,0
"Columba livia",1985,4.454,0.316,490,490,490,628,4
"Columba oenas",1985,4.779,0.336,314,314,314,619,0
"Acrocephalus scirpaceus",1985,4.828,0.346,434,434,434,626,3
"Columba palumbus",1985,3.814,0.782,618,618,617.5,628,13
"Coracius garrulus",1985,8.126,2.16,17,17,17,91,0
"Corvus corax",1985,4.234,0.344,284,284,284,559,8
"Corvus corone",1985,4.412,0.475,591,591,591,628,6
"Corvus frugilegus",1985,4.441,0.595,85,85,85,326,0
"Corvus monedula",1985,4.919,0.339,400,400,400,627,1
"Coturnix coturnix",1985,5.221,0.359,434,434,434,626,1
"Crex crex",1985,5.113,0.408,200,200,200,595,0
"Cuculus canorus",1985,3.237,0.536,619,619,618.7,628,18
"Cygnus olor",1985,4.447,0.352,450,450,450,625,0
"Actitis hypoleucos",1985,5.252,0.385,258,258,258,608,0
"Delichon urbica",1985,3.783,1.492,627,627,625.4,628,44
"Dendrocopos leucotos",1985,10.553,2.207,37,37,37,118,0
"Dendrocopos major",1985,3.882,0.993,622,622,621.2,628,41
"Dendrocopos medius",1985,6.181,0.532,178,178,178,522,0
"Dendrocopos minor",1985,4.95,0.332,453,453,453,628,0
"Dendrocopos syriacus",1985,5.47,1.132,33,33,33,125,0
"Dryocopus martius",1985,4.19,0.405,575,575,575,628,3
"Egretta garzetta",1985,NA,NA,1,1,NA,0,0
"Emberiza citrinella",1985,3.568,1.307,628,628,626.5,628,45
"Emberiza hortulana",1985,4.558,0.717,48,48,48,295,0
"Aegithalos caudatus",1985,4.269,0.396,570,570,570,628,0
"Emberiza schoeniclus",1985,4.667,0.338,462,462,462,628,0
"Erithacus rubecula",1985,4,1.183,623,623,621.9,628,30
"Falco cherrug",1985,41.901,19.227,13,13,13,31,0
"Falco peregrinus",1985,3.806,0.85,24,24,24,151,0
"Falco subbuteo",1985,5.699,0.446,216,216,216,565,0
"Falco tinnunculus",1985,3.314,0.509,615,615,614.8,628,27
"Falco vespertinus",1985,8.928,5.873,3,3,3,22,0
"Ficedula albicollis",1985,5.856,0.452,301,301,301,597,0
"Ficedula hypoleuca",1985,4.476,0.316,326,326,326,626,0
"Ficedula parva",1985,4.882,0.448,148,148,148,537,0
"Aegolius funereus",1985,4.627,0.453,146,146,146,450,0
"Fringilla coelebs",1985,3.345,0.958,627,627,625.9,628,38
"Fulica atra",1985,4.759,0.426,501,501,501,625,1
"Galerida cristata",1985,4.794,0.337,279,279,279,625,0
"Gallinago gallinago",1985,4.692,0.334,307,307,307,614,0
"Gallinula chloropus",1985,5.094,0.36,416,416,416,622,0
"Garrulus glandarius",1985,3.197,0.469,615,615,614.9,628,6
"Glaucidium passerinum",1985,6.676,0.725,127,127,127,324,0
"Grus grus",1985,5.428,2.368,7,7,7,43,0
"Haliaeetus albicilla",1985,7.371,2.075,17,17,17,85,0
"Himantopus himantopus",1985,6.592,3.692,4,4,4,31,0
