"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",1985,4.494,0.416,577,577,577,628,1
"Alauda arvensis",1985,3.796,1.456,627,627,625.4,628,44
"Hippolais icterina",1985,3.858,0.409,586,586,586,628,10
"Hirundo rustica",1985,3.568,1.307,628,628,626.5,628,45
"Ixobrychus minutus",1985,5.814,0.787,61,61,61,329,0
"Jynx torquilla",1985,5.393,0.382,409,409,409,626,1
"Lanius collurio",1985,3.921,1.017,621,621,620.2,628,38
"Lanius excubitor",1985,5.888,0.455,430,430,430,621,2
"Lanius minor",1985,17.573,9.627,6,6,6,24,0
"Lanius senator",1985,6.404,2.618,7,7,7,57,0
"Larus cachinnans",1985,2.814,1.437,5,5,5,31,0
"Larus canus",1985,3.195,1.179,10,10,10,55,0
"Alcedo atthis",1985,5.345,0.355,398,398,398,628,0
"Larus melanocephalus",1985,6.631,3.614,4,4,4,33,0
"Larus ridibundus",1985,5.276,0.39,332,332,332,614,0
"Limosa limosa",1985,4.87,0.834,44,44,44,199,0
"Locustella fluviatilis",1985,5.08,0.364,450,450,450,624,0
"Locustella luscinioides",1985,5.71,0.643,97,97,97,384,0
"Locustella naevia",1985,5.064,0.367,498,498,498,628,2
"Loxia curvirostra",1985,4.985,0.344,402,402,402,623,0
"Lullula arborea",1985,4.741,0.404,164,164,164,572,0
"Luscinia luscinia",1985,5.718,2.294,7,7,7,65,0
"Luscinia megarhynchos",1985,4.92,0.405,254,254,254,567,1
"Anas acuta",1985,5.245,1.779,10,10,10,88,0
"Luscinia svecica",1985,5.258,0.881,44,44,44,224,0
"Mergus merganser",1985,4.945,2.272,6,6,6,55,0
"Merops apiaster",1985,7.723,2.27,14,14,14,87,0
"Miliaria calandra",1985,5.135,0.51,137,137,137,446,0
"Milvus migrans",1985,7.229,0.872,81,81,81,364,0
"Milvus milvus",1985,7.014,0.819,104,104,104,335,0
"Motacilla alba",1985,3.559,1.064,626,626,624.9,628,32
"Motacilla cinerea",1985,3.937,0.417,560,560,560,628,16
"Motacilla flava",1985,5.238,0.428,201,201,201,589,1
"Muscicapa striata",1985,4.767,0.417,555,555,555,628,4
"Anas clypeata",1985,5.41,0.54,134,134,134,483,0
"Netta rufina",1985,6.741,1.53,27,27,27,120,0
"Nucifraga caryocatactes",1985,4.988,0.379,316,316,316,558,0
"Numenius arquata",1985,9.485,2.282,21,21,21,109,0
"Nycticorax nycticorax",1985,7.784,1.855,24,24,24,115,0
"Oenanthe oenanthe",1985,4.904,0.388,197,197,197,599,0
"Oriolus oriolus",1985,5.407,0.418,431,431,431,624,1
"Otis tarda",1985,24.975,29.985,2,2,2,8,0
"Otus scops",1985,4.442,3.519,2,2,2,20,0
"Panurus biarmicus",1985,6.402,1.228,32,32,32,179,0
"Parus ater",1985,3.835,0.443,583,583,583,628,19
"Anas crecca",1985,5.031,0.385,240,240,240,600,0
"Parus caeruleus",1985,3.246,0.663,624,624,623.4,628,21
"Parus cristatus",1985,3.882,0.337,535,535,535,628,2
"Parus major",1985,3.448,1.023,627,627,625.8,628,32
"Parus montanus",1985,4.96,0.346,425,425,425,624,0
"Parus palustris",1985,4.378,0.369,555,555,555,628,6
"Passer domesticus",1985,3.662,1.156,626,626,624.8,628,29
"Passer montanus",1985,3.77,0.528,605,605,604.9,628,13
"Perdix perdix",1985,4.667,0.433,530,530,530,628,10
"Pernis apivorus",1985,5.509,0.374,333,333,333,618,0
"Phalacrocorax carbo",1985,7.353,1.428,34,34,34,167,0
"Anas platyrhynchos",1985,4.321,0.554,595,595,595,628,21
"Phasianus colchicus",1985,4.057,0.479,584,584,584,628,13
"Phoenicurus ochruros",1985,3.568,1.307,628,628,626.5,628,45
"Phoenicurus phoenicurus",1985,3.594,0.321,564,564,564,628,2
"Phylloscopus collybita",1985,4.087,1.458,624,624,622.6,628,44
"Phylloscopus sibilatrix",1985,4.75,0.413,557,557,557,628,1
"Phylloscopus trochiloides",1985,5.105,2.003,8,8,8,58,0
"Phylloscopus trochilus",1985,3.866,0.746,616,616,615.6,628,32
"Pica pica",1985,4.864,0.546,589,589,589,628,18
"Picoides tridactylus",1985,22.786,5.568,38,38,38,91,0
"Picus canus",1985,5.227,0.345,428,428,428,628,0
"Anas querquedula",1985,5.39,0.437,188,188,188,582,0
"Picus viridis",1985,4.28,0.375,564,564,564,628,0
"Platalea leucorodia",1985,7.648,4.992,3,3,3,24,0
"Podiceps cristatus",1985,5.385,0.396,375,375,375,617,0
"Podiceps grisegena",1985,4.188,0.965,21,21,21,172,0
"Podiceps nigricollis",1985,5.133,0.419,219,219,219,570,0
"Porzana parva",1985,7.083,2.798,8,8,8,53,0
"Porzana porzana",1985,6.069,0.855,58,58,58,307,0
"Prunella collaris",1985,3.177,1.548,5,5,5,46,0
"Prunella modularis",1985,4.517,0.589,603,603,603,628,4
"Pyrrhula pyrrhula",1985,4.012,0.404,562,562,562,628,25
"Anas strepera",1985,5.386,0.472,198,198,198,558,0
"Rallus aquaticus",1985,5.363,0.437,199,199,199,573,0
"Recurvirostra avosetta",1985,11.756,10.531,2,2,2,14,0
"Regulus ignicapillus",1985,5.109,0.348,376,376,376,613,0
"Regulus regulus",1985,4.064,0.413,575,575,575,628,2
"Remiz pendulinus",1985,4.913,0.363,295,295,295,614,0
"Riparia riparia",1985,4.971,0.399,246,246,246,560,0
"Saxicola rubetra",1985,4.754,0.402,543,543,543,628,7
"Saxicola torquata",1985,5.619,0.501,227,227,227,518,0
"Scolopax rusticola",1985,4.918,0.345,282,282,282,616,0
"Serinus serinus",1985,4.813,1.671,623,623,621.6,628,45
"Anser anser",1985,6.904,1.16,48,48,48,195,0
"Sitta europaea",1985,3.452,0.767,622,622,621.4,628,13
"Sterna hirundo",1985,5.675,0.826,69,69,69,257,0
"Streptopelia decaocto",1985,4.769,0.962,614,614,613.5,628,23
"Streptopelia turtur",1985,4.359,0.592,598,598,597.9,628,17
"Strix aluco",1985,4.474,0.379,550,550,550,628,0
"Strix uralensis",1985,77.807,81.346,4,4,4,11,0
"Sturnus vulgaris",1985,3.26,0.784,625,625,624.2,628,42
"Sylvia atricapilla",1985,3.395,0.991,627,627,625.9,628,35
"Sylvia borin",1985,4.245,0.402,573,573,573,628,4
"Sylvia communis",1985,3.833,0.741,614,614,613.6,628,31
"Anthus campestris",1985,5.327,1.386,20,20,20,115,0
"Sylvia curruca",1985,3.169,0.509,616,616,615.8,628,20
"Sylvia nisoria",1985,4.842,0.41,186,186,186,518,0
"Tachybaptus ruficollis",1985,4.988,0.362,431,431,431,625,0
"Tetrao tetrix",1985,4.525,0.599,95,95,95,303,0
"Tetrao urogallus",1985,6.334,1.263,42,42,42,156,0
"Tringa ochropus",1985,6.343,1.119,40,40,40,217,0
"Tringa totanus",1985,5.845,0.816,72,72,72,311,0
"Troglodytes troglodytes",1985,3.84,0.831,619,619,618.4,628,21
"Turdus iliacus",1985,4.641,1.087,24,24,24,163,0
"Turdus merula",1985,3.568,1.307,628,628,626.5,628,45
"Accipiter nisus",1985,4.297,0.381,572,572,572,628,0
"Anthus pratensis",1985,4.727,0.357,323,323,323,592,11
"Turdus philomelos",1985,3.578,1.086,626,626,624.9,628,32
"Turdus pilaris",1985,4.44,0.467,580,580,580,628,24
"Turdus torquatus",1985,6.315,0.998,72,72,72,205,0
"Turdus viscivorus",1985,4.711,0.379,523,523,523,628,1
"Tyto alba",1985,4.926,0.325,313,313,313,621,0
"Upupa epops",1985,6.426,0.715,97,97,97,400,0
"Vanellus vanellus",1985,4.501,0.434,563,563,563,628,7
"Anthus spinoletta",1985,3.915,1.178,14,14,14,70,0
"Anthus trivialis",1985,5.366,0.835,609,609,608.8,628,23
"Apus apus",1985,4.714,0.623,604,604,603.9,628,31
"Aquila pomarina",1985,4.243,1.269,14,14,14,92,0
"Ardea cinerea",1985,5.573,0.398,251,251,251,597,0
"Ardea purpurea",1985,7.811,2.985,10,10,10,50,0
"Asio flammeus",1985,8.222,4.022,5,5,5,42,0
"Asio otus",1985,4.799,0.344,498,498,498,628,0
"Athene noctua",1985,5.18,0.345,428,428,428,628,0
"Acrocephalus arundinaceus",1985,4.912,0.37,238,238,238,605,0
"Aythya ferina",1985,5.327,0.396,388,388,388,622,0
"Aythya fuligula",1985,4.973,0.388,441,441,441,628,0
"Aythya nyroca",1985,5.394,1.338,18,18,18,148,0
"Bonasa bonasia",1985,11.278,1.755,68,68,68,181,0
"Botaurus stellaris",1985,5.416,0.859,46,46,46,263,0
"Bubo bubo",1985,4.846,0.345,393,393,393,614,0
"Bucephala clangula",1985,6.123,1.734,22,22,22,94,0
"Burhinus oedicnemus",1985,7.823,6.74,2,2,2,15,0
"Buteo buteo",1985,4.395,2.41,627,627,624.7,628,39
"Caprimulgus europaeus",1985,5.23,0.464,145,145,145,563,0
"Acrocephalus palustris",1985,4.548,0.366,542,542,542,628,0
"Carduelis cannabina",1985,4.703,0.471,578,578,578,628,16
