"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4951,1,85,0.85,4.01,5.36,0.94,85.5,108.5,9
4952,2,86,0.835,3.93,4.92,0.94,83.4,107.1,12
4953,3,83,0.766,4.31,4.75,0.94,75.1,105,29
4955,4,12,0.624,21.16,4.3,0.94,57,119.3,4
4956,5,67,0.596,11.73,4.53,0.94,54.2,115.5,80
5051,6,77,0.853,4,4.87,0.94,86.1,108.8,8
5052,7,97,0.85,3.87,5.46,0.94,86.8,109.5,11
5053,8,107,0.832,4.06,4.42,0.94,84.1,108.7,10
5055,9,39,0.576,13,4.13,0.94,51.9,117.2,83
5056,10,115,0.604,11.78,4.09,0.94,54,115,86
5057,11,99,0.715,6,4.87,0.94,73.9,117.1,74
5149,12,68,0.858,6.77,4.23,0.94,79,106.6,5
5150,13,82,0.846,5.82,4.85,0.94,80.8,108,3
5151,14,106,0.857,3.72,3.95,0.94,84.5,105.2,10
5152,15,104,0.853,4.3,4.93,0.94,89.4,113.7,5
5153,16,114,0.881,3.1,4.11,0.94,93.9,110.8,5
5154,17,80,0.711,3.93,3.95,0.94,74.7,109.6,72
5155,18,109,0.563,9.72,3.78,0.94,51.3,116.5,69
5156,19,104,0.723,4.94,5.07,0.94,78.9,119.9,61
5157,20,96,0.83,4.28,4.87,0.94,95.1,123.4,5
5158,21,67,0.848,5.48,4.35,0.94,97.3,128.5,4
5247,22,80,0.879,5.19,4.32,0.94,78,98.4,5
5248,23,75,0.873,5.59,4.83,0.94,78.4,101.4,4
5249,24,88,0.884,16.46,3.97,0.94,77.4,111.7,8
5250,25,107,0.873,6.89,3.82,0.94,81.4,107.5,4
5251,26,115,0.88,3.38,4.3,0.94,91.8,109.7,4
5252,27,115,0.897,3.42,4.57,0.94,101.6,118.8,3
5253,28,91,0.882,2.81,4.31,0.94,104,121.3,13
5254,29,105,0.828,4.41,4.04,0.94,96.6,127.2,17
5255,30,104,0.788,5.44,4.3,0.94,86.4,123.1,10
5256,31,105,0.84,3.5,4.57,0.94,101.5,127.1,10
5257,32,100,0.851,4.74,4.43,0.94,98.4,127.2,5
5258,33,94,0.827,6.93,4.54,0.94,89.2,124.9,3
5259,34,72,0.825,6.55,3.97,0.94,80.6,114.2,4
5260,35,72,0.81,5.31,4.76,0.94,74.6,104.2,23
5261,36,45,0.811,22.5,3.71,0.94,67.5,113.8,6
5346,37,66,0.853,14.43,4.08,0.94,82.4,124.8,5
5347,38,97,0.857,20.02,4.39,0.94,81.7,129.7,7
5348,39,131,0.883,5.49,3.82,0.94,79.5,100,6
5349,40,116,0.879,6.17,4.3,0.94,82.7,106.9,4
5350,41,105,0.876,4.7,4.57,0.94,92.7,115.8,4
5351,42,92,0.905,3.12,4.57,0.94,107,123,4
5352,43,106,0.893,2.93,4.57,0.94,109.3,126.5,2
5353,44,124,0.881,2.65,4.57,0.94,105.6,122.2,11
5354,45,124,0.851,5.42,4.57,0.94,95.8,127.1,2
5355,46,109,0.873,3.52,4.57,0.94,103.5,125.6,11
5356,47,103,0.889,4.11,4.57,0.94,104,126.3,5
5357,48,106,0.875,3.51,4.57,0.94,98.9,119.5,6
5358,49,88,0.846,3.5,4.31,0.94,88.6,110.2,4
5359,50,106,0.834,4.09,3.64,0.94,80.7,104.8,8
5360,51,86,0.801,12.27,4.16,0.94,72,116.2,9
5361,52,75,0.778,12,4.13,0.94,67.9,115.9,5
5362,53,84,0.773,11.21,4.56,0.94,69.1,115.9,6
5363,54,102,0.812,5.22,4.86,0.94,79,108.6,6
5364,55,91,0.851,3.79,5,0.94,88.4,110.3,5
5444,56,47,0.819,6.57,3.67,0.94,67.2,95.9,7
5445,57,82,0.808,36.97,4.7,0.94,72.2,145.4,11
5446,58,90,0.848,54.72,3.76,0.94,78.4,140.4,7
5447,59,139,0.841,8.67,4.24,0.94,86.9,126.4,9
5448,60,123,0.83,4.7,4.57,0.94,99.6,132.6,14
5449,61,100,0.835,2.91,4.57,0.94,109,134.1,90
5450,62,109,0.856,3.37,4.57,0.94,106.7,130.9,17
5451,63,118,0.899,3.89,4.57,0.94,105,124.5,5
5452,64,78,0.877,5.3,4.57,0.94,105.7,133.4,5
5453,65,109,0.868,3.77,4.57,0.94,109,133.8,7
5454,66,107,0.881,2.65,4.57,0.94,114.2,132.4,10
5455,67,94,0.895,2.46,4.57,0.94,111.3,126,6
5456,68,135,0.893,2.81,4.57,0.94,105.6,121.9,6
5457,69,120,0.897,2.89,4.57,0.94,101.4,116.8,3
5458,70,84,0.879,5.18,4.57,0.94,97,122.2,4
5459,71,85,0.83,4.32,4.57,0.94,88.2,116.1,18
5460,72,94,0.818,4.22,4.57,0.94,84.6,112.9,84
5461,73,110,0.812,7.16,4.31,0.94,74.6,106.6,4
5462,74,104,0.836,5.5,3.64,0.94,79.6,106.6,4
5463,75,114,0.875,3.76,4.42,0.94,93.2,113.2,3
5464,76,97,0.897,2.58,4.19,0.94,96.3,109.4,4
5541,77,3,0.543,158.27,3.14,0.94,39.5,101.4,13
5542,78,59,0.579,10.79,4.25,0.94,46.4,93.5,5
5543,79,78,0.694,28.7,5.18,0.94,58.9,120.3,4
