"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",2001,0.68,0.039,563,563,563,628,401
"Aegolius funereus",2001,0.392,0.029,234,234,234,496,113
"Grus grus",2001,0.255,0.042,40,40,40,233,6
"Haliaeetus albicilla",2001,0.383,0.045,83,83,83,371,8
"Himantopus himantopus",2001,0.354,0.17,5,5,5,42,0
"Hippolais icterina",2001,0.871,0.059,590,590,590,628,418
"Hirundo rustica",2001,1.938,0.57,627,627,625.9,628,448
"Ixobrychus minutus",2001,0.408,0.053,66,66,66,303,3
"Jynx torquilla",2001,0.474,0.027,432,432,432,627,225
"Lanius collurio",2001,1.697,0.336,625,625,624.5,628,445
"Lanius excubitor",2001,0.482,0.027,442,442,442,628,228
"Larus cachinnans",2001,0.327,0.184,4,4,4,33,0
"Alauda arvensis",2001,1.697,0.336,625,625,624.5,628,448
"Larus canus",2001,0.325,0.086,18,18,18,87,4
"Larus melanocephalus",2001,0.346,0.097,14,14,14,125,0
"Larus ridibundus",2001,0.4,0.026,287,287,287,600,105
"Limosa limosa",2001,0.323,0.07,24,24,24,147,1
"Locustella fluviatilis",2001,0.582,0.032,527,527,527,628,360
"Locustella luscinioides",2001,0.381,0.032,164,164,164,529,23
"Locustella naevia",2001,0.652,0.037,552,552,552,628,381
"Loxia curvirostra",2001,0.495,0.028,454,454,454,627,268
"Lullula arborea",2001,0.372,0.029,195,195,195,564,42
"Luscinia luscinia",2001,0.345,0.105,12,12,12,103,0
"Alcedo atthis",2001,0.541,0.03,505,505,505,628,318
"Luscinia megarhynchos",2001,0.446,0.029,316,316,316,577,151
"Luscinia svecica",2001,0.437,0.043,124,124,124,421,17
"Mergus albellus",2001,0.295,0.335,1,1,1,11,0
"Mergus merganser",2001,0.319,0.083,17,17,17,110,2
"Merops apiaster",2001,0.416,0.094,26,26,26,82,7
"Miliaria calandra",2001,0.412,0.028,280,280,280,574,109
"Milvus migrans",2001,0.393,0.039,112,112,112,488,7
"Milvus milvus",2001,0.364,0.03,178,178,178,533,51
"Motacilla alba",2001,2.098,0.789,628,628,626.5,628,448
"Motacilla cinerea",2001,0.903,0.063,591,591,591,627,422
"Anas acuta",2001,0.345,0.115,10,10,10,87,0
"Motacilla citreola",2001,0.225,0.106,5,5,5,56,0
"Motacilla flava",2001,0.364,0.027,217,217,217,606,51
"Muscicapa striata",2001,0.793,0.05,582,582,582,628,410
"Netta rufina",2001,0.486,0.069,59,59,59,241,2
"Nucifraga caryocatactes",2001,0.443,0.028,339,339,339,567,218
"Numenius arquata",2001,0.435,0.117,16,16,16,112,0
