"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Nycticorax nycticorax",2001,0.419,0.065,52,52,52,183,9
"Oenanthe oenanthe",2001,0.316,0.03,127,127,127,526,26
"Oriolus oriolus",2001,0.524,0.03,458,458,458,625,280
"Otus scops",2001,0.595,0.346,4,4,4,22,0
"Anas clypeata",2001,0.362,0.035,123,123,123,478,16
"Pandion haliaetus",2001,0.362,0.071,29,29,29,201,0
"Panurus biarmicus",2001,0.411,0.07,39,39,39,198,1
"Parus ater",2001,0.888,0.061,594,594,594,628,431
"Parus caeruleus",2001,1.938,0.57,627,627,625.9,628,448
"Parus cristatus",2001,0.632,0.036,533,533,533,627,374
"Parus major",2001,2.098,0.789,628,628,626.5,628,448
"Parus montanus",2001,0.536,0.03,492,492,492,626,317
"Parus palustris",2001,0.766,0.047,579,579,579,628,408
"Passer domesticus",2001,1.604,0.274,624,624,623.7,628,447
"Passer montanus",2001,0.857,0.058,592,592,592,628,432
"Anas crecca",2001,0.395,0.03,200,200,200,566,34
"Perdix perdix",2001,0.573,0.032,492,492,492,626,315
"Pernis apivorus",2001,0.42,0.024,390,390,390,628,160
"Phalacrocorax carbo",2001,0.383,0.041,100,100,100,416,13
"Phasianus colchicus",2001,0.709,0.042,559,559,559,628,390
"Phoenicurus ochruros",2001,1.938,0.57,627,627,625.9,628,448
"Phoenicurus phoenicurus",2001,0.899,0.063,597,597,597,628,429
"Phylloscopus collybita",2001,1.696,0.336,625,625,624.5,628,448
"Phylloscopus sibilatrix",2001,0.776,0.048,580,580,580,628,414
"Phylloscopus trochiloides",2001,0.17,0.069,7,7,7,78,2
"Phylloscopus trochilus",2001,1.276,0.137,618,618,618,628,448
"Anas penelope",2001,0.255,0.136,4,4,4,39,0
"Pica pica",2001,0.988,0.075,604,604,604,628,438
"Picoides tridactylus",2001,0.983,0.217,33,33,33,93,3
"Picus canus",2001,0.448,0.025,433,433,433,628,243
"Picus viridis",2001,0.824,0.054,588,588,588,628,416
"Platalea leucorodia",2001,0.592,0.207,12,12,12,46,0
"Podiceps cristatus",2001,0.435,0.026,358,358,358,605,174
"Podiceps grisegena",2001,0.33,0.081,18,18,18,178,0
"Podiceps nigricollis",2001,0.389,0.035,142,142,142,481,17
"Porzana parva",2001,0.502,0.091,34,34,34,188,0
"Porzana porzana",2001,0.432,0.056,69,69,69,305,7
"Anas platyrhynchos",2001,1.073,0.091,609,609,609,628,443
"Porzana pusilla",2001,0.745,0.581,2,2,2,16,0
"Prunella collaris",2001,0.139,0.061,6,6,6,57,2
"Prunella modularis",2001,1.132,0.102,613,613,613,628,440
"Pyrrhula pyrrhula",2001,0.709,0.042,560,560,560,628,403
"Rallus aquaticus",2001,0.412,0.027,280,280,280,605,75
"Recurvirostra avosetta",2001,0.626,0.314,6,6,6,28,0
"Regulus ignicapillus",2001,0.536,0.03,486,486,486,626,329
"Regulus regulus",2001,0.819,0.053,583,583,583,628,424
"Remiz pendulinus",2001,0.395,0.027,272,272,272,599,95
"Riparia riparia",2001,0.39,0.031,194,194,194,520,57
"Anas querquedula",2001,0.367,0.028,194,194,194,586,34
"Saxicola rubetra",2001,0.591,0.033,525,525,525,628,365
"Saxicola torquata",2001,0.442,0.03,288,288,288,584,116
"Scolopax rusticola",2001,0.403,0.025,318,318,318,620,146
"Serinus serinus",2001,1.696,0.336,625,625,624.5,628,448
"Sitta europaea",2001,1.938,0.57,627,627,625.9,628,448
"Sterna albifrons",2001,1.172,0.986,3,3,3,11,0
"Sterna hirundo",2001,0.373,0.045,79,79,79,293,11
"Streptopelia decaocto",2001,1.069,0.089,610,610,610,628,440
"Streptopelia turtur",2001,0.906,0.064,596,596,596,628,421
"Strix aluco",2001,0.675,0.039,563,563,563,628,401
"Anas strepera",2001,0.43,0.029,273,273,273,567,108
"Strix uralensis",2001,3.048,1.471,18,18,18,37,2
"Sturnus vulgaris",2001,1.696,0.336,625,625,624.5,628,448
"Sylvia atricapilla",2001,1.939,0.57,627,627,625.9,628,447
"Sylvia borin",2001,0.777,0.048,582,582,582,628,426
"Sylvia communis",2001,1.211,0.12,616,616,616,628,443
"Sylvia curruca",2001,1.157,0.108,614,614,614,628,442
"Sylvia nisoria",2001,0.361,0.028,197,197,197,546,54
"Syrmaticus reevesii",2001,0.251,0.12,5,5,5,45,0
"Tachybaptus ruficollis",2001,0.465,0.026,423,423,423,620,228
"Tadorna tadorna",2001,0.298,0.103,10,10,10,69,1
"Accipiter nisus",2001,0.916,0.065,599,599,599,628,436
"Anser anser",2001,0.424,0.047,99,99,99,368,13
"Tetrao tetrix",2001,0.323,0.046,62,62,62,190,40
"Tetrao urogallus",2001,0.388,0.077,31,31,31,140,5
"Tringa ochropus",2001,0.355,0.033,134,134,134,511,18
"Tringa totanus",2001,0.394,0.053,66,66,66,270,8
"Troglodytes troglodytes",2001,1.7,0.336,625,625,624.5,628,445
"Turdus iliacus",2001,0.266,0.062,20,20,20,183,0
"Turdus merula",2001,1.942,0.574,627,627,625.9,628,448
"Turdus philomelos",2001,1.938,0.57,627,627,625.9,628,448
"Turdus pilaris",2001,0.868,0.058,590,590,590,628,421
"Turdus torquatus",2001,0.404,0.055,70,70,70,215,33
"Anthus campestris",2001,0.281,0.081,14,14,14,97,1
"Turdus viscivorus",2001,0.833,0.055,586,586,586,628,422
"Tyto alba",2001,0.448,0.033,240,240,240,536,76
"Upupa epops",2001,0.399,0.039,120,120,120,473,8
"Vanellus vanellus",2001,0.579,0.032,511,511,511,628,338
"Anthus pratensis",2001,0.419,0.026,335,335,335,612,179
"Anthus spinoletta",2001,0.199,0.063,12,12,12,82,9
"Anthus trivialis",2001,0.977,0.074,604,604,604,628,434
"Apus apus",2001,1.129,0.102,613,613,613,628,445
"Aquila heliaca",2001,NA,NA,4,4,NA,1,0
"Aquila pomarina",2001,0.366,0.103,15,15,15,86,2
"Ardea cinerea",2001,0.44,0.025,398,398,398,626,191
"Ardea purpurea",2001,0.57,0.141,19,19,19,99,0
"Acrocephalus arundinaceus",2001,0.377,0.026,252,252,252,598,74
"Asio flammeus",2001,0.422,0.124,13,13,13,109,0
"Asio otus",2001,0.516,0.028,492,492,492,627,309
"Athene noctua",2001,0.352,0.029,168,168,168,573,28
"Aythya ferina",2001,0.456,0.028,354,354,354,597,178
"Aythya fuligula",2001,0.483,0.027,449,449,449,624,283
"Aythya nyroca",2001,0.421,0.161,8,8,8,54,0
"Bonasa bonasia",2001,0.515,0.073,70,70,70,200,24
"Botaurus stellaris",2001,0.411,0.053,66,66,66,333,1
"Bubo bubo",2001,0.414,0.024,397,397,397,625,229
"Bucephala clangula",2001,0.372,0.061,45,45,45,231,7
"Acrocephalus paludicola",2001,0.411,0.203,5,5,5,33,0
"Buteo buteo",2001,1.806,0.428,626,626,625.2,628,448
"Caprimulgus europaeus",2001,0.373,0.042,91,91,91,427,8
"Carduelis cannabina",2001,0.956,0.071,602,602,602,628,436
"Carduelis carduelis",2001,1.527,0.232,623,623,622.8,628,447
"Carduelis chloris",2001,2.098,0.789,628,628,626.5,628,448
"Carduelis flammea",2001,0.413,0.028,278,278,278,541,137
"Carduelis spinus",2001,0.518,0.029,473,473,473,628,314
"Carpodacus erythrinus",2001,0.32,0.031,124,124,124,420,54
"Certhia brachydactyla",2001,0.457,0.025,436,436,436,627,266
"Certhia familiaris",2001,0.876,0.06,594,594,594,628,426
"Acrocephalus palustris",2001,0.744,0.045,576,576,576,628,420
"Charadrius dubius",2001,0.403,0.023,375,375,375,626,166
"Charadrius morinellus",2001,0.137,0.15,1,1,1,14,0
"Chlidonias hybridus",2001,0.235,0.125,4,4,4,46,0
"Chlidonias niger",2001,0.381,0.058,48,48,48,296,2
"Ciconia ciconia",2001,0.551,0.032,450,450,450,627,260
"Ciconia nigra",2001,0.544,0.03,494,494,494,626,318
"Cinclus cinclus",2001,0.504,0.03,406,406,406,609,238
"Circus aeruginosus",2001,0.57,0.032,495,495,495,625,317
"Circus cyaneus",2001,0.327,0.027,167,167,167,556,39
"Circus pygargus",2001,0.371,0.039,106,106,106,436,12
"Acrocephalus schoenobaenus",2001,0.446,0.028,337,337,337,611,142
"Coccothraustes coccothraustes",2001,0.85,0.057,591,591,591,628,424
"Columba livia",2001,0.506,0.027,496,496,496,628,336
"Columba oenas",2001,0.482,0.027,434,434,434,628,241
"Columba palumbus",2001,1.807,0.428,626,626,625.2,628,447
"Corvus corax",2001,0.712,0.042,566,566,566,628,394
"Corvus corone",2001,0.739,0.045,576,576,576,628,414
"Corvus frugilegus",2001,0.31,0.04,71,71,71,325,23
"Corvus monedula",2001,0.371,0.024,285,285,285,594,111
"Coturnix coturnix",2001,0.804,0.051,587,587,587,628,434
"Crex crex",2001,0.47,0.028,387,387,387,623,230
"Acrocephalus scirpaceus",2001,0.492,0.027,452,452,452,627,269
"Cuculus canorus",2001,1.606,0.275,624,624,623.7,628,445
"Cygnus olor",2001,0.513,0.029,449,449,449,626,263
"Delichon urbica",2001,1.938,0.57,627,627,625.9,628,448
"Dendrocopos leucotos",2001,0.839,0.183,36,36,36,109,7
"Dendrocopos major",2001,1.938,0.57,627,627,625.9,628,448
"Dendrocopos medius",2001,0.436,0.031,250,250,250,554,75
"Dendrocopos minor",2001,0.502,0.027,497,497,497,628,315
"Dendrocopos syriacus",2001,0.569,0.078,76,76,76,215,18
"Dryocopus martius",2001,0.93,0.067,599,599,599,628,428
"Egretta alba",2001,0.444,0.069,49,49,49,224,6
"Actitis hypoleucos",2001,0.364,0.024,259,259,259,619,63
"Egretta garzetta",2001,0.506,0.167,11,11,11,59,0
"Emberiza citrinella",2001,2.098,0.789,628,628,626.5,628,448
"Emberiza hortulana",2001,0.234,0.039,40,40,40,260,2
"Emberiza schoeniclus",2001,0.562,0.031,500,500,500,628,312
"Erithacus rubecula",2001,1.938,0.57,627,627,625.9,628,448
"Falco cherrug",2001,0.605,0.168,16,16,16,74,0
"Falco peregrinus",2001,0.282,0.045,45,45,45,253,7
"Falco subbuteo",2001,0.443,0.03,274,274,274,544,109
"Falco tinnunculus",2001,1.604,0.274,624,624,623.7,628,448
"Ficedula albicollis",2001,0.506,0.033,331,331,331,580,146
"Aegithalos caudatus",2001,0.845,0.056,591,591,591,628,426
"Ficedula hypoleuca",2001,0.364,0.022,341,341,341,626,201
"Ficedula parva",2001,0.338,0.028,174,174,174,556,59
"Fringilla coelebs",2001,2.098,0.789,628,628,626.5,628,448
"Fulica atra",2001,0.582,0.033,500,500,500,625,314
"Galerida cristata",2001,0.4,0.04,120,120,120,439,22
"Gallinago gallinago",2001,0.386,0.027,240,240,240,583,93
"Gallinula chloropus",2001,0.482,0.028,422,422,422,624,232
"Garrulus glandarius",2001,1.697,0.336,625,625,624.5,628,447
"Gavia arctica",2001,0.094,0.072,2,2,2,28,0
"Glaucidium passerinum",2001,0.432,0.031,246,246,246,503,119
