"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",2001,0.684,0.039,563,563,563,628,272
"Aegolius funereus",2001,0.503,0.035,234,234,234,628,0
"Grus grus",2001,0.343,0.055,40,40,40,626,0
"Haliaeetus albicilla",2001,0.667,0.074,83,83,83,628,0
"Himantopus himantopus",2001,NA,NA,5,5,NA,0,0
"Hippolais icterina",2001,0.778,0.049,590,590,590,628,403
"Hirundo rustica",2001,1.646,0.387,627,627,626.2,628,550
"Ixobrychus minutus",2001,0.768,0.096,66,66,66,626,0
"Jynx torquilla",2001,0.738,0.04,432,432,432,628,0
"Lanius collurio",2001,1.453,0.233,625,625,624.7,628,548
"Lanius excubitor",2001,0.694,0.037,442,442,442,628,0
"Larus cachinnans",2001,0.636,0.321,4,4,4,272,0
"Alauda arvensis",2001,1.452,0.232,625,625,624.7,628,550
"Larus canus",2001,0.435,0.104,18,18,18,495,0
"Larus melanocephalus",2001,0.94,0.253,14,14,14,483,0
"Larus ridibundus",2001,0.719,0.045,287,287,287,628,0
"Limosa limosa",2001,0.798,0.166,24,24,24,444,0
"Locustella fluviatilis",2001,0.664,0.036,527,527,527,628,63
"Locustella luscinioides",2001,0.746,0.06,164,164,164,628,0
"Locustella naevia",2001,0.653,0.036,552,552,552,628,286
"Loxia curvirostra",2001,0.612,0.033,454,454,454,628,47
"Lullula arborea",2001,0.664,0.049,195,195,195,628,0
"Luscinia luscinia",2001,1.014,0.295,12,12,12,554,0
"Alcedo atthis",2001,0.634,0.034,505,505,505,628,28
"Luscinia megarhynchos",2001,0.571,0.035,316,316,316,628,21
"Luscinia svecica",2001,0.937,0.086,124,124,124,628,0
"Mergus albellus",2001,7149.597,NA,1,1,1,4,0
"Mergus merganser",2001,0.538,0.132,17,17,17,490,0
"Merops apiaster",2001,5.531,1.138,26,26,26,186,0
"Miliaria calandra",2001,0.556,0.035,280,280,280,628,0
"Milvus migrans",2001,0.752,0.072,112,112,112,628,0
"Milvus milvus",2001,0.605,0.048,178,178,178,628,0
"Motacilla alba",2001,1.778,0.546,628,628,626.8,628,550
"Motacilla cinerea",2001,0.764,0.048,591,591,591,628,526
"Anas acuta",2001,0.884,0.282,10,10,10,450,0
"Motacilla citreola",2001,0.517,0.233,5,5,5,321,0
"Motacilla flava",2001,0.58,0.041,217,217,217,628,0
"Muscicapa striata",2001,0.806,0.049,582,582,582,628,300
"Netta rufina",2001,2.066,0.273,59,59,59,614,0
"Nucifraga caryocatactes",2001,0.503,0.03,339,339,339,628,4
"Numenius arquata",2001,1.353,0.342,16,16,16,462,0
"Nycticorax nycticorax",2001,3.234,0.485,52,52,52,396,0
"Oenanthe oenanthe",2001,0.512,0.047,127,127,127,628,0
"Oriolus oriolus",2001,0.668,0.036,458,458,458,628,27
"Otus scops",2001,0.442,0.223,4,4,4,230,0
"Anas clypeata",2001,0.711,0.065,123,123,123,628,0
"Pandion haliaetus",2001,0.524,0.098,29,29,29,628,0
"Panurus biarmicus",2001,0.831,0.135,39,39,39,558,0
"Parus ater",2001,0.803,0.052,594,594,594,628,474
"Parus caeruleus",2001,1.646,0.387,627,627,626.2,628,550
"Parus cristatus",2001,0.623,0.034,533,533,533,628,212
"Parus major",2001,1.778,0.546,628,628,626.8,628,550
"Parus montanus",2001,0.639,0.035,492,492,492,628,129
